"","MIR34","ZEB1","HA","CD24","MIR190","MIR1199","ESRP1","TGFB","MIR340","HAS2","GRHL2","CD44s","MIR200","SNAIL1"
"GRHL2",0.236768183076711,-0.203381860348055,0.200469011135872,0.100469011135872,0.206279939149748,0.206279939149748,0.206279939149748,-0.0132992658646933,-0.206279939149748,-0.206279939149748,-0.206279939149748,-0.200469011135872,-0.185678148779044,-0.114507120568931
"TGFB",-0.0225542232058806,-0.125431251636924,0.127251721760457,0.127251721760457,0.119700701352294,0.119700701352294,0.119700701352294,0.087660411254642,-0.119700701352294,-0.119700701352294,-0.119700701352294,-0.127251721760457,-0.144679968488346,0.0543845442133521
"SNAIL1",-0.0166461269257931,-0.121418774676765,0.119700701352294,0.119700701352294,0.125431251636924,0.125431251636924,0.125431251636924,0.0896492736253659,-0.125431251636924,-0.125431251636924,-0.125431251636924,-0.119700701352294,-0.14611444453989,-0.0407596136015189
"ZEB1",-0.0838191997999715,-0.0591659533050079,-0.0423909930038399,-0.0423909930038399,-0.0329808174072617,-0.0329808174072617,-0.0329808174072617,0.00581571430814215,0.0329808174072617,0.0329808174072617,0.0329808174072617,0.0423909930038399,0.0661840679382334,0.0983851185058955
"HAS2",0.0796576515111476,-0.0423909930038399,-0.0542349048800662,0.0457650951199338,0.0282733459450163,0.0282733459450163,0.0282733459450163,-0.00733354922403532,-0.0282733459450163,-0.0282733459450163,-0.0282733459450163,-0.0457650951199338,-0.0641060357819514,-0.100924044303057
"MIR1199",0.0938998449612619,-0.0329808174072617,0.0282733459450163,0.0282733459450163,0.0423909930038399,0.0423909930038399,0.0423909930038399,-0.00271816460865071,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,-0.0282733459450163,-0.0681425932838555,-0.0896530610896275
"CD44s",0.0938998449612619,-0.0329808174072617,0.0282733459450163,0.0282733459450163,0.0423909930038399,0.0423909930038399,0.0423909930038399,-0.00271816460865071,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,-0.0282733459450163,-0.0681425932838555,-0.0896530610896275
"MIR340",-0.0938998449612619,0.0329808174072617,-0.0282733459450163,-0.0282733459450163,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,0.00271816460865071,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0282733459450163,0.0681425932838555,0.0896530610896275
"HA",-0.0938998449612619,0.0329808174072617,-0.0282733459450163,-0.0282733459450163,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,0.00271816460865071,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0282733459450163,0.0681425932838555,0.0896530610896275
"CD24",-0.0938998449612619,0.0329808174072617,-0.0282733459450163,-0.0282733459450163,-0.0423909930038399,-0.0423909930038399,-0.0423909930038399,0.00271816460865071,0.0423909930038399,0.0423909930038399,0.0423909930038399,0.0282733459450163,0.0681425932838555,0.0896530610896275
"ESRP1",-0.0796576515111476,0.0423909930038399,-0.0457650951199338,-0.0457650951199338,-0.0282733459450163,-0.0282733459450163,-0.0282733459450163,0.00733354922403532,0.0282733459450163,0.0282733459450163,0.0282733459450163,-0.0542349048800662,0.0641060357819514,0.100924044303057
"MIR200",-0.0224750977303781,0.0868030349226545,-0.0832364625414373,-0.0832364625414373,-0.0956440221141571,-0.0956440221141571,-0.0956440221141571,-0.197680881377211,0.0956440221141571,0.0956440221141571,0.0956440221141571,0.0832364625414373,0.198062481561291,-0.0311434550877329
"MIR190",0.0144707812241335,0.119700701352294,-0.118804855275444,-0.118804855275444,-0.127251721760457,-0.127251721760457,-0.127251721760457,-0.190208181955279,0.127251721760457,0.127251721760457,0.127251721760457,0.118804855275444,0.146244505646104,-0.0606091720888595
"MIR34",0.0225542232058806,0.125431251636924,-0.127251721760457,-0.127251721760457,-0.119700701352294,-0.119700701352294,-0.119700701352294,-0.087660411254642,0.119700701352294,0.119700701352294,0.119700701352294,0.127251721760457,0.144679968488346,-0.0543845442133521
