"","HA","CD44s","MIR340","MIR1199","HAS2","GRHL2","TGFB","MIR34","MIR200","SNAIL1","ZEB1","MIR190","ESRP1","CD24"
"ESRP1",0.220248138957816,0.120248138957816,0.196155729716892,0.196155729716892,0.196155729716892,0.196155729716892,0.207650125235713,0.160054084526892,0.160054084526892,-0.0774165948497519,-0.215449847363951,-0.196155729716892,-0.196155729716892,-0.220248138957816
"MIR340",0.196155729716892,0.196155729716892,0.215449847363951,0.215449847363951,0.215449847363951,0.215449847363951,0.173034740620328,0.193488966476626,0.193488966476626,-0.0279361791822859,-0.202617789732254,-0.215449847363951,-0.215449847363951,-0.196155729716892
"MIR1199",0.196155729716892,0.196155729716892,0.215449847363951,0.215449847363951,0.215449847363951,0.215449847363951,0.173034740620328,0.193488966476626,0.193488966476626,-0.0279361791822859,-0.202617789732254,-0.215449847363951,-0.215449847363951,-0.196155729716892
"CD24",0.196155729716892,0.196155729716892,0.215449847363951,0.215449847363951,0.215449847363951,0.215449847363951,0.173034740620328,0.193488966476626,0.193488966476626,-0.0279361791822859,-0.202617789732254,-0.215449847363951,-0.215449847363951,-0.196155729716892
"MIR34",0.191670538030532,0.191670538030532,0.174731762520328,0.174731762520328,0.174731762520328,0.174731762520328,0.22678241228092,0.174339113794555,0.174339113794555,-0.0689510389576642,-0.189039162899834,-0.174731762520328,-0.174731762520328,-0.191670538030532
"MIR190",0.167419856831622,0.167419856831622,0.191670538030532,0.191670538030532,0.191670538030532,0.191670538030532,0.105338675550559,0.191418644433408,0.191418644433408,-0.0504124733284355,-0.174731762520328,-0.191670538030532,-0.191670538030532,-0.167419856831622
"MIR200",0.146541284718646,0.146541284718646,0.152703979870659,0.152703979870659,0.152703979870659,0.152703979870659,0.13145637677811,0.0422822241863862,0.0422822241863862,0.067861353429558,-0.148986391616988,-0.152703979870659,-0.152703979870659,-0.146541284718646
"GRHL2",0.0528271945082937,0.0528271945082937,0.0733822682290222,0.0733822682290222,0.0733822682290222,0.0733822682290222,0.0441768937872342,0.0743267719783302,0.0743267719783302,-0.0267970530515975,-0.0587616234878956,-0.0733822682290222,-0.0733822682290222,-0.152827194508294
"ZEB1",-0.215449847363951,-0.215449847363951,-0.202617789732254,-0.202617789732254,-0.202617789732254,-0.202617789732254,-0.200912687915751,-0.167452100117179,-0.167452100117179,0.067649097842573,0.111433994281482,0.202617789732254,0.202617789732254,0.215449847363951
"SNAIL1",-0.174731762520328,-0.174731762520328,-0.189039162899834,-0.189039162899834,-0.189039162899834,-0.189039162899834,-0.209757750387523,-0.19016697666837,-0.19016697666837,-0.0497136044414253,0.178362854945772,0.189039162899834,0.189039162899834,0.174731762520328
"TGFB",-0.191670538030532,-0.191670538030532,-0.174731762520328,-0.174731762520328,-0.174731762520328,-0.174731762520328,-0.22678241228092,-0.174339113794555,-0.174339113794555,0.0689510389576642,0.189039162899834,0.174731762520328,0.174731762520328,0.191670538030532
"HA",-0.196155729716892,-0.196155729716892,-0.215449847363951,-0.215449847363951,-0.215449847363951,-0.215449847363951,-0.173034740620328,-0.193488966476626,-0.193488966476626,0.0279361791822859,0.202617789732254,0.215449847363951,0.215449847363951,0.196155729716892
"CD44s",-0.196155729716892,-0.196155729716892,-0.215449847363951,-0.215449847363951,-0.215449847363951,-0.215449847363951,-0.173034740620328,-0.193488966476626,-0.193488966476626,0.0279361791822859,0.202617789732254,0.215449847363951,0.215449847363951,0.196155729716892
"HAS2",-0.120248138957816,-0.220248138957816,-0.196155729716892,-0.196155729716892,-0.196155729716892,-0.196155729716892,-0.207650125235713,-0.160054084526892,-0.160054084526892,0.0774165948497519,0.215449847363951,0.196155729716892,0.196155729716892,0.220248138957816
