"","MIR340","GRHL2","MIR200","HA","CD44s","MIR34","TGFB","ZEB1","SNAIL1","CD24","MIR190","MIR1199","HAS2","ESRP1"
"GRHL2",0.277548358155115,0.277548358155115,0.300942597968767,0.278155470037162,0.278155470037162,0.202721768379923,-0.0281101649295345,-0.279339305729195,-0.188500579445883,-0.378155470037162,-0.277548358155115,-0.277548358155115,-0.277548358155115,-0.277548358155115
"MIR340",0.209727979775061,0.209727979775061,0.208163196556511,0.210669156245649,0.210669156245649,0.11926091783478,-0.0257313058712718,-0.212564539883121,-0.162854905831583,-0.210669156245649,-0.209727979775061,-0.209727979775061,-0.209727979775061,-0.209727979775061
"MIR1199",0.209727979775061,0.209727979775061,0.208163196556511,0.210669156245649,0.210669156245649,0.11926091783478,-0.0257313058712718,-0.212564539883121,-0.162854905831583,-0.210669156245649,-0.209727979775061,-0.209727979775061,-0.209727979775061,-0.209727979775061
"HA",0.209727979775061,0.209727979775061,0.208163196556511,0.210669156245649,0.210669156245649,0.11926091783478,-0.0257313058712718,-0.212564539883121,-0.162854905831583,-0.210669156245649,-0.209727979775061,-0.209727979775061,-0.209727979775061,-0.209727979775061
"CD44s",0.209727979775061,0.209727979775061,0.208163196556511,0.210669156245649,0.210669156245649,0.11926091783478,-0.0257313058712718,-0.212564539883121,-0.162854905831583,-0.210669156245649,-0.209727979775061,-0.209727979775061,-0.209727979775061,-0.209727979775061
"MIR190",0.11028078200702,0.11028078200702,0.223952162375026,0.10619358854653,0.10619358854653,-0.11093853246447,-0.243622756748605,-0.110893026904979,-0.242987739575388,-0.10619358854653,-0.11028078200702,-0.11028078200702,-0.11028078200702,-0.11028078200702
"MIR34",0.110893026904979,0.110893026904979,0.224212918567985,0.11028078200702,0.11028078200702,-0.110417020078551,-0.144259699423764,-0.110020161629837,-0.243664329561856,-0.11028078200702,-0.110893026904979,-0.110893026904979,-0.110893026904979,-0.110893026904979
"TGFB",-0.110893026904979,-0.110893026904979,-0.224212918567985,-0.11028078200702,-0.11028078200702,0.110417020078551,0.144259699423764,0.110020161629837,0.243664329561856,0.11028078200702,0.110893026904979,0.110893026904979,0.110893026904979,0.110893026904979
"SNAIL1",-0.110020161629837,-0.110020161629837,-0.223896847573577,-0.110893026904979,-0.110893026904979,0.111219354141279,0.144180144928935,0.110828328367396,0.144271309834997,0.110893026904979,0.110020161629837,0.110020161629837,0.110020161629837,0.110020161629837
"ZEB1",-0.212564539883121,-0.212564539883121,-0.210582551395221,-0.209727979775061,-0.209727979775061,-0.120470595254135,0.0264247871472774,0.11271396707887,0.162795097219143,0.209727979775061,0.212564539883121,0.212564539883121,0.212564539883121,0.212564539883121
"MIR200",-0.149649838950985,-0.149649838950985,-0.0350983392615219,-0.151539732130936,-0.151539732130936,-0.213799019498533,-0.193413904745133,0.151430532484256,-0.0753306589054214,0.151539732130936,0.149649838950985,0.149649838950985,0.149649838950985,0.149649838950985
"HAS2",-0.210669156245649,-0.210669156245649,-0.20763006632041,-0.310339123242349,-0.210339123242349,-0.121012631467681,0.0257313058712718,0.209727979775061,0.161176248757242,0.210339123242349,0.210669156245649,0.210669156245649,0.210669156245649,0.210669156245649
"ESRP1",-0.210669156245649,-0.210669156245649,-0.20763006632041,-0.210339123242349,-0.310339123242349,-0.121012631467681,0.0257313058712718,0.209727979775061,0.161176248757242,0.210339123242349,0.210669156245649,0.210669156245649,0.210669156245649,0.210669156245649
"CD24",-0.209727979775061,-0.209727979775061,-0.208163196556511,-0.210669156245649,-0.210669156245649,-0.11926091783478,0.0257313058712718,0.212564539883121,0.162854905831583,0.210669156245649,0.209727979775061,0.209727979775061,0.209727979775061,0.209727979775061
