"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","CD44s","TGFB","MIR34","MIR200","SNAIL1","ZEB1","CD24","HAS2"
"GRHL2",0.42038688585096,0.42038688585096,0.42038688585096,0.42038688585096,0.42038688585096,0.410065983856164,0.410065983856164,0.375316048073027,0.346086163303838,0.359414904236012,0.0593739821626681,-0.426801734434484,-0.510065983856164,-0.42038688585096
"MIR1199",0.333136859883624,0.333136859883624,0.333136859883624,0.333136859883624,0.333136859883624,0.322548624589506,0.322548624589506,0.264326362958858,0.26358698856067,0.237723216882677,0.0379122721888667,-0.337954509590963,-0.322548624589506,-0.333136859883624
"HA",0.333136859883624,0.333136859883624,0.333136859883624,0.333136859883624,0.333136859883624,0.322548624589506,0.322548624589506,0.264326362958858,0.26358698856067,0.237723216882677,0.0379122721888667,-0.337954509590963,-0.322548624589506,-0.333136859883624
"CD44s",0.333136859883624,0.333136859883624,0.333136859883624,0.333136859883624,0.333136859883624,0.322548624589506,0.322548624589506,0.264326362958858,0.26358698856067,0.237723216882677,0.0379122721888667,-0.337954509590963,-0.322548624589506,-0.333136859883624
"ESRP1",0.322548624589506,0.322548624589506,0.322548624589506,0.322548624589506,0.322548624589506,0.312977667493797,0.412977667493797,0.255095593728088,0.255285389169962,0.232315753059371,0.0376724640353895,-0.333136859883624,-0.312977667493797,-0.322548624589506
"MIR200",0.229490847354413,0.229490847354413,0.229490847354413,0.229490847354413,0.229490847354413,0.223492490739787,0.223492490739787,0.195309383403,0.270306571764314,0.0852775023349386,-0.041560381267402,-0.23227122848531,-0.223492490739787,-0.229490847354413
"SNAIL1",0.155856154734217,0.155856154734217,0.155856154734217,0.155856154734217,0.155856154734217,0.153085756252244,0.153085756252244,0.175992315223917,0.0301135296153031,0.137778882965908,-0.0911180716799733,-0.157118029113914,-0.153085756252244,-0.155856154734217
"MIR34",0.153085756252244,0.153085756252244,0.153085756252244,0.153085756252244,0.153085756252244,0.151249021558366,0.151249021558366,0.174003452853193,0.0280469115749432,0.136295780607532,0.00913483676716881,-0.155856154734217,-0.151249021558366,-0.153085756252244
"MIR190",-0.151249021558366,-0.151249021558366,-0.151249021558366,-0.151249021558366,-0.151249021558366,-0.14661686896981,-0.14661686896981,-0.071243367927503,-0.0277861553819836,-0.134209731063855,-0.00994674475093065,0.153085756252244,0.14661686896981,0.151249021558366
"TGFB",-0.153085756252244,-0.153085756252244,-0.153085756252244,-0.153085756252244,-0.153085756252244,-0.151249021558366,-0.151249021558366,-0.174003452853193,-0.0280469115749432,-0.136295780607532,-0.00913483676716881,0.155856154734217,0.151249021558366,0.153085756252244
"ZEB1",-0.337954509590963,-0.337954509590963,-0.337954509590963,-0.337954509590963,-0.337954509590963,-0.333136859883624,-0.333136859883624,-0.271769728654651,-0.266582380265739,-0.240891419647654,-0.03892901860035,0.242121868050202,0.333136859883624,0.337954509590963
"HAS2",-0.322548624589506,-0.322548624589506,-0.322548624589506,-0.322548624589506,-0.322548624589506,-0.412977667493797,-0.312977667493797,-0.255095593728088,-0.255285389169962,-0.232315753059371,-0.0376724640353895,0.333136859883624,0.312977667493797,0.322548624589506
"MIR340",-0.333136859883624,-0.333136859883624,-0.333136859883624,-0.333136859883624,-0.333136859883624,-0.322548624589506,-0.322548624589506,-0.264326362958858,-0.26358698856067,-0.237723216882677,-0.0379122721888667,0.337954509590963,0.322548624589506,0.333136859883624
"CD24",-0.333136859883624,-0.333136859883624,-0.333136859883624,-0.333136859883624,-0.333136859883624,-0.322548624589506,-0.322548624589506,-0.264326362958858,-0.26358698856067,-0.237723216882677,-0.0379122721888667,0.337954509590963,0.322548624589506,0.333136859883624
