"","MIR200","HA","CD44s","MIR190","MIR1199","HAS2","GRHL2","MIR34","ZEB1","MIR340","ESRP1","CD24","SNAIL1","TGFB"
"HAS2",0.117598435600655,0.191794871794872,0.0917948717948718,0.103346026910383,0.103346026910383,0.103346026910383,0.103346026910383,0.0678702676038969,-0.0984048504397951,-0.103346026910383,-0.103346026910383,-0.0917948717948718,-0.0952569213182157,-0.104383679809252
"MIR340",0.113561878098751,0.103346026910383,0.103346026910383,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0655092622725945,-0.0956583398589757,-0.0984048504397951,-0.0984048504397951,-0.103346026910383,-0.101411997257464,-0.110793936219508
"HA",0.113561878098751,0.103346026910383,0.103346026910383,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0655092622725945,-0.0956583398589757,-0.0984048504397951,-0.0984048504397951,-0.103346026910383,-0.101411997257464,-0.110793936219508
"CD44s",0.113561878098751,0.103346026910383,0.103346026910383,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0655092622725945,-0.0956583398589757,-0.0984048504397951,-0.0984048504397951,-0.103346026910383,-0.101411997257464,-0.110793936219508
"CD24",0.113561878098751,0.103346026910383,0.103346026910383,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0984048504397951,0.0655092622725945,-0.0956583398589757,-0.0984048504397951,-0.0984048504397951,-0.103346026910383,-0.101411997257464,-0.110793936219508
"MIR190",0.0725067096081589,0.00384064737005913,0.00384064737005913,0.0155572686234651,0.0155572686234651,0.0155572686234651,0.0155572686234651,-0.0540553222869354,-0.0157613502561182,-0.0155572686234651,-0.0155572686234651,-0.00384064737005913,-0.0230639285618036,-0.17842240075312
"MIR34",0.0697687695820833,0.0155572686234651,0.0155572686234651,0.0157613502561182,0.0157613502561182,0.0157613502561182,0.0157613502561182,-0.0510566260679002,-0.0104862079411277,-0.0157613502561182,-0.0157613502561182,-0.0155572686234651,-0.0283413304562556,-0.0867026555301902
"ZEB1",-0.114022707591839,-0.0984048504397951,-0.0984048504397951,-0.0956583398589757,-0.0956583398589757,-0.0956583398589757,-0.0956583398589757,-0.0615346078947144,-0.000904834638782931,0.0956583398589757,0.0956583398589757,0.0984048504397951,0.0996775474966988,0.10640188813814
"GRHL2",-0.00032467817121516,-0.00214520791108187,-0.00214520791108187,-0.00882343861359705,-0.00882343861359705,-0.00882343861359705,-0.00882343861359705,-0.0238082999811882,0.00944212959373381,0.00882343861359705,0.00882343861359705,-0.0978547920889181,-0.0771071752282396,-5.25067893521698e-05
"TGFB",-0.0697687695820833,-0.0155572686234651,-0.0155572686234651,-0.0157613502561182,-0.0157613502561182,-0.0157613502561182,-0.0157613502561182,0.0510566260679002,0.0104862079411277,0.0157613502561182,0.0157613502561182,0.0155572686234651,0.0283413304562556,0.0867026555301902
"SNAIL1",-0.0682856672237074,-0.0157613502561182,-0.0157613502561182,-0.0104862079411277,-0.0104862079411277,-0.0104862079411277,-0.0104862079411277,0.0563325803591718,0.012768924515635,0.0104862079411277,0.0104862079411277,0.0157613502561182,-0.0704952906868906,0.085111565633611
"MIR1199",-0.113561878098751,-0.103346026910383,-0.103346026910383,-0.0984048504397951,-0.0984048504397951,-0.0984048504397951,-0.0984048504397951,-0.0655092622725945,0.0956583398589757,0.0984048504397951,0.0984048504397951,0.103346026910383,0.101411997257464,0.110793936219508
"ESRP1",-0.117598435600655,-0.0917948717948718,-0.191794871794872,-0.103346026910383,-0.103346026910383,-0.103346026910383,-0.103346026910383,-0.0678702676038969,0.0984048504397951,0.103346026910383,0.103346026910383,0.0917948717948718,0.0952569213182157,0.104383679809252
"MIR200",-0.0179090418242448,-0.107723997970573,-0.107723997970573,-0.100739610131625,-0.100739610131625,-0.100739610131625,-0.100739610131625,-0.164514024673959,0.0987714751737994,0.100739610131625,0.100739610131625,0.107723997970573,-0.00941845363196001,-0.0847671475905955
