"","MIR200","HA","MIR34","MIR190","MIR1199","ESRP1","ZEB1","SNAIL1","MIR340","HAS2","GRHL2","CD44s","CD24","TGFB"
"SNAIL1",0.347930082160438,0.0862804994840806,-0.246514053628885,0.0984626626719364,0.0984626626719364,0.0984626626719364,-0.096803794105369,0.455358940879851,-0.0984626626719364,-0.0984626626719364,-0.0984626626719364,-0.0862804994840806,-0.0862804994840806,-0.28119595212156
"MIR190",0.32581157915331,0.0993650793650794,-0.245219718974019,0.0821988668310194,0.0821988668310194,0.0821988668310194,-0.0862804994840806,0.53688526218104,-0.0821988668310194,-0.0821988668310194,-0.0821988668310194,-0.0993650793650794,-0.0993650793650794,-0.384147575894673
"MIR340",0.0721065549127878,0.0258900654333423,0.065729319221149,0.0677724183745188,0.0677724183745188,0.0677724183745188,-0.0651159573209393,-0.0393068464506183,-0.0677724183745188,-0.0677724183745188,-0.0677724183745188,-0.0258900654333423,-0.0258900654333423,-0.0345005010751181
"HA",0.0721065549127878,0.0258900654333423,0.065729319221149,0.0677724183745188,0.0677724183745188,0.0677724183745188,-0.0651159573209393,-0.0393068464506183,-0.0677724183745188,-0.0677724183745188,-0.0677724183745188,-0.0258900654333423,-0.0258900654333423,-0.0345005010751181
"CD44s",0.0721065549127878,0.0258900654333423,0.065729319221149,0.0677724183745188,0.0677724183745188,0.0677724183745188,-0.0651159573209393,-0.0393068464506183,-0.0677724183745188,-0.0677724183745188,-0.0677724183745188,-0.0258900654333423,-0.0258900654333423,-0.0345005010751181
"ZEB1",-0.0678438821017279,-0.0677724183745188,-0.0665933745206882,-0.0651159573209393,-0.0651159573209393,-0.0651159573209393,-0.061133420065745,0.0491752675032499,0.0651159573209393,0.0651159573209393,0.0651159573209393,0.0677724183745188,0.0677724183745188,0.0709776161930099
"GRHL2",-0.0149245936536372,-0.0348265561643255,-0.014931659944462,-0.00473115286857529,-0.00473115286857529,-0.00473115286857529,0.0182446663820888,-0.0477947399456815,0.00473115286857529,0.00473115286857529,0.00473115286857529,0.0348265561643255,0.134826556164326,0.0362626389958491
"MIR200",0.0921638692419476,-0.0198257744818668,-0.223325874207372,-0.0542546980644469,-0.0542546980644469,-0.0542546980644469,0.0511619145592922,0.284306886204398,0.0542546980644469,0.0542546980644469,0.0542546980644469,0.0198257744818668,0.0198257744818668,-0.202730434470878
"MIR1199",-0.0721065549127878,-0.0258900654333423,-0.065729319221149,-0.0677724183745188,-0.0677724183745188,-0.0677724183745188,0.0651159573209393,0.0393068464506183,0.0677724183745188,0.0677724183745188,0.0677724183745188,0.0258900654333423,0.0258900654333423,0.0345005010751181
"CD24",-0.0721065549127878,-0.0258900654333423,-0.065729319221149,-0.0677724183745188,-0.0677724183745188,-0.0677724183745188,0.0651159573209393,0.0393068464506183,0.0677724183745188,0.0677724183745188,0.0677724183745188,0.0258900654333423,0.0258900654333423,0.0345005010751181
"HAS2",-0.0391286417368548,-0.122919768403639,-0.0444802712394277,-0.0258900654333423,-0.0258900654333423,-0.0258900654333423,0.0677724183745188,0.0321925378974608,0.0258900654333423,0.0258900654333423,0.0258900654333423,0.0229197684036394,0.0229197684036394,0.0296287062033232
"ESRP1",-0.0391286417368548,-0.0229197684036394,-0.0444802712394277,-0.0258900654333423,-0.0258900654333423,-0.0258900654333423,0.0677724183745188,0.0321925378974608,0.0258900654333423,0.0258900654333423,0.0258900654333423,-0.0770802315963606,0.0229197684036394,0.0296287062033232
"TGFB",-0.335068424003375,-0.0821988668310194,0.249261439964893,-0.0862804994840806,-0.0862804994840806,-0.0862804994840806,0.0984626626719364,-0.550958333899578,0.0862804994840806,0.0862804994840806,0.0862804994840806,0.0821988668310194,0.0821988668310194,0.273956493092125
"MIR34",-0.335068424003375,-0.0821988668310194,0.249261439964893,-0.0862804994840806,-0.0862804994840806,-0.0862804994840806,0.0984626626719364,-0.550958333899578,0.0862804994840806,0.0862804994840806,0.0862804994840806,0.0821988668310194,0.0821988668310194,0.273956493092125
