"","MIR200","MIR190","MIR1199","ESRP1","SNAIL1","CD24","TGFB","ZEB1","HA","CD44s","MIR340","HAS2","GRHL2","MIR34"
"GRHL2",0.207447429450135,0.239276558099983,0.239276558099983,0.239276558099983,0.116608689513286,0.141791735897034,0.0136659019783505,-0.241523383238375,-0.241791735897034,-0.241791735897034,-0.239276558099983,-0.239276558099983,-0.239276558099983,-0.258624964589157
"MIR1199",0.0956401547266483,0.093641520859136,0.093641520859136,0.093641520859136,0.0927650840206236,0.097876814976783,0.00323098512147122,-0.098369121039235,-0.097876814976783,-0.097876814976783,-0.093641520859136,-0.093641520859136,-0.093641520859136,-0.120942034306613
"HA",0.0956401547266483,0.093641520859136,0.093641520859136,0.093641520859136,0.0927650840206236,0.097876814976783,0.00323098512147122,-0.098369121039235,-0.097876814976783,-0.097876814976783,-0.093641520859136,-0.093641520859136,-0.093641520859136,-0.120942034306613
"CD44s",0.0956401547266483,0.093641520859136,0.093641520859136,0.093641520859136,0.0927650840206236,0.097876814976783,0.00323098512147122,-0.098369121039235,-0.097876814976783,-0.097876814976783,-0.093641520859136,-0.093641520859136,-0.093641520859136,-0.120942034306613
"MIR200",8.30994265992235e-05,0.0963285719304082,0.0963285719304082,0.0963285719304082,0.117172380479433,0.0923022777644263,0.00426835290992198,-0.0950477221959502,-0.0923022777644263,-0.0923022777644263,-0.0963285719304082,-0.0963285719304082,-0.0963285719304082,-0.220629669509459
"HAS2",0.102418524871355,0.097876814976783,0.097876814976783,0.097876814976783,0.100199136778417,0.0955665839536807,0.00733354922403532,-0.093641520859136,0.00443341604631927,-0.0955665839536807,-0.097876814976783,-0.097876814976783,-0.097876814976783,-0.119647289447511
"SNAIL1",-0.0666600583854003,0.0322263389939883,0.0322263389939883,0.0322263389939883,-0.0431547665917228,0.023307932921882,0.0885389026230863,-0.0276183707535233,-0.023307932921882,-0.023307932921882,-0.0322263389939883,-0.0322263389939883,-0.0322263389939883,-0.104815478941438
"ZEB1",-0.101342919703607,-0.098369121039235,-0.098369121039235,-0.098369121039235,-0.0970114955038772,-0.093641520859136,-0.00568128563002415,-0.00559900115900504,0.093641520859136,0.093641520859136,0.098369121039235,0.098369121039235,0.098369121039235,0.121287656426428
"MIR190",0.0628286604361371,-0.0382058921055555,-0.0382058921055555,-0.0382058921055555,-0.0555961599977503,-0.0150451291627762,0.0107729763324696,0.023307932921882,0.0150451291627762,0.0150451291627762,0.0382058921055555,0.0382058921055555,0.0382058921055555,0.108592100972705
"TGFB",0.0684349185847681,-0.023307932921882,-0.023307932921882,-0.023307932921882,-0.0665569177785351,-0.0382058921055555,-0.090925537467955,0.0322263389939883,0.0382058921055555,0.0382058921055555,0.023307932921882,0.023307932921882,0.023307932921882,0.0951631570352865
"MIR34",0.0684349185847681,-0.023307932921882,-0.023307932921882,-0.023307932921882,-0.0665569177785351,-0.0382058921055555,-0.090925537467955,0.0322263389939883,0.0382058921055555,0.0382058921055555,0.023307932921882,0.023307932921882,0.023307932921882,0.0951631570352865
"ESRP1",-0.102418524871355,-0.097876814976783,-0.097876814976783,-0.097876814976783,-0.100199136778417,-0.0955665839536807,-0.00733354922403532,0.093641520859136,0.0955665839536807,-0.00443341604631927,0.097876814976783,0.097876814976783,0.097876814976783,0.119647289447511
"MIR340",-0.0956401547266483,-0.093641520859136,-0.093641520859136,-0.093641520859136,-0.0927650840206236,-0.097876814976783,-0.00323098512147122,0.098369121039235,0.097876814976783,0.097876814976783,0.093641520859136,0.093641520859136,0.093641520859136,0.120942034306613
"CD24",-0.0956401547266483,-0.093641520859136,-0.093641520859136,-0.093641520859136,-0.0927650840206236,-0.097876814976783,-0.00323098512147122,0.098369121039235,0.097876814976783,0.097876814976783,0.093641520859136,0.093641520859136,0.093641520859136,0.120942034306613
