"","SNAIL1","MIR340","MIR1199","HAS2","HA","CD44s","CD24","MIR34","MIR200","ZEB1","TGFB","MIR190","GRHL2","ESRP1"
"TGFB",-0.0650578162659873,0.190985651299575,0.190985651299575,0.190985651299575,0.190373406401616,0.190373406401616,0.190373406401616,0.186756655199744,0.186756655199744,-0.192313924544357,-0.220702805463777,-0.190985651299575,-0.190985651299575,-0.190985651299575
"MIR190",-0.0597804143715353,0.190373406401616,0.190373406401616,0.190373406401616,0.193370681605976,0.193370681605976,0.193370681605976,0.18258455611239,0.18258455611239,-0.190985651299575,-0.120702805463777,-0.190373406401616,-0.190373406401616,-0.190373406401616
"MIR1199",0.201433282296696,0.119271533196233,0.119271533196233,0.119271533196233,0.118095062607998,0.118095062607998,0.118095062607998,0.0462484127814179,0.0462484127814179,-0.121657845668093,-0.0722918381557496,-0.119271533196233,-0.119271533196233,-0.119271533196233
"HA",0.201433282296696,0.119271533196233,0.119271533196233,0.119271533196233,0.118095062607998,0.118095062607998,0.118095062607998,0.0462484127814179,0.0462484127814179,-0.121657845668093,-0.0722918381557496,-0.119271533196233,-0.119271533196233,-0.119271533196233
"CD44s",0.201433282296696,0.119271533196233,0.119271533196233,0.119271533196233,0.118095062607998,0.118095062607998,0.118095062607998,0.0462484127814179,0.0462484127814179,-0.121657845668093,-0.0722918381557496,-0.119271533196233,-0.119271533196233,-0.119271533196233
"CD24",0.201433282296696,0.119271533196233,0.119271533196233,0.119271533196233,0.118095062607998,0.118095062607998,0.118095062607998,0.0462484127814179,0.0462484127814179,-0.121657845668093,-0.0722918381557496,-0.119271533196233,-0.119271533196233,-0.119271533196233
"HAS2",0.201033602040901,0.118095062607998,0.118095062607998,0.118095062607998,0.2204052936311,0.1204052936311,0.1204052936311,0.0438874074501156,0.0438874074501156,-0.119271533196233,-0.0715226073865189,-0.118095062607998,-0.118095062607998,-0.118095062607998
"MIR200",0.209295378576202,0.0614044474606057,0.0614044474606057,0.0614044474606057,0.0596788928180421,0.0596788928180421,0.0596788928180421,-0.0626927015553683,-0.0626927015553683,-0.0628727386196185,-0.0449798851136595,-0.0614044474606057,-0.0614044474606057,-0.0614044474606057
"GRHL2",0.123942784163568,0.00272485929690793,0.00272485929690793,0.00272485929690793,0.00125044472622276,0.00125044472622276,-0.0987495552737772,-0.0259788169560802,-0.0259788169560802,-0.00412505467300692,0.0148277848426989,-0.00272485929690793,-0.00272485929690793,-0.00272485929690793
"ZEB1",-0.20268926315794,-0.121657845668093,-0.121657845668093,-0.121657845668093,-0.119271533196233,-0.119271533196233,-0.119271533196233,-0.0476309012606806,-0.0476309012606806,0.0215748305593428,0.0741873536434981,0.121657845668093,0.121657845668093,0.121657845668093
"ESRP1",-0.201033602040901,-0.118095062607998,-0.118095062607998,-0.118095062607998,-0.1204052936311,-0.2204052936311,-0.1204052936311,-0.0438874074501156,-0.0438874074501156,0.119271533196233,0.0715226073865189,0.118095062607998,0.118095062607998,0.118095062607998
"MIR340",-0.201433282296696,-0.119271533196233,-0.119271533196233,-0.119271533196233,-0.118095062607998,-0.118095062607998,-0.118095062607998,-0.0462484127814179,-0.0462484127814179,0.121657845668093,0.0722918381557496,0.119271533196233,0.119271533196233,0.119271533196233
"MIR34",0.0650578162659873,-0.190985651299575,-0.190985651299575,-0.190985651299575,-0.190373406401616,-0.190373406401616,-0.190373406401616,-0.186756655199744,-0.186756655199744,0.192313924544357,0.220702805463777,0.190985651299575,0.190985651299575,0.190985651299575
"SNAIL1",-0.0345881119080137,-0.192313924544357,-0.192313924544357,-0.192313924544357,-0.190985651299575,-0.190985651299575,-0.190985651299575,-0.189504041535751,-0.189504041535751,0.193774296017489,0.22348721278279,0.192313924544357,0.192313924544357,0.192313924544357
