"","MIR200","HA","CD44s","MIR340","MIR190","HAS2","GRHL2","ESRP1","TGFB","ZEB1","SNAIL1","MIR1199","MIR34","CD24"
"HAS2",0.129476275358628,0.223052109181141,0.123052109181141,0.110840888059029,0.110840888059029,0.110840888059029,0.110840888059029,0.110840888059029,-0.00515919073465886,-0.11954677041197,-0.0867857763497147,-0.110840888059029,-0.113543329281398,-0.123052109181141
"HA",0.137473228900136,0.110840888059029,0.110840888059029,0.11954677041197,0.11954677041197,0.11954677041197,0.11954677041197,0.11954677041197,-0.00310790868337681,-0.113198278741552,-0.0819096772290113,-0.11954677041197,-0.116818272160301,-0.110840888059029
"CD24",0.137473228900136,0.110840888059029,0.110840888059029,0.11954677041197,0.11954677041197,0.11954677041197,0.11954677041197,0.11954677041197,-0.00310790868337681,-0.113198278741552,-0.0819096772290113,-0.11954677041197,-0.116818272160301,-0.110840888059029
"MIR200",0.0456730118058656,0.105052768908573,0.105052768908573,0.114995250420487,0.114995250420487,0.114995250420487,0.114995250420487,0.114995250420487,-0.0111002478657286,-0.107716275100275,0.0110034648780853,-0.114995250420487,-0.19955559171094,-0.105052768908573
"MIR34",-0.0395142188949355,0.0293020265932592,0.0293020265932592,0.0199142714912183,0.0199142714912183,0.0199142714912183,0.0199142714912183,0.0199142714912183,0.0656470418708824,-0.026783341699947,-0.00258582067638901,-0.0199142714912183,-0.0626015395565415,-0.0293020265932592
"SNAIL1",-0.033217112160192,0.0199142714912183,0.0199142714912183,0.026783341699947,0.026783341699947,0.026783341699947,0.026783341699947,0.026783341699947,0.0673176862622905,-0.0218067360002447,-0.0988427756586854,-0.026783341699947,-0.0651057943583893,-0.0199142714912183
"GRHL2",0.031629066403745,0.0123520694268874,0.0123520694268874,0.0219791292707729,0.0219791292707729,0.0219791292707729,0.0219791292707729,0.0219791292707729,-0.00305208092133475,-0.014978152390278,-0.0649275074911629,-0.0219791292707729,-0.0128850796149174,-0.112352069426887
"ZEB1",-0.131655256549906,-0.11954677041197,-0.11954677041197,-0.113198278741552,-0.113198278741552,-0.113198278741552,-0.113198278741552,-0.113198278741552,0.00454110332045494,0.0177973157662902,0.0854981939754227,0.113198278741552,0.114514124694864,0.11954677041197
"MIR190",0.0307788864307894,-0.0164954870837224,-0.0164954870837224,-0.0293020265932592,-0.0293020265932592,-0.0293020265932592,-0.0293020265932592,-0.0293020265932592,0.0322298158785868,0.0199142714912183,-0.00269158121806296,0.0293020265932592,0.0658609919685363,0.0164954870837224
"TGFB",0.0395142188949355,-0.0293020265932592,-0.0293020265932592,-0.0199142714912183,-0.0199142714912183,-0.0199142714912183,-0.0199142714912183,-0.0199142714912183,-0.0656470418708824,0.026783341699947,0.00258582067638901,0.0199142714912183,0.0626015395565415,0.0293020265932592
"MIR340",-0.137473228900136,-0.110840888059029,-0.110840888059029,-0.11954677041197,-0.11954677041197,-0.11954677041197,-0.11954677041197,-0.11954677041197,0.00310790868337681,0.113198278741552,0.0819096772290113,0.11954677041197,0.116818272160301,0.110840888059029
"MIR1199",-0.137473228900136,-0.110840888059029,-0.110840888059029,-0.11954677041197,-0.11954677041197,-0.11954677041197,-0.11954677041197,-0.11954677041197,0.00310790868337681,0.113198278741552,0.0819096772290113,0.11954677041197,0.116818272160301,0.110840888059029
"CD44s",-0.137473228900136,-0.110840888059029,-0.110840888059029,-0.11954677041197,-0.11954677041197,-0.11954677041197,-0.11954677041197,-0.11954677041197,0.00310790868337681,0.113198278741552,0.0819096772290113,0.11954677041197,0.116818272160301,0.110840888059029
"ESRP1",-0.129476275358628,-0.123052109181141,-0.0230521091811414,-0.110840888059029,-0.110840888059029,-0.110840888059029,-0.110840888059029,-0.110840888059029,0.00515919073465886,0.11954677041197,0.0867857763497147,0.110840888059029,0.113543329281398,0.123052109181141
