"","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","MIR200","ZEB1","TGFB","ESRP1","HA","CD24","SNAIL1"
"GRHL2",0.428663015995046,0.434127022933467,0.434127022933467,0.434127022933467,0.434127022933467,0.434127022933467,0.257852160708646,0.257852160708646,-0.43318270512168,-0.326899432759583,-0.434127022933467,-0.428663015995046,-0.528663015995046,-0.377341476300618
"TGFB",0.336147869986626,0.336147869986626,0.336147869986626,0.336147869986626,0.336147869986626,0.336147869986626,0.249124055758509,0.249124055758509,-0.337627945887954,-0.317956246142688,-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.0104287094918842
"SNAIL1",0.336147869986626,0.337627945887954,0.337627945887954,0.337627945887954,0.337627945887954,0.337627945887954,0.249877763514405,0.249877763514405,-0.337528697341237,-0.317319810184057,-0.337627945887954,-0.336147869986626,-0.336147869986626,-0.110580454560169
"HAS2",0.27298593879239,0.26275491569008,0.26275491569008,0.26275491569008,0.26275491569008,0.26275491569008,0.1150690830935,0.1150690830935,-0.273813739219492,-0.184795921194162,-0.26275491569008,-0.37298593879239,-0.27298593879239,-0.349736730421172
"ESRP1",0.17298593879239,0.26275491569008,0.26275491569008,0.26275491569008,0.26275491569008,0.26275491569008,0.1150690830935,0.1150690830935,-0.273813739219492,-0.184795921194162,-0.26275491569008,-0.27298593879239,-0.27298593879239,-0.349736730421172
"MIR340",0.26275491569008,0.273813739219492,0.273813739219492,0.273813739219492,0.273813739219492,0.273813739219492,0.121085838615206,0.121085838615206,-0.268275693294233,-0.174795921194162,-0.273813739219492,-0.26275491569008,-0.26275491569008,-0.351255515393195
"MIR1199",0.26275491569008,0.273813739219492,0.273813739219492,0.273813739219492,0.273813739219492,0.273813739219492,0.121085838615206,0.121085838615206,-0.268275693294233,-0.174795921194162,-0.273813739219492,-0.26275491569008,-0.26275491569008,-0.351255515393195
"MIR200",0.1366185478918,0.1429455815812,0.1429455815812,0.1429455815812,0.1429455815812,0.1429455815812,-0.0276602732397537,-0.0276602732397537,-0.139103032377826,-0.0958154204425678,-0.1429455815812,-0.1366185478918,-0.1366185478918,-0.285792487567574
"ZEB1",-0.273813739219492,-0.268275693294233,-0.268275693294233,-0.268275693294233,-0.268275693294233,-0.268275693294233,-0.116995976864054,-0.116995976864054,0.17343923305847,0.182794071910759,0.268275693294233,0.273813739219492,0.273813739219492,0.351853601517597
"HA",-0.26275491569008,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.121085838615206,-0.121085838615206,0.268275693294233,0.174795921194162,0.273813739219492,0.26275491569008,0.26275491569008,0.351255515393195
"CD44s",-0.26275491569008,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.121085838615206,-0.121085838615206,0.268275693294233,0.174795921194162,0.273813739219492,0.26275491569008,0.26275491569008,0.351255515393195
"CD24",-0.26275491569008,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.273813739219492,-0.121085838615206,-0.121085838615206,0.268275693294233,0.174795921194162,0.273813739219492,0.26275491569008,0.26275491569008,0.351255515393195
"MIR190",-0.33151571739807,-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.250167080530347,-0.250167080530347,0.336147869986626,0.216470046567317,0.336147869986626,0.33151571739807,0.33151571739807,0.00988743750270964
"MIR34",-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.336147869986626,-0.249124055758509,-0.249124055758509,0.337627945887954,0.317956246142688,0.336147869986626,0.336147869986626,0.336147869986626,0.0104287094918842
