"","MIR340","MIR190","MIR1199","HAS2","GRHL2","CD44s","MIR34","MIR200","ZEB1","SNAIL1","TGFB","HA","CD24","ESRP1"
"GRHL2",0.213068809109557,0.213068809109557,0.213068809109557,0.213068809109557,0.213068809109557,0.213328999916148,0.200025070507335,0.217558097526086,-0.213166497159052,-0.0646484694114677,-0.214957410978912,-0.213328999916148,-0.313328999916148,-0.213068809109557
"MIR200",0.122767254116301,0.122767254116301,0.122767254116301,0.122767254116301,0.122767254116301,0.12252074631022,0.222947372367067,0.00953758383683883,-0.122736013878875,0.112622627200098,-0.114340071357622,-0.12252074631022,-0.12252074631022,-0.122767254116301
"HA",0.111574003554202,0.111574003554202,0.111574003554202,0.111574003554202,0.111574003554202,0.111574003554202,0.110185388555077,0.106017067270021,-0.111709077845062,-0.0398906469309014,-0.106895088655539,-0.111574003554202,-0.111574003554202,-0.111574003554202
"CD44s",0.111574003554202,0.111574003554202,0.111574003554202,0.111574003554202,0.111574003554202,0.111574003554202,0.110185388555077,0.106017067270021,-0.111709077845062,-0.0398906469309014,-0.106895088655539,-0.111574003554202,-0.111574003554202,-0.111574003554202
"MIR190",0.0796036198312204,0.0796036198312204,0.0796036198312204,0.0796036198312204,0.0796036198312204,0.0787861811391223,0.16257949945069,-0.0862631470695943,-0.0791954565659143,0.13837825463391,-0.0341432916101141,-0.0787861811391223,-0.0787861811391223,-0.0796036198312204
"SNAIL1",0.0789298019169579,0.0789298019169579,0.0789298019169579,0.0789298019169579,0.0789298019169579,0.0791954565659143,0.161286654650075,-0.0858321988027227,-0.0788872668255075,0.0374816103422827,0.0654320799397797,-0.0791954565659143,-0.0791954565659143,-0.0789298019169579
"ZEB1",-0.111709077845062,-0.111709077845062,-0.111709077845062,-0.111709077845062,-0.111709077845062,-0.111574003554202,-0.110531010674892,-0.105844256210113,0.0118252989973113,0.0396514124811406,0.106941320740606,0.111574003554202,0.111574003554202,0.111709077845062
"TGFB",-0.0791954565659143,-0.0791954565659143,-0.0791954565659143,-0.0791954565659143,-0.0791954565659143,-0.0796036198312204,-0.161797230871811,0.0860023908766347,0.0789298019169579,-0.137431028652854,-0.0654320799397797,0.0796036198312204,0.0796036198312204,0.0791954565659143
"MIR34",-0.0791954565659143,-0.0791954565659143,-0.0791954565659143,-0.0791954565659143,-0.0791954565659143,-0.0796036198312204,-0.161797230871811,0.0860023908766347,0.0789298019169579,-0.137431028652854,-0.0654320799397797,0.0796036198312204,0.0796036198312204,0.0791954565659143
"HAS2",-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.112564102564103,-0.110261550017377,-0.10594090580772,0.111574003554202,0.040610071391333,0.107151498911949,0.0125641025641026,0.112564102564103,0.111574003554202
"ESRP1",-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.212564102564103,-0.110261550017377,-0.10594090580772,0.111574003554202,0.040610071391333,0.107151498911949,0.112564102564103,0.112564102564103,0.111574003554202
"MIR340",-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.110185388555077,-0.106017067270021,0.111709077845062,0.0398906469309014,0.106895088655539,0.111574003554202,0.111574003554202,0.111574003554202
"MIR1199",-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.110185388555077,-0.106017067270021,0.111709077845062,0.0398906469309014,0.106895088655539,0.111574003554202,0.111574003554202,0.111574003554202
"CD24",-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.111574003554202,-0.110185388555077,-0.106017067270021,0.111709077845062,0.0398906469309014,0.106895088655539,0.111574003554202,0.111574003554202,0.111574003554202
