"","MIR190","MIR1199","GRHL2","ESRP1","HA","CD44s","CD24","MIR200","MIR34","TGFB","SNAIL1","ZEB1","MIR340","HAS2"
"GRHL2",0.749627574852723,0.749627574852723,0.749627574852723,0.749627574852723,0.694380393586461,0.694380393586461,0.794380393586461,0.624878765007849,0.527429447373878,-0.0258840430681534,-0.194166030017528,-0.798699538382518,-0.749627574852723,-0.749627574852723
"MIR1199",0.639424016055087,0.639424016055087,0.639424016055087,0.639424016055087,0.586012251349204,0.586012251349204,0.586012251349204,0.497187533147578,0.423381296112805,-0.0182851334194251,-0.173446454510098,-0.686835092146937,-0.639424016055087,-0.639424016055087
"HA",0.639424016055087,0.639424016055087,0.639424016055087,0.639424016055087,0.586012251349204,0.586012251349204,0.586012251349204,0.497187533147578,0.423381296112805,-0.0182851334194251,-0.173446454510098,-0.686835092146937,-0.639424016055087,-0.639424016055087
"CD44s",0.639424016055087,0.639424016055087,0.639424016055087,0.639424016055087,0.586012251349204,0.586012251349204,0.586012251349204,0.497187533147578,0.423381296112805,-0.0182851334194251,-0.173446454510098,-0.686835092146937,-0.639424016055087,-0.639424016055087
"CD24",0.639424016055087,0.639424016055087,0.639424016055087,0.639424016055087,0.586012251349204,0.586012251349204,0.586012251349204,0.497187533147578,0.423381296112805,-0.0182851334194251,-0.173446454510098,-0.686835092146937,-0.639424016055087,-0.639424016055087
"ESRP1",0.586012251349204,0.586012251349204,0.586012251349204,0.586012251349204,0.525616211745244,0.625616211745244,0.525616211745244,0.458725994686039,0.392688226805874,-0.015208210342502,-0.164093936524487,-0.639424016055087,-0.586012251349204,-0.586012251349204
"MIR200",0.547874786513665,0.547874786513665,0.547874786513665,0.547874786513665,0.504407243374799,0.504407243374799,0.504407243374799,0.50732522075437,0.270788297696047,-0.209089552821017,-0.170384630490405,-0.586019116410572,-0.547874786513665,-0.547874786513665
"MIR34",0.25978237253121,0.25978237253121,0.25978237253121,0.25978237253121,0.242639515388353,0.242639515388353,0.242639515388353,0.219979541153943,0.0760125508988885,-0.0790949639342922,-0.0584338777184211,-0.275987306117548,-0.25978237253121,-0.25978237253121
"MIR190",-0.242639515388353,-0.242639515388353,-0.242639515388353,-0.242639515388353,-0.222203548085901,-0.222203548085901,-0.222203548085901,-0.206811353409484,-0.0672772184347425,0.179731906609451,0.0546449737941992,0.25978237253121,0.242639515388353,0.242639515388353
"TGFB",-0.25978237253121,-0.25978237253121,-0.25978237253121,-0.25978237253121,-0.242639515388353,-0.242639515388353,-0.242639515388353,-0.219979541153943,-0.0760125508988885,0.0790949639342922,0.0584338777184211,0.275987306117548,0.25978237253121,0.25978237253121
"SNAIL1",-0.275987306117548,-0.275987306117548,-0.275987306117548,-0.275987306117548,-0.25978237253121,-0.25978237253121,-0.25978237253121,-0.23172279425387,-0.0850327308162238,0.0804473903463845,-0.0397451814621555,0.289981351204745,0.275987306117548,0.275987306117548
"ZEB1",-0.686835092146937,-0.686835092146937,-0.686835092146937,-0.686835092146937,-0.639424016055087,-0.639424016055087,-0.639424016055087,-0.530885689829605,-0.450339821458427,0.0206429697578439,0.182716789438328,0.628890546239582,0.686835092146937,0.686835092146937
"HAS2",-0.586012251349204,-0.586012251349204,-0.586012251349204,-0.586012251349204,-0.625616211745244,-0.525616211745244,-0.525616211745244,-0.458725994686039,-0.392688226805874,0.015208210342502,0.164093936524487,0.639424016055087,0.586012251349204,0.586012251349204
"MIR340",-0.639424016055087,-0.639424016055087,-0.639424016055087,-0.639424016055087,-0.586012251349204,-0.586012251349204,-0.586012251349204,-0.497187533147578,-0.423381296112805,0.0182851334194251,0.173446454510098,0.686835092146937,0.639424016055087,0.639424016055087
