"","SNAIL1","MIR340","MIR190","MIR1199","GRHL2","CD44s","MIR200","TGFB","ZEB1","HA","CD24","HAS2","ESRP1","MIR34"
"SNAIL1",0.436347874448496,0.407072473320484,0.407072473320484,0.407072473320484,0.407072473320484,0.398533573889744,-0.0621796325949255,0.218941377775308,-0.412956494304462,-0.398533573889744,-0.398533573889744,-0.407072473320484,-0.407072473320484,-0.514424312596209
"MIR340",0.244745388721314,0.217196606888831,0.217196606888831,0.217196606888831,0.217196606888831,0.209431901006478,0.116822191092034,0.0386882685227682,-0.22057346416033,-0.209431901006478,-0.209431901006478,-0.217196606888831,-0.217196606888831,-0.25413033124366
"MIR1199",0.244745388721314,0.217196606888831,0.217196606888831,0.217196606888831,0.217196606888831,0.209431901006478,0.116822191092034,0.0386882685227682,-0.22057346416033,-0.209431901006478,-0.209431901006478,-0.217196606888831,-0.217196606888831,-0.25413033124366
"CD24",0.244745388721314,0.217196606888831,0.217196606888831,0.217196606888831,0.217196606888831,0.209431901006478,0.116822191092034,0.0386882685227682,-0.22057346416033,-0.209431901006478,-0.209431901006478,-0.217196606888831,-0.217196606888831,-0.25413033124366
"ESRP1",0.239549545395974,0.209431901006478,0.209431901006478,0.209431901006478,0.209431901006478,0.103821339950372,0.115222800383733,0.0366369864714862,-0.217196606888831,-0.203821339950372,-0.203821339950372,-0.209431901006478,-0.209431901006478,-0.245676408928351
"GRHL2",0.144602829054144,0.0588919091519645,0.0588919091519645,0.0588919091519645,0.0588919091519645,0.0546421259776367,0.0120217625859815,0.0186500107145138,-0.0591849733004504,-0.0546421259776367,-0.154642125977637,-0.0588919091519645,-0.0588919091519645,-0.0805084576503571
"MIR200",0.120867243664635,-0.0809838465761649,-0.0809838465761649,-0.0809838465761649,-0.0809838465761649,-0.0805730002326974,-0.202309475008631,0.00611743304155731,0.0798904382662618,0.0805730002326974,0.0805730002326974,0.0809838465761649,0.0809838465761649,-0.0165591311927299
"ZEB1",-0.249530077716529,-0.22057346416033,-0.22057346416033,-0.22057346416033,-0.22057346416033,-0.217196606888831,-0.117110209525214,-0.0407687123507849,0.124309144054071,0.217196606888831,0.217196606888831,0.22057346416033,0.22057346416033,0.258162589308176
"HAS2",-0.239549545395974,-0.209431901006478,-0.209431901006478,-0.209431901006478,-0.209431901006478,-0.203821339950372,-0.115222800383733,-0.0366369864714862,0.217196606888831,0.303821339950372,0.203821339950372,0.209431901006478,0.209431901006478,0.245676408928351
"HA",-0.244745388721314,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.209431901006478,-0.116822191092034,-0.0386882685227682,0.22057346416033,0.209431901006478,0.209431901006478,0.217196606888831,0.217196606888831,0.25413033124366
"CD44s",-0.244745388721314,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.217196606888831,-0.209431901006478,-0.116822191092034,-0.0386882685227682,0.22057346416033,0.209431901006478,0.209431901006478,0.217196606888831,0.217196606888831,0.25413033124366
"MIR190",-0.516752774369989,-0.387309084093825,-0.387309084093825,-0.387309084093825,-0.387309084093825,-0.370687830687831,0.0650813931905629,-0.110637307321442,0.398533573889744,0.370687830687831,0.370687830687831,0.387309084093825,0.387309084093825,0.49204356354187
"TGFB",-0.528254804139948,-0.398533573889744,-0.398533573889744,-0.398533573889744,-0.398533573889744,-0.387309084093825,0.0635168560328054,-0.215520534497663,0.407072473320484,0.387309084093825,0.387309084093825,0.398533573889744,0.398533573889744,0.50482061699689
"MIR34",-0.528254804139948,-0.398533573889744,-0.398533573889744,-0.398533573889744,-0.398533573889744,-0.387309084093825,0.0635168560328054,-0.215520534497663,0.407072473320484,0.387309084093825,0.387309084093825,0.398533573889744,0.398533573889744,0.50482061699689
