"","MIR190","MIR1199","GRHL2","ESRP1","HA","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","CD44s","MIR340","HAS2"
"SNAIL1",0.719592380622226,0.719592380622226,0.719592380622226,0.719592380622226,0.669687257282568,0.669687257282568,0.15439229629561,0.688853551480111,0.37019164174842,-0.699892346469496,-0.762198363891757,-0.669687257282568,-0.719592380622226,-0.719592380622226
"MIR190",0.612748481772364,0.612748481772364,0.612748481772364,0.612748481772364,0.546535947712418,0.546535947712418,0.0882593144410834,0.618291962014839,0.469362006217213,-0.700883990713956,-0.669687257282568,-0.546535947712418,-0.612748481772364,-0.612748481772364
"GRHL2",0.634587726714561,0.634587726714561,0.634587726714561,0.634587726714561,0.59859466513607,0.69859466513607,0.540571910676656,0.461289853526698,-0.162916701825065,-0.505397893642483,-0.663535952048328,-0.59859466513607,-0.634587726714561,-0.634587726714561
"MIR200",0.565190108175792,0.565190108175792,0.565190108175792,0.565190108175792,0.519750502588282,0.519750502588282,0.268756786276894,0.533256563131193,0.171113980853432,-0.650987711534963,-0.600710258128932,-0.519750502588282,-0.565190108175792,-0.565190108175792
"MIR1199",0.499552506848992,0.499552506848992,0.499552506848992,0.499552506848992,0.463081918613698,0.463081918613698,0.401889215278079,0.347480146704771,-0.140845749811752,-0.383332690364088,-0.525621844984966,-0.463081918613698,-0.499552506848992,-0.499552506848992
"HA",0.499552506848992,0.499552506848992,0.499552506848992,0.499552506848992,0.463081918613698,0.463081918613698,0.401889215278079,0.347480146704771,-0.140845749811752,-0.383332690364088,-0.525621844984966,-0.463081918613698,-0.499552506848992,-0.499552506848992
"CD24",0.499552506848992,0.499552506848992,0.499552506848992,0.499552506848992,0.463081918613698,0.463081918613698,0.401889215278079,0.347480146704771,-0.140845749811752,-0.383332690364088,-0.525621844984966,-0.463081918613698,-0.499552506848992,-0.499552506848992
"ESRP1",0.463081918613698,0.463081918613698,0.463081918613698,0.463081918613698,0.428428453267163,0.428428453267163,0.374851896161552,0.32729735919525,-0.138687476430457,-0.356409613441011,-0.499552506848992,-0.528428453267163,-0.463081918613698,-0.463081918613698
"ZEB1",-0.525621844984966,-0.525621844984966,-0.525621844984966,-0.525621844984966,-0.499552506848992,-0.499552506848992,-0.41934313232877,-0.363378764216291,0.145989290481608,0.409916139277634,0.450244126240155,0.499552506848992,0.525621844984966,0.525621844984966
"HAS2",-0.463081918613698,-0.463081918613698,-0.463081918613698,-0.463081918613698,-0.528428453267163,-0.428428453267163,-0.374851896161552,-0.32729735919525,0.138687476430457,0.356409613441011,0.499552506848992,0.428428453267163,0.463081918613698,0.463081918613698
"MIR340",-0.499552506848992,-0.499552506848992,-0.499552506848992,-0.499552506848992,-0.463081918613698,-0.463081918613698,-0.401889215278079,-0.347480146704771,0.140845749811752,0.383332690364088,0.525621844984966,0.463081918613698,0.499552506848992,0.499552506848992
"CD44s",-0.499552506848992,-0.499552506848992,-0.499552506848992,-0.499552506848992,-0.463081918613698,-0.463081918613698,-0.401889215278079,-0.347480146704771,0.140845749811752,0.383332690364088,0.525621844984966,0.463081918613698,0.499552506848992,0.499552506848992
"TGFB",-0.669687257282568,-0.669687257282568,-0.669687257282568,-0.669687257282568,-0.612748481772364,-0.612748481772364,-0.122809510008228,-0.656492744283418,-0.470444550195563,0.654387175427332,0.719592380622226,0.612748481772364,0.669687257282568,0.669687257282568
"MIR34",-0.669687257282568,-0.669687257282568,-0.669687257282568,-0.669687257282568,-0.612748481772364,-0.612748481772364,-0.122809510008228,-0.656492744283418,-0.470444550195563,0.654387175427332,0.719592380622226,0.612748481772364,0.669687257282568,0.669687257282568
