"","SNAIL1","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","MIR200","ZEB1","TGFB","ESRP1","HA","CD44s"
"HAS2",0.107825945352943,0.094177005789909,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0686962217705836,0.0686962217705836,-0.0940822669042557,-0.0791998144868393,-0.0938469727866087,-0.194177005789909,-0.094177005789909
"ESRP1",0.107825945352943,0.094177005789909,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0938469727866087,0.0686962217705836,0.0686962217705836,-0.0940822669042557,-0.0791998144868393,-0.0938469727866087,-0.094177005789909,0.00582299421009099
"MIR1199",0.107746009301784,0.0938469727866087,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0684677373836834,0.0684677373836834,-0.0939471926133958,-0.078943404230429,-0.0940822669042557,-0.0938469727866087,-0.0938469727866087
"CD44s",0.107746009301784,0.0938469727866087,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0684677373836834,0.0684677373836834,-0.0939471926133958,-0.078943404230429,-0.0940822669042557,-0.0938469727866087,-0.0938469727866087
"CD24",0.107746009301784,0.0938469727866087,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0940822669042557,0.0684677373836834,0.0684677373836834,-0.0939471926133958,-0.078943404230429,-0.0940822669042557,-0.0938469727866087,-0.0938469727866087
"TGFB",0.0132996850046489,0.0853116808333991,0.085107599200746,0.085107599200746,0.085107599200746,0.085107599200746,0.085107599200746,0.0855460156208187,0.0855460156208187,-0.0850696485366094,-0.118828086953097,-0.085107599200746,-0.0853116808333991,-0.0853116808333991
"MIR200",0.0987852948849442,0.0793083469709281,0.0792261777022346,0.0792261777022346,0.0792261777022346,0.0792261777022346,0.0792261777022346,-0.0172011037103506,-0.0172011037103506,-0.0791949374648088,-0.0809626494142007,-0.0792261777022346,-0.0793083469709281,-0.0793083469709281
"ZEB1",-0.107626392076904,-0.0940822669042557,-0.0939471926133958,-0.0939471926133958,-0.0939471926133958,-0.0939471926133958,-0.0939471926133958,-0.0684101336970474,-0.0684101336970474,-0.00613582249535402,0.078897172145362,0.0939471926133958,0.0940822669042557,0.0940822669042557
"GRHL2",-0.0786846593814872,0.103337666750518,0.00307747594392681,0.00307747594392681,0.00307747594392681,0.00307747594392681,0.00307747594392681,0.0159580975260857,0.0159580975260857,-0.00324028935975227,-0.0100545806457658,-0.00307747594392681,-0.00333766675051831,-0.00333766675051831
"SNAIL1",-0.113249103315221,-0.085107599200746,-0.0850696485366094,-0.0850696485366094,-0.0850696485366094,-0.0850696485366094,-0.0850696485366094,-0.0854244498537387,-0.0854244498537387,0.0850554701727926,0.118668977963439,0.0850696485366094,0.085107599200746,0.085107599200746
"MIR34",-0.0132996850046489,-0.0853116808333991,-0.085107599200746,-0.085107599200746,-0.085107599200746,-0.085107599200746,-0.085107599200746,-0.0855460156208187,-0.0855460156208187,0.0850696485366094,0.118828086953097,0.085107599200746,0.0853116808333991,0.0853116808333991
"MIR190",-0.0130290490100617,-0.084494242141301,-0.0853116808333991,-0.0853116808333991,-0.0853116808333991,-0.0853116808333991,-0.0853116808333991,-0.0856763937172985,-0.0856763937172985,0.085107599200746,0.018403458502991,0.0853116808333991,0.084494242141301,0.084494242141301
"MIR340",-0.107746009301784,-0.0938469727866087,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0684677373836834,-0.0684677373836834,0.0939471926133958,0.078943404230429,0.0940822669042557,0.0938469727866087,0.0938469727866087
"HA",-0.107746009301784,-0.0938469727866087,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0940822669042557,-0.0684677373836834,-0.0684677373836834,0.0939471926133958,0.078943404230429,0.0940822669042557,0.0938469727866087,0.0938469727866087
