"","HA","CD44s","CD24","MIR190","MIR1199","HAS2","MIR34","TGFB","ZEB1","SNAIL1","MIR200","MIR340","GRHL2","ESRP1"
"HAS2",0.236377171215881,0.136377171215881,0.136377171215881,0.151888722370996,0.151888722370996,0.151888722370996,0.127819722514506,-0.0049456165590079,-0.143653428253349,-0.0755341050548468,-0.113541983974836,-0.151888722370996,-0.151888722370996,-0.151888722370996
"MIR340",0.151888722370996,0.151888722370996,0.151888722370996,0.143653428253349,0.143653428253349,0.143653428253349,0.124240133786403,-0.00289433450772584,-0.14054671956357,-0.0759337853106422,-0.106458967980929,-0.143653428253349,-0.143653428253349,-0.143653428253349
"HA",0.151888722370996,0.151888722370996,0.151888722370996,0.143653428253349,0.143653428253349,0.143653428253349,0.124240133786403,-0.00289433450772584,-0.14054671956357,-0.0759337853106422,-0.106458967980929,-0.143653428253349,-0.143653428253349,-0.143653428253349
"CD44s",0.151888722370996,0.151888722370996,0.151888722370996,0.143653428253349,0.143653428253349,0.143653428253349,0.124240133786403,-0.00289433450772584,-0.14054671956357,-0.0759337853106422,-0.106458967980929,-0.143653428253349,-0.143653428253349,-0.143653428253349
"CD24",0.151888722370996,0.151888722370996,0.151888722370996,0.143653428253349,0.143653428253349,0.143653428253349,0.124240133786403,-0.00289433450772584,-0.14054671956357,-0.0759337853106422,-0.106458967980929,-0.143653428253349,-0.143653428253349,-0.143653428253349
"TGFB",0.0989070457126235,0.0989070457126235,0.0989070457126235,0.101764188569766,0.101764188569766,0.101764188569766,0.139927035108714,-0.0903882190535811,-0.100587717981531,-0.0648330559712128,0.0369788528298527,-0.101764188569766,-0.101764188569766,-0.101764188569766
"MIR34",0.0989070457126235,0.0989070457126235,0.0989070457126235,0.101764188569766,0.101764188569766,0.101764188569766,0.139927035108714,-0.0903882190535811,-0.100587717981531,-0.0648330559712128,0.0369788528298527,-0.101764188569766,-0.101764188569766,-0.101764188569766
"MIR200",0.109630682490091,0.109630682490091,0.109630682490091,0.103303648800691,0.103303648800691,0.103303648800691,0.000280382873205502,-0.000762173220458608,-0.100273345770388,0.0414636171298475,-0.185129089385267,-0.103303648800691,-0.103303648800691,-0.103303648800691
"ZEB1",-0.143653428253349,-0.143653428253349,-0.143653428253349,-0.14054671956357,-0.14054671956357,-0.14054671956357,-0.122396815814052,0.00395767246426768,0.0456770532843071,0.0748572302867188,0.104327631575399,0.14054671956357,0.14054671956357,0.14054671956357
"SNAIL1",-0.101764188569766,-0.101764188569766,-0.101764188569766,-0.100587717981531,-0.100587717981531,-0.100587717981531,-0.136498880477059,0.0926952994036209,0.0993542003294682,-0.0292994680550897,-0.0350581137099889,0.100587717981531,0.100587717981531,0.100587717981531
"MIR190",-0.0969996887643947,-0.0969996887643947,-0.0969996887643947,-0.0989070457126235,-0.0989070457126235,-0.0989070457126235,-0.134320776960083,-0.00579012489546346,0.101764188569766,0.072275545822363,-0.0350231813826559,0.0989070457126235,0.0989070457126235,0.0989070457126235
"MIR1199",-0.151888722370996,-0.151888722370996,-0.151888722370996,-0.143653428253349,-0.143653428253349,-0.143653428253349,-0.124240133786403,0.00289433450772584,0.14054671956357,0.0759337853106422,0.106458967980929,0.143653428253349,0.143653428253349,0.143653428253349
"ESRP1",-0.136377171215881,-0.236377171215881,-0.136377171215881,-0.151888722370996,-0.151888722370996,-0.151888722370996,-0.127819722514506,0.0049456165590079,0.143653428253349,0.0755341050548468,0.113541983974836,0.151888722370996,0.151888722370996,0.151888722370996
"GRHL2",-0.196579971130034,-0.196579971130034,-0.296579971130034,-0.194585174946165,-0.194585174946165,-0.194585174946165,-0.210306798413496,0.0107686155738479,0.190058961986218,0.100153491978197,0.170759019477751,0.194585174946165,0.194585174946165,0.194585174946165
