"","HA","CD44s","CD24","MIR340","MIR1199","HAS2","ESRP1","MIR200","TGFB","ZEB1","SNAIL1","MIR34","MIR190","GRHL2"
"HAS2",0.195632754342432,0.0956327543424318,0.0956327543424318,0.109164107477745,0.109164107477745,0.109164107477745,0.109164107477745,0.0919666299910473,0.00405743170307195,-0.111517048654216,-0.059852985160202,-0.0919666299910473,-0.109164107477745,-0.109164107477745
"ESRP1",0.0956327543424318,0.195632754342432,0.0956327543424318,0.109164107477745,0.109164107477745,0.109164107477745,0.109164107477745,0.0919666299910473,0.00405743170307195,-0.111517048654216,-0.059852985160202,-0.0919666299910473,-0.109164107477745,-0.109164107477745
"MIR1199",0.109164107477745,0.109164107477745,0.109164107477745,0.111517048654216,0.111517048654216,0.111517048654216,0.111517048654216,0.0928044060763481,0.00174973939537964,-0.104718309347597,-0.0639297237693147,-0.0928044060763481,-0.111517048654216,-0.111517048654216
"HA",0.109164107477745,0.109164107477745,0.109164107477745,0.111517048654216,0.111517048654216,0.111517048654216,0.111517048654216,0.0928044060763481,0.00174973939537964,-0.104718309347597,-0.0639297237693147,-0.0928044060763481,-0.111517048654216,-0.111517048654216
"CD44s",0.109164107477745,0.109164107477745,0.109164107477745,0.111517048654216,0.111517048654216,0.111517048654216,0.111517048654216,0.0928044060763481,0.00174973939537964,-0.104718309347597,-0.0639297237693147,-0.0928044060763481,-0.111517048654216,-0.111517048654216
"CD24",0.109164107477745,0.109164107477745,0.109164107477745,0.111517048654216,0.111517048654216,0.111517048654216,0.111517048654216,0.0928044060763481,0.00174973939537964,-0.104718309347597,-0.0639297237693147,-0.0928044060763481,-0.111517048654216,-0.111517048654216
"MIR190",0.00628073451602863,0.00628073451602863,0.00628073451602863,0.0136376827449115,0.0136376827449115,0.0136376827449115,0.0136376827449115,0.0651269031458656,-0.169924093902378,-0.0179233970306258,0.0194355470878343,-0.0651269031458656,-0.0136376827449115,-0.0136376827449115
"MIR34",0.0136376827449115,0.0136376827449115,0.0136376827449115,0.0179233970306258,0.0179233970306258,0.0179233970306258,0.0179233970306258,0.0687774898472998,-0.0711979792526962,-0.0137867746397339,0.015376007169025,-0.0687774898472998,-0.0179233970306258,-0.0179233970306258
"SNAIL1",0.0179233970306258,0.0179233970306258,0.0179233970306258,0.0137867746397339,0.0137867746397339,0.0137867746397339,0.0137867746397339,0.0646685669199961,-0.0717548607164989,-0.0126950406258391,-0.0842193393155475,-0.0646685669199961,-0.0137867746397339,-0.0137867746397339
"ZEB1",-0.111517048654216,-0.111517048654216,-0.111517048654216,-0.104718309347597,-0.104718309347597,-0.104718309347597,-0.104718309347597,-0.0869864337261177,-0.00216582816098297,0.00539903323934554,0.0621952740085491,0.0869864337261177,0.104718309347597,0.104718309347597
"GRHL2",0.00105601525142059,0.00105601525142059,-0.0989439847485794,-0.000765320394719915,-0.000765320394719915,-0.000765320394719915,-0.000765320394719915,-0.012525996921568,0.00179735389730884,0.00633353921595078,-0.0588341137609115,0.012525996921568,0.000765320394719915,0.000765320394719915
"TGFB",-0.0136376827449115,-0.0136376827449115,-0.0136376827449115,-0.0179233970306258,-0.0179233970306258,-0.0179233970306258,-0.0179233970306258,-0.0687774898472998,0.0711979792526962,0.0137867746397339,-0.015376007169025,0.0687774898472998,0.0179233970306258,0.0179233970306258
"MIR340",-0.109164107477745,-0.109164107477745,-0.109164107477745,-0.111517048654216,-0.111517048654216,-0.111517048654216,-0.111517048654216,-0.0928044060763481,-0.00174973939537964,0.104718309347597,0.0639297237693147,0.0928044060763481,0.111517048654216,0.111517048654216
"MIR200",-0.111323804183213,-0.111323804183213,-0.111323804183213,-0.110748619302358,-0.110748619302358,-0.110748619302358,-0.110748619302358,-0.00495283869526598,-0.194636494398303,0.104719253479178,0.086898970127921,0.00495283869526598,0.110748619302358,0.110748619302358
