"","MIR34","MIR200","TGFB","CD44s","CD24","MIR190","MIR1199","ZEB1","MIR340","HAS2","GRHL2","ESRP1","HA","SNAIL1"
"SNAIL1",-0.189130530728459,-0.189130530728459,-0.111501283755496,0.13324003776503,0.13324003776503,0.133885199055353,0.133885199055353,-0.134154587967872,-0.133885199055353,-0.133885199055353,-0.133885199055353,-0.133885199055353,-0.13324003776503,0.352841577690943
"HAS2",0.18864931221202,0.18864931221202,0.145873908366816,0.0842100909842845,0.0842100909842845,0.0818998599611822,0.0818998599611822,-0.080958683490594,-0.0818998599611822,-0.0818998599611822,-0.0818998599611822,-0.0818998599611822,0.0157899090157155,-0.323021902090197
"MIR340",0.190705671694122,0.190705671694122,0.146643139136046,0.0818998599611822,0.0818998599611822,0.080958683490594,0.080958683490594,-0.0801032129818142,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.0818998599611822,-0.327258512801628
"MIR1199",0.190705671694122,0.190705671694122,0.146643139136046,0.0818998599611822,0.0818998599611822,0.080958683490594,0.080958683490594,-0.0801032129818142,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.0818998599611822,-0.327258512801628
"HA",0.190705671694122,0.190705671694122,0.146643139136046,0.0818998599611822,0.0818998599611822,0.080958683490594,0.080958683490594,-0.0801032129818142,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.0818998599611822,-0.327258512801628
"CD44s",0.190705671694122,0.190705671694122,0.146643139136046,0.0818998599611822,0.0818998599611822,0.080958683490594,0.080958683490594,-0.0801032129818142,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.0818998599611822,-0.327258512801628
"CD24",0.190705671694122,0.190705671694122,0.146643139136046,0.0818998599611822,0.0818998599611822,0.080958683490594,0.080958683490594,-0.0801032129818142,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.080958683490594,-0.0818998599611822,-0.327258512801628
"MIR200",0.290256110622126,0.290256110622126,0.338007389711534,0.0580288621096119,0.0580288621096119,0.0569606616165963,0.0569606616165963,-0.0561171752060996,-0.0569606616165963,-0.0569606616165963,-0.0569606616165963,-0.0569606616165963,-0.0580288621096119,-0.434510093436124
"ZEB1",-0.191684934366933,-0.191684934366933,-0.14752154875232,-0.080958683490594,-0.080958683490594,-0.0801032129818142,-0.0801032129818142,-0.0203118625619348,0.0801032129818142,0.0801032129818142,0.0801032129818142,0.0801032129818142,0.080958683490594,0.329830283136556
"GRHL2",0.0414885618476115,0.0414885618476115,0.0198758936262082,-0.00918148498905423,-0.109181484989054,-0.00926821525791807,-0.00926821525791807,0.00962640477273409,0.00926821525791807,0.00926821525791807,0.00926821525791807,0.00926821525791807,0.00918148498905423,-0.183696585123826
"ESRP1",-0.18864931221202,-0.18864931221202,-0.145873908366816,-0.184210090984285,-0.0842100909842845,-0.0818998599611822,-0.0818998599611822,0.080958683490594,0.0818998599611822,0.0818998599611822,0.0818998599611822,0.0818998599611822,0.0842100909842845,0.323021902090197
"MIR190",0.18703991652495,0.18703991652495,0.210095145391481,-0.131061313414255,-0.131061313414255,-0.132423711234418,-0.132423711234418,0.13324003776503,0.132423711234418,0.132423711234418,0.132423711234418,0.132423711234418,0.131061313414255,-0.447993059241631
"TGFB",0.188474075586227,0.188474075586227,0.110944402291693,-0.132423711234418,-0.132423711234418,-0.13324003776503,-0.13324003776503,0.133885199055353,0.13324003776503,0.13324003776503,0.13324003776503,0.13324003776503,0.132423711234418,-0.450970055182091
"MIR34",0.188474075586227,0.188474075586227,0.110944402291693,-0.132423711234418,-0.132423711234418,-0.13324003776503,-0.13324003776503,0.133885199055353,0.13324003776503,0.13324003776503,0.13324003776503,0.13324003776503,0.132423711234418,-0.450970055182091
