"","MIR34","SNAIL1","HA","CD44s","MIR200","MIR1199","HAS2","GRHL2","TGFB","ZEB1","MIR340","MIR190","ESRP1","CD24"
"MIR190",-0.00463142053064849,-0.0565119891685034,0.137323373793962,0.137323373793962,0.154910359634997,0.142500485510583,0.142500485510583,0.142500485510583,-0.1896351160527,-0.138418852857522,-0.142500485510583,-0.142500485510583,-0.142500485510583,-0.137323373793962
"MIR200",0.0492445799423055,-0.0220907343719306,0.135019069744376,0.135019069744376,0.220725564697866,0.140195733672067,0.140195733672067,0.140195733672067,-0.195558979882917,-0.136165743044138,-0.140195733672067,-0.140195733672067,-0.140195733672067,-0.135019069744376
"MIR340",0.130788681970977,0.101161048626547,0.097029539182206,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206
"MIR1199",0.130788681970977,0.101161048626547,0.097029539182206,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206
"CD44s",0.130788681970977,0.101161048626547,0.097029539182206,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206
"CD24",0.130788681970977,0.101161048626547,0.097029539182206,0.097029539182206,0.0994455650270421,0.102206009770441,0.102206009770441,0.102206009770441,0.00557432364411748,-0.0981988058082622,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206
"GRHL2",0.0282280872523183,0.0735986397393196,0.00624766374143758,0.00624766374143758,0.00342655878594494,0.0125789733684974,0.0125789733684974,0.0125789733684974,0.00412812092580304,-0.00824813650754008,-0.0125789733684974,-0.0125789733684974,-0.0125789733684974,-0.106247663741438
"ZEB1",-0.125834764920285,-0.105527077334681,-0.102206009770441,-0.102206009770441,-0.0992727539671343,-0.0981988058082622,-0.0981988058082622,-0.0981988058082622,-0.00756230330200005,0.00080548022300564,0.0981988058082622,0.0981988058082622,0.0981988058082622,0.102206009770441
"HA",-0.130788681970977,-0.101161048626547,-0.097029539182206,-0.097029539182206,-0.0994455650270421,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.00557432364411748,0.0981988058082622,0.102206009770441,0.102206009770441,0.102206009770441,0.097029539182206
"HAS2",-0.12416263475087,-0.10779574087275,-0.00660049627791563,-0.106600496277916,-0.0993694035647421,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.00865124672104055,0.102206009770441,0.097029539182206,0.097029539182206,0.097029539182206,0.106600496277916
"ESRP1",-0.12416263475087,-0.10779574087275,-0.106600496277916,-0.206600496277916,-0.0993694035647421,-0.097029539182206,-0.097029539182206,-0.097029539182206,-0.00865124672104055,0.102206009770441,0.097029539182206,0.097029539182206,0.097029539182206,0.106600496277916
"SNAIL1",0.00644939140621681,-0.0449186033764812,-0.138418852857522,-0.138418852857522,-0.15457666398179,-0.140809744698129,-0.140809744698129,-0.140809744698129,0.0887316404840375,0.13898073576576,0.140809744698129,0.140809744698129,0.140809744698129,0.138418852857522
"TGFB",0.00958578819688056,0.0520464952578133,-0.142500485510583,-0.142500485510583,-0.154649603442038,-0.138418852857522,-0.138418852857522,-0.138418852857522,0.0872996595771163,0.140809744698129,0.138418852857522,0.138418852857522,0.138418852857522,0.142500485510583
"MIR34",0.00958578819688056,0.0520464952578133,-0.142500485510583,-0.142500485510583,-0.154649603442038,-0.138418852857522,-0.138418852857522,-0.138418852857522,0.0872996595771163,0.140809744698129,0.138418852857522,0.138418852857522,0.138418852857522,0.142500485510583
