"","SNAIL1","MIR200","MIR340","MIR190","MIR1199","ESRP1","HA","CD24","ZEB1","CD44s","HAS2","GRHL2","TGFB","MIR34"
"MIR340",0.557634206288694,0.465407361850698,0.398080359254726,0.398080359254726,0.398080359254726,0.398080359254726,0.377374476901784,0.377374476901784,-0.415504942775662,-0.377374476901784,-0.398080359254726,-0.398080359254726,-0.411652404139164,-0.465407361850698
"MIR1199",0.557634206288694,0.465407361850698,0.398080359254726,0.398080359254726,0.398080359254726,0.398080359254726,0.377374476901784,0.377374476901784,-0.415504942775662,-0.377374476901784,-0.398080359254726,-0.398080359254726,-0.411652404139164,-0.465407361850698
"HA",0.557634206288694,0.465407361850698,0.398080359254726,0.398080359254726,0.398080359254726,0.398080359254726,0.377374476901784,0.377374476901784,-0.415504942775662,-0.377374476901784,-0.398080359254726,-0.398080359254726,-0.411652404139164,-0.465407361850698
"CD24",0.557634206288694,0.465407361850698,0.398080359254726,0.398080359254726,0.398080359254726,0.398080359254726,0.377374476901784,0.377374476901784,-0.415504942775662,-0.377374476901784,-0.398080359254726,-0.398080359254726,-0.411652404139164,-0.465407361850698
"ESRP1",0.517266500453363,0.435018938392967,0.377374476901784,0.377374476901784,0.377374476901784,0.377374476901784,0.35262200165426,0.35262200165426,-0.398080359254726,-0.45262200165426,-0.377374476901784,-0.377374476901784,-0.380370352857113,-0.435018938392967
"SNAIL1",0.658609996123768,0.51824923941195,0.267249118666345,0.267249118666345,0.267249118666345,0.267249118666345,0.254080238210937,0.254080238210937,-0.278208993896743,-0.254080238210937,-0.267249118666345,-0.267249118666345,-0.44547750101458,-0.51824923941195
"MIR190",0.697281785298739,0.473763681329982,0.23897819739461,0.23897819739461,0.23897819739461,0.23897819739461,0.22072206660442,0.22072206660442,-0.254080238210937,-0.22072206660442,-0.23897819739461,-0.23897819739461,-0.500111677017498,-0.473763681329982
"MIR200",-0.0251925733372354,-0.132792001791178,-0.250363850065576,-0.250363850065576,-0.250363850065576,-0.250363850065576,-0.241407399777984,-0.241407399777984,0.257830266810343,0.241407399777984,0.250363850065576,0.250363850065576,0.0280401768669593,0.132792001791178
"TGFB",-0.730840648627562,-0.497753251082264,-0.254080238210937,-0.254080238210937,-0.254080238210937,-0.254080238210937,-0.23897819739461,-0.23897819739461,0.267249118666345,0.23897819739461,0.254080238210937,0.254080238210937,0.424952441348708,0.497753251082264
"MIR34",-0.730840648627562,-0.497753251082264,-0.254080238210937,-0.254080238210937,-0.254080238210937,-0.254080238210937,-0.23897819739461,-0.23897819739461,0.267249118666345,0.23897819739461,0.254080238210937,0.254080238210937,0.424952441348708,0.497753251082264
"ZEB1",-0.591964349829364,-0.491098606090329,-0.415504942775662,-0.415504942775662,-0.415504942775662,-0.415504942775662,-0.398080359254726,-0.398080359254726,0.329766938458877,0.398080359254726,0.415504942775662,0.415504942775662,0.43823585305271,0.491098606090329
"HAS2",-0.517266500453363,-0.435018938392967,-0.377374476901784,-0.377374476901784,-0.377374476901784,-0.377374476901784,-0.45262200165426,-0.35262200165426,0.398080359254726,0.35262200165426,0.377374476901784,0.377374476901784,0.380370352857113,0.435018938392967
"CD44s",-0.557634206288694,-0.465407361850698,-0.398080359254726,-0.398080359254726,-0.398080359254726,-0.398080359254726,-0.377374476901784,-0.377374476901784,0.415504942775662,0.377374476901784,0.398080359254726,0.398080359254726,0.411652404139164,0.465407361850698
"GRHL2",-0.573834565906024,-0.562847435613903,-0.48592966858151,-0.48592966858151,-0.48592966858151,-0.48592966858151,-0.464160371096688,-0.564160371096688,0.504262459203457,0.464160371096688,0.48592966858151,0.48592966858151,0.504048611588887,0.562847435613903
