"","CD44s","CD24","SNAIL1","MIR200","MIR190","HAS2","GRHL2","MIR34","ZEB1","MIR340","MIR1199","ESRP1","TGFB","HA"
"HAS2",0.0547725392886683,0.0547725392886683,0.067895652091675,0.123428145414827,0.125729634998239,0.125729634998239,0.125729634998239,0.0771200990401878,-0.125964929115886,-0.125729634998239,-0.125729634998239,-0.125729634998239,-0.0725693429471565,-0.154772539288668
"MIR340",0.125729634998239,0.125729634998239,0.0916366592859196,0.115888160647119,0.125964929115886,0.125964929115886,0.125964929115886,0.0849647296570957,-0.0785538530240358,-0.125964929115886,-0.125964929115886,-0.125964929115886,-0.122569342947156,-0.125729634998239
"MIR1199",0.125729634998239,0.125729634998239,0.0916366592859196,0.115888160647119,0.125964929115886,0.125964929115886,0.125964929115886,0.0849647296570957,-0.0785538530240358,-0.125964929115886,-0.125964929115886,-0.125964929115886,-0.122569342947156,-0.125729634998239
"CD44s",0.125729634998239,0.125729634998239,0.0916366592859196,0.115888160647119,0.125964929115886,0.125964929115886,0.125964929115886,0.0849647296570957,-0.0785538530240358,-0.125964929115886,-0.125964929115886,-0.125964929115886,-0.122569342947156,-0.125729634998239
"CD24",0.125729634998239,0.125729634998239,0.0916366592859196,0.115888160647119,0.125964929115886,0.125964929115886,0.125964929115886,0.0849647296570957,-0.0785538530240358,-0.125964929115886,-0.125964929115886,-0.125964929115886,-0.122569342947156,-0.125729634998239
"GRHL2",-0.0186935873461783,0.0813064126538217,-0.0769285936801835,0.0057931710388734,-0.000220040078181766,-0.000220040078181766,-0.000220040078181766,0.01737681363307,-0.0341335906609911,0.000220040078181766,0.000220040078181766,0.000220040078181766,0.0117031953910576,0.0186935873461783
"MIR190",-0.0166697790227202,-0.0166697790227202,0.0183225358169379,0.0672829874436267,0.00322122915166673,0.00322122915166673,0.00322122915166673,-0.063644307994843,-0.0289355148659524,-0.00322122915166673,-0.00322122915166673,-0.00322122915166673,-0.162438363426148,0.0166697790227202
"MIR34",0.00322122915166673,0.00322122915166673,0.0221114397411598,0.0769309665831313,0.0289355148659524,0.0289355148659524,0.0289355148659524,-0.0404370068214401,-0.00597536306329589,-0.0289355148659524,-0.0289355148659524,-0.0289355148659524,-0.0787865587552351,-0.00322122915166673
"ZEB1",-0.125964929115886,-0.125964929115886,-0.0974979033050584,-0.0941139670987323,-0.0785538530240358,-0.0785538530240358,-0.0785538530240358,-0.046082241177833,-0.00426201946475714,0.0785538530240358,0.0785538530240358,0.0785538530240358,0.118084830695654,0.125964929115886
"SNAIL1",0.0289355148659524,0.0289355148659524,-0.0664065167585873,0.0635830453577484,0.00597536306329589,0.00597536306329589,0.00597536306329589,-0.0565080012294149,0.00294282777748108,-0.00597536306329589,-0.00597536306329589,-0.00597536306329589,-0.0946974577210267,-0.0289355148659524
"TGFB",-0.00322122915166673,-0.00322122915166673,-0.0221114397411598,-0.0769309665831313,-0.0289355148659524,-0.0289355148659524,-0.0289355148659524,0.0404370068214401,0.00597536306329589,0.0289355148659524,0.0289355148659524,0.0289355148659524,0.0787865587552351,0.00322122915166673
"MIR200",-0.124217591162076,-0.124217591162076,0.013068710743095,-0.0190063225714507,-0.118383573084837,-0.118383573084837,-0.118383573084837,-0.178861200260052,0.0776150632441618,0.118383573084837,0.118383573084837,0.118383573084837,-0.0752055435192835,0.124217591162076
"HA",-0.125729634998239,-0.125729634998239,-0.0916366592859196,-0.115888160647119,-0.125964929115886,-0.125964929115886,-0.125964929115886,-0.0849647296570957,0.0785538530240358,0.125964929115886,0.125964929115886,0.125964929115886,0.122569342947156,0.125729634998239
"ESRP1",-0.154772539288668,-0.0547725392886683,-0.067895652091675,-0.123428145414827,-0.125729634998239,-0.125729634998239,-0.125729634998239,-0.0771200990401878,0.125964929115886,0.125729634998239,0.125729634998239,0.125729634998239,0.0725693429471565,0.0547725392886683
