"","MIR34","HA","CD44s","MIR190","HAS2","GRHL2","ZEB1","SNAIL1","MIR200","TGFB","MIR340","MIR1199","ESRP1","CD24"
"SNAIL1",-0.214951302175547,0.144895664593418,0.144895664593418,0.146603444479566,0.146603444479566,0.146603444479566,-0.147666821765828,0.447345766330908,-0.371808875637544,-0.323161102681921,-0.146603444479566,-0.146603444479566,-0.146603444479566,-0.144895664593418
"MIR190",-0.208763335189449,0.138904450669157,0.138904450669157,0.142446685001582,0.142446685001582,0.142446685001582,-0.144895664593418,0.530774342452929,-0.360303650528491,-0.410771376866234,-0.142446685001582,-0.142446685001582,-0.142446685001582,-0.138904450669157
"HAS2",0.11117566981052,0.207435897435897,0.107435897435897,0.107765930439198,0.107765930439198,0.107765930439198,-0.108236518674492,-0.0657391349578733,-0.100354728512331,-0.104030803591046,-0.107765930439198,-0.107765930439198,-0.107765930439198,-0.107435897435897
"MIR1199",0.11140415419742,0.107765930439198,0.107765930439198,0.108236518674492,0.108236518674492,0.108236518674492,-0.108101444383632,-0.0654993268043961,-0.100735535823832,-0.104800034360276,-0.108236518674492,-0.108236518674492,-0.108236518674492,-0.107765930439198
"HA",0.11140415419742,0.107765930439198,0.107765930439198,0.108236518674492,0.108236518674492,0.108236518674492,-0.108101444383632,-0.0654993268043961,-0.100735535823832,-0.104800034360276,-0.108236518674492,-0.108236518674492,-0.108236518674492,-0.107765930439198
"CD44s",0.11140415419742,0.107765930439198,0.107765930439198,0.108236518674492,0.108236518674492,0.108236518674492,-0.108101444383632,-0.0654993268043961,-0.100735535823832,-0.104800034360276,-0.108236518674492,-0.108236518674492,-0.108236518674492,-0.107765930439198
"CD24",0.11140415419742,0.107765930439198,0.107765930439198,0.108236518674492,0.108236518674492,0.108236518674492,-0.108101444383632,-0.0654993268043961,-0.100735535823832,-0.104800034360276,-0.108236518674492,-0.108236518674492,-0.108236518674492,-0.107765930439198
"MIR200",0.245603724348089,0.0746701609426916,0.0746701609426916,0.07393063752445,0.07393063752445,0.07393063752445,-0.0730871511139533,-0.297274535807129,0.0814692413391498,0.157624927410352,-0.07393063752445,-0.07393063752445,-0.07393063752445,-0.0746701609426916
"GRHL2",0.00914084450023065,0.00409627654060753,0.00409627654060753,0.00435646734719903,0.00435646734719903,0.00435646734719903,-0.00412852856504338,-0.0584849012363776,0.00286927931506245,-0.000857378601106173,-0.00435646734719903,-0.00435646734719903,-0.00435646734719903,-0.104096276540608
"ZEB1",-0.111231343137512,-0.108236518674492,-0.108236518674492,-0.108101444383632,-0.108101444383632,-0.108101444383632,0.00815125344888179,0.0653199009670755,0.100735535823832,0.10521612312588,0.108101444383632,0.108101444383632,0.108101444383632,0.108236518674492
"MIR340",-0.11140415419742,-0.107765930439198,-0.107765930439198,-0.108236518674492,-0.108236518674492,-0.108236518674492,0.108101444383632,0.0654993268043961,0.100735535823832,0.104800034360276,0.108236518674492,0.108236518674492,0.108236518674492,0.107765930439198
"ESRP1",-0.11117566981052,-0.107435897435897,-0.207435897435897,-0.107765930439198,-0.107765930439198,-0.107765930439198,0.108236518674492,0.0657391349578733,0.100354728512331,0.104030803591046,0.107765930439198,0.107765930439198,0.107765930439198,0.107435897435897
"TGFB",0.212544299987363,-0.142446685001582,-0.142446685001582,-0.144895664593418,-0.144895664593418,-0.144895664593418,0.146603444479566,-0.540517238258071,0.36721368964192,0.317990060518039,0.144895664593418,0.144895664593418,0.144895664593418,0.142446685001582
"MIR34",0.212544299987363,-0.142446685001582,-0.142446685001582,-0.144895664593418,-0.144895664593418,-0.144895664593418,0.146603444479566,-0.540517238258071,0.36721368964192,0.317990060518039,0.144895664593418,0.144895664593418,0.144895664593418,0.142446685001582
