"","MIR340","GRHL2","HA","CD44s","CD24","MIR34","MIR200","TGFB","ZEB1","SNAIL1","MIR190","MIR1199","HAS2","ESRP1"
"GRHL2",0.241222262184065,0.241222262184065,0.240962071377473,0.240962071377473,0.340962071377473,0.188137399546002,0.188137399546002,0.0224722365863288,-0.241645577065211,-0.159551932889003,-0.241222262184065,-0.241222262184065,-0.241222262184065,-0.241222262184065
"MIR340",0.157968139362469,0.157968139362469,0.157732845244822,0.157732845244822,0.157732845244822,0.0994451676754069,0.0994451676754069,0.0198804767936601,-0.158463411762289,-0.133977335256139,-0.157968139362469,-0.157968139362469,-0.157968139362469,-0.157968139362469
"MIR1199",0.157968139362469,0.157968139362469,0.157732845244822,0.157732845244822,0.157732845244822,0.0994451676754069,0.0994451676754069,0.0198804767936601,-0.158463411762289,-0.133977335256139,-0.157968139362469,-0.157968139362469,-0.157968139362469,-0.157968139362469
"HA",0.157968139362469,0.157968139362469,0.157732845244822,0.157732845244822,0.157732845244822,0.0994451676754069,0.0994451676754069,0.0198804767936601,-0.158463411762289,-0.133977335256139,-0.157968139362469,-0.157968139362469,-0.157968139362469,-0.157968139362469
"CD44s",0.157968139362469,0.157968139362469,0.157732845244822,0.157732845244822,0.157732845244822,0.0994451676754069,0.0994451676754069,0.0198804767936601,-0.158463411762289,-0.133977335256139,-0.157968139362469,-0.157968139362469,-0.157968139362469,-0.157968139362469
"CD24",0.157968139362469,0.157968139362469,0.157732845244822,0.157732845244822,0.157732845244822,0.0994451676754069,0.0994451676754069,0.0198804767936601,-0.158463411762289,-0.133977335256139,-0.157968139362469,-0.157968139362469,-0.157968139362469,-0.157968139362469
"TGFB",0.0866056807221829,0.0866056807221829,0.0864015990895299,0.0864015990895299,0.0864015990895299,0.159532565304634,0.159532565304634,-0.112490142325134,-0.0864159274014998,0.120530180619988,-0.0866056807221829,-0.0866056807221829,-0.0866056807221829,-0.0866056807221829
"SNAIL1",0.0864159274014998,0.0864159274014998,0.0866056807221829,0.0866056807221829,0.0866056807221829,0.158876110162402,0.158876110162402,-0.112649251314792,-0.0863450355824157,0.0195185468314196,-0.0864159274014998,-0.0864159274014998,-0.0864159274014998,-0.0864159274014998
"ZEB1",-0.158463411762289,-0.158463411762289,-0.157968139362469,-0.157968139362469,-0.157968139362469,-0.0995027713620428,-0.0995027713620428,-0.0202041013891293,0.0584800147840392,0.13409695248102,0.158463411762289,0.158463411762289,0.158463411762289,0.158463411762289
"MIR34",-0.0866056807221829,-0.0866056807221829,-0.0864015990895299,-0.0864015990895299,-0.0864015990895299,-0.159532565304634,-0.159532565304634,0.112490142325134,0.0864159274014998,-0.120530180619988,0.0866056807221829,0.0866056807221829,0.0866056807221829,0.0866056807221829
"MIR190",-0.0864015990895299,-0.0864015990895299,-0.084494242141301,-0.084494242141301,-0.084494242141301,-0.159141431015195,-0.159141431015195,0.0112162569748153,0.0866056807221829,-0.122018678590218,0.0864015990895299,0.0864015990895299,0.0864015990895299,0.0864015990895299
"MIR200",-0.155437302874493,-0.155437302874493,-0.154697779456251,-0.154697779456251,-0.154697779456251,-0.214433608521493,-0.214433608521493,-0.0121808801990383,0.155843425961028,-0.0501221812207545,0.155437302874493,0.155437302874493,0.155437302874493,0.155437302874493
"HAS2",-0.157732845244822,-0.157732845244822,-0.257402812241522,-0.157402812241522,-0.157402812241522,-0.0998259749869073,-0.0998259749869073,-0.0198804767936601,0.157968139362469,0.133257910795708,0.157732845244822,0.157732845244822,0.157732845244822,0.157732845244822
"ESRP1",-0.157732845244822,-0.157732845244822,-0.157402812241522,-0.257402812241522,-0.157402812241522,-0.0998259749869073,-0.0998259749869073,-0.0198804767936601,0.157968139362469,0.133257910795708,0.157732845244822,0.157732845244822,0.157732845244822,0.157732845244822
