"","MIR34","MIR200","CD44s","MIR1199","HAS2","GRHL2","ZEB1","TGFB","MIR340","MIR190","ESRP1","HA","CD24","SNAIL1"
"TGFB",-0.00958578819688056,-0.00958578819688056,0.142500485510583,0.138418852857522,0.138418852857522,0.138418852857522,-0.140809744698129,0.0872996595771163,-0.138418852857522,-0.138418852857522,-0.138418852857522,-0.142500485510583,-0.142500485510583,0.0520464952578133
"SNAIL1",-0.00644939140621681,-0.00644939140621681,0.138418852857522,0.140809744698129,0.140809744698129,0.140809744698129,-0.13898073576576,0.0887316404840375,-0.140809744698129,-0.140809744698129,-0.140809744698129,-0.138418852857522,-0.138418852857522,-0.0449186033764812
"MIR1199",0.130788681970977,0.130788681970977,0.097029539182206,0.102206009770441,0.102206009770441,0.102206009770441,-0.0981988058082622,-0.00557432364411748,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.101161048626547
"HA",0.130788681970977,0.130788681970977,0.097029539182206,0.102206009770441,0.102206009770441,0.102206009770441,-0.0981988058082622,-0.00557432364411748,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.101161048626547
"CD44s",0.130788681970977,0.130788681970977,0.097029539182206,0.102206009770441,0.102206009770441,0.102206009770441,-0.0981988058082622,-0.00557432364411748,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.101161048626547
"CD24",0.130788681970977,0.130788681970977,0.097029539182206,0.102206009770441,0.102206009770441,0.102206009770441,-0.0981988058082622,-0.00557432364411748,-0.102206009770441,-0.102206009770441,-0.102206009770441,-0.097029539182206,-0.097029539182206,-0.101161048626547
"GRHL2",0.0282280872523183,0.0282280872523183,0.00624766374143758,0.0125789733684974,0.0125789733684974,0.0125789733684974,-0.00824813650754008,-0.00412812092580304,-0.0125789733684974,-0.0125789733684974,-0.0125789733684974,-0.00624766374143758,-0.106247663741438,-0.0735986397393196
"ZEB1",-0.125834764920285,-0.125834764920285,-0.102206009770441,-0.0981988058082622,-0.0981988058082622,-0.0981988058082622,0.00080548022300564,0.00756230330200005,0.0981988058082622,0.0981988058082622,0.0981988058082622,0.102206009770441,0.102206009770441,0.105527077334681
"MIR340",-0.130788681970977,-0.130788681970977,-0.097029539182206,-0.102206009770441,-0.102206009770441,-0.102206009770441,0.0981988058082622,0.00557432364411748,0.102206009770441,0.102206009770441,0.102206009770441,0.097029539182206,0.097029539182206,0.101161048626547
"HAS2",-0.12416263475087,-0.12416263475087,-0.106600496277916,-0.097029539182206,-0.097029539182206,-0.097029539182206,0.102206009770441,0.00865124672104055,0.097029539182206,0.097029539182206,0.097029539182206,0.00660049627791563,0.106600496277916,0.10779574087275
"ESRP1",-0.12416263475087,-0.12416263475087,-0.206600496277916,-0.097029539182206,-0.097029539182206,-0.097029539182206,0.102206009770441,0.00865124672104055,0.097029539182206,0.097029539182206,0.097029539182206,0.106600496277916,0.106600496277916,0.10779574087275
"MIR200",-0.0492445799423055,-0.0492445799423055,-0.135019069744376,-0.140195733672067,-0.140195733672067,-0.140195733672067,0.136165743044138,-0.195558979882917,0.140195733672067,0.140195733672067,0.140195733672067,0.135019069744376,0.135019069744376,-0.0220907343719306
"MIR190",0.00463142053064849,0.00463142053064849,-0.137323373793962,-0.142500485510583,-0.142500485510583,-0.142500485510583,0.138418852857522,-0.1896351160527,0.142500485510583,0.142500485510583,0.142500485510583,0.137323373793962,0.137323373793962,-0.0565119891685034
"MIR34",0.00958578819688056,0.00958578819688056,-0.142500485510583,-0.138418852857522,-0.138418852857522,-0.138418852857522,0.140809744698129,-0.0872996595771163,0.138418852857522,0.138418852857522,0.138418852857522,0.142500485510583,0.142500485510583,-0.0520464952578133
