"","MIR34","ZEB1","MIR340","MIR190","MIR1199","HAS2","GRHL2","TGFB","MIR200","ESRP1","HA","CD44s","CD24","SNAIL1"
"SNAIL1",-0.0232434087927898,-0.0915475745295271,0.0927243787263228,0.0927243787263228,0.0927243787263228,0.0927243787263228,0.0927243787263228,0.141948105956194,0.114160779258955,-0.0927243787263228,-0.0905611908705353,-0.0905611908705353,-0.0905611908705353,-0.0696290286497528
"ZEB1",-0.0958885523461134,-0.0560433845338072,-0.0444381030969416,-0.0444381030969416,-0.0444381030969416,-0.0444381030969416,-0.0444381030969416,-0.0425386582497999,-0.0386057051595759,0.0444381030969416,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.117947877531741
"MIR200",0.180042419802983,-0.0462467073991163,0.0459030647874324,0.0459030647874324,0.0459030647874324,0.0459030647874324,0.0459030647874324,0.0486153131746021,-0.047030614884762,-0.0459030647874324,-0.046642588205674,-0.046642588205674,-0.046642588205674,-0.122216645320608
"HAS2",0.0947422696923252,-0.0445731773878015,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.0392810744096918,0.0387062154764708,-0.0436320009172133,-0.14066170388751,-0.0406617038875103,-0.0406617038875103,-0.116130049497518
"ESRP1",0.0947422696923252,-0.0445731773878015,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.0392810744096918,0.0387062154764708,-0.0436320009172133,-0.0406617038875103,0.0593382961124897,-0.0406617038875103,-0.116130049497518
"MIR340",0.0954277228530259,-0.0444381030969416,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0418451769737943,0.0392393457125713,-0.0445731773878015,-0.0436320009172133,-0.0436320009172133,-0.0436320009172133,-0.11764883446954
"CD44s",0.0954277228530259,-0.0444381030969416,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0418451769737943,0.0392393457125713,-0.0445731773878015,-0.0436320009172133,-0.0436320009172133,-0.0436320009172133,-0.11764883446954
"CD24",0.0954277228530259,-0.0444381030969416,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0445731773878015,0.0418451769737943,0.0392393457125713,-0.0445731773878015,-0.0436320009172133,-0.0436320009172133,-0.0436320009172133,-0.11764883446954
"MIR1199",-0.0954277228530259,0.0444381030969416,-0.0445731773878015,-0.0445731773878015,-0.0445731773878015,-0.0445731773878015,-0.0445731773878015,-0.0418451769737943,-0.0392393457125713,0.0445731773878015,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.11764883446954
"HA",-0.0954277228530259,0.0444381030969416,-0.0445731773878015,-0.0445731773878015,-0.0445731773878015,-0.0445731773878015,-0.0445731773878015,-0.0418451769737943,-0.0392393457125713,0.0445731773878015,0.0436320009172133,0.0436320009172133,0.0436320009172133,0.11764883446954
"MIR190",0.021724201243096,0.0905611908705353,-0.0919897622991067,-0.0919897622991067,-0.0919897622991067,-0.0919897622991067,-0.0919897622991067,-0.040198413786485,-0.111695165570555,0.0919897622991067,0.0873576097105509,0.0873576097105509,0.0873576097105509,-0.0341642558267335
"TGFB",0.0283734841635654,0.0927243787263228,-0.0905611908705353,-0.0905611908705353,-0.0905611908705353,-0.0905611908705353,-0.0905611908705353,-0.139561471111326,-0.116519155140307,0.0905611908705353,0.0919897622991067,0.0919897622991067,0.0919897622991067,-0.0237447700351233
"MIR34",0.0283734841635654,0.0927243787263228,-0.0905611908705353,-0.0905611908705353,-0.0905611908705353,-0.0905611908705353,-0.0905611908705353,-0.139561471111326,-0.116519155140307,0.0905611908705353,0.0919897622991067,0.0919897622991067,0.0919897622991067,-0.0237447700351233
"GRHL2",-0.206131535140501,0.159770802841798,-0.159607989425972,-0.159607989425972,-0.159607989425972,-0.159607989425972,-0.159607989425972,-0.147140432629628,-0.139299686067001,0.159607989425972,0.158133574855287,0.158133574855287,0.0581335748552869,0.142851220853777
