"","MIR340","MIR190","HAS2","ESRP1","HA","SNAIL1","MIR200","ZEB1","MIR34","TGFB","CD44s","CD24","MIR1199","GRHL2"
"MIR340",0.252636558561709,0.252636558561709,0.252636558561709,0.252636558561709,0.248401264444062,0.162264647633519,0.159412624898499,-0.254662672924609,-0.159412624898499,-0.19375776798701,-0.248401264444062,-0.248401264444062,-0.252636558561709,-0.252636558561709
"MIR1199",0.252636558561709,0.252636558561709,0.252636558561709,0.252636558561709,0.248401264444062,0.162264647633519,0.159412624898499,-0.254662672924609,-0.159412624898499,-0.19375776798701,-0.248401264444062,-0.248401264444062,-0.252636558561709,-0.252636558561709
"HA",0.252636558561709,0.252636558561709,0.252636558561709,0.252636558561709,0.248401264444062,0.162264647633519,0.159412624898499,-0.254662672924609,-0.159412624898499,-0.19375776798701,-0.248401264444062,-0.248401264444062,-0.252636558561709,-0.252636558561709
"CD44s",0.252636558561709,0.252636558561709,0.252636558561709,0.252636558561709,0.248401264444062,0.162264647633519,0.159412624898499,-0.254662672924609,-0.159412624898499,-0.19375776798701,-0.248401264444062,-0.248401264444062,-0.252636558561709,-0.252636558561709
"HAS2",0.248401264444062,0.248401264444062,0.248401264444062,0.248401264444062,0.344110835401158,0.160585990559179,0.157508588340997,-0.252636558561709,-0.157508588340997,-0.191193665422907,-0.244110835401158,-0.244110835401158,-0.248401264444062,-0.248401264444062
"MIR200",0.207048430186374,0.207048430186374,0.207048430186374,0.207048430186374,0.20318647455778,0.146654774334832,0.055635040470268,-0.208079358021426,-0.055635040470268,-0.173100341032367,-0.20318647455778,-0.20318647455778,-0.207048430186374,-0.207048430186374
"SNAIL1",0.0382036158051161,0.0382036158051161,0.0382036158051161,0.0382036158051161,0.0371789478734273,-0.081285699557901,-0.035343352228269,-0.0379625836202302,0.035343352228269,0.0441291449318085,-0.0371789478734273,-0.0371789478734273,-0.0382036158051161,-0.0382036158051161
"MIR190",0.0384034376693457,0.0384034376693457,0.0384034376693457,0.0384034376693457,0.035406162464986,0.0184613919949569,-0.0349567825986626,-0.0371789478734273,0.0349567825986626,-0.0542245330701069,-0.035406162464986,-0.035406162464986,-0.0384034376693457,-0.0384034376693457
"TGFB",-0.0371789478734273,-0.0371789478734273,-0.0371789478734273,-0.0371789478734273,-0.0384034376693457,-0.0184613919949569,0.0359998073705009,0.0382036158051161,-0.0359998073705009,-0.0430153820042031,0.0384034376693457,0.0384034376693457,0.0371789478734273,0.0371789478734273
"MIR34",-0.0371789478734273,-0.0371789478734273,-0.0371789478734273,-0.0371789478734273,-0.0384034376693457,-0.0184613919949569,0.0359998073705009,0.0382036158051161,-0.0359998073705009,-0.0430153820042031,0.0384034376693457,0.0384034376693457,0.0371789478734273,0.0371789478734273
"ZEB1",-0.254662672924609,-0.254662672924609,-0.254662672924609,-0.254662672924609,-0.252636558561709,-0.162982350982802,-0.16010386913813,0.156239959990855,0.16010386913813,0.196577925176099,0.252636558561709,0.252636558561709,0.254662672924609,0.254662672924609
"ESRP1",-0.248401264444062,-0.248401264444062,-0.248401264444062,-0.248401264444062,-0.244110835401158,-0.160585990559179,-0.157508588340997,0.252636558561709,0.157508588340997,0.191193665422907,0.144110835401158,0.244110835401158,0.248401264444062,0.248401264444062
"CD24",-0.252636558561709,-0.252636558561709,-0.252636558561709,-0.252636558561709,-0.248401264444062,-0.162264647633519,-0.159412624898499,0.254662672924609,0.159412624898499,0.19375776798701,0.248401264444062,0.248401264444062,0.252636558561709,0.252636558561709
"GRHL2",-0.362483647191964,-0.362483647191964,-0.362483647191964,-0.362483647191964,-0.358233864017637,-0.187970092098089,-0.265745439317587,0.365121224528337,0.265745439317587,0.302941444010685,0.358233864017637,0.458233864017637,0.362483647191964,0.362483647191964
