"","TGFB","MIR190","MIR1199","GRHL2","ESRP1","MIR34","SNAIL1","ZEB1","MIR200","MIR340","HAS2","HA","CD44s","CD24"
"GRHL2",0.302487072673995,0.333192697045254,0.333192697045254,0.333192697045254,0.333192697045254,0.304315731142385,-0.0601409430285241,-0.330750495807872,-0.287035781507761,-0.333192697045254,-0.333192697045254,-0.32495332150319,-0.32495332150319,-0.42495332150319
"HAS2",0.193948063001874,0.185939283754678,0.185939283754678,0.185939283754678,0.185939283754678,0.147968555060675,-0.0555969611101063,-0.201939283754678,-0.186124940542255,-0.185939283754678,-0.185939283754678,-0.0994706368899917,-0.199470636889992,-0.199470636889992
"ESRP1",0.193948063001874,0.185939283754678,0.185939283754678,0.185939283754678,0.185939283754678,0.147968555060675,-0.0555969611101063,-0.201939283754678,-0.186124940542255,-0.185939283754678,-0.185939283754678,-0.199470636889992,-0.299470636889992,-0.199470636889992
"MIR1199",0.19010190915572,0.201939283754678,0.201939283754678,0.201939283754678,0.201939283754678,0.166780436248794,-0.0356928843714972,-0.19243905863086,-0.188028977099757,-0.201939283754678,-0.201939283754678,-0.185939283754678,-0.185939283754678,-0.185939283754678
"HA",0.19010190915572,0.201939283754678,0.201939283754678,0.201939283754678,0.201939283754678,0.166780436248794,-0.0356928843714972,-0.19243905863086,-0.188028977099757,-0.201939283754678,-0.201939283754678,-0.185939283754678,-0.185939283754678,-0.185939283754678
"MIR200",-0.0395348939515967,0.177718972600248,0.177718972600248,0.177718972600248,0.177718972600248,0.244256295809867,-0.093119004345943,-0.176813005714899,-0.0528444077673593,-0.177718972600248,-0.177718972600248,-0.173857016971653,-0.173857016971653,-0.173857016971653
"TGFB",0.135637820707898,0.0425108741649854,0.0425108741649854,0.0425108741649854,0.0425108741649854,-0.070860661498935,0.0639099159180662,-0.0581085971251372,-0.120422510673321,-0.0425108741649854,-0.0425108741649854,-0.061082302736414,-0.061082302736414,-0.061082302736414
"SNAIL1",0.128477916173292,0.0581085971251372,0.0581085971251372,0.0581085971251372,0.0581085971251372,-0.0513371993058885,-0.0145928660748523,-0.0460428095170272,-0.120884460588224,-0.0581085971251372,-0.0581085971251372,-0.0425108741649854,-0.0425108741649854,-0.0425108741649854
"MIR190",0.225871366355456,0.061082302736414,0.061082302736414,0.061082302736414,0.061082302736414,-0.0470014698431331,0.0904322433876197,-0.0425108741649854,-0.120292132576841,-0.061082302736414,-0.061082302736414,-0.0368316215375039,-0.0368316215375039,-0.0368316215375039
"MIR34",-0.135637820707898,-0.0425108741649854,-0.0425108741649854,-0.0425108741649854,-0.0425108741649854,0.070860661498935,-0.0639099159180662,0.0581085971251372,0.120422510673321,0.0425108741649854,0.0425108741649854,0.061082302736414,0.061082302736414,0.061082302736414
"ZEB1",-0.197545274851513,-0.19243905863086,-0.19243905863086,-0.19243905863086,-0.19243905863086,-0.153531588322526,0.0514225494432675,0.102251444485086,0.189123447145839,0.19243905863086,0.19243905863086,0.201939283754678,0.201939283754678,0.201939283754678
"MIR340",-0.19010190915572,-0.201939283754678,-0.201939283754678,-0.201939283754678,-0.201939283754678,-0.166780436248794,0.0356928843714972,0.19243905863086,0.188028977099757,0.201939283754678,0.201939283754678,0.185939283754678,0.185939283754678,0.185939283754678
"CD44s",-0.19010190915572,-0.201939283754678,-0.201939283754678,-0.201939283754678,-0.201939283754678,-0.166780436248794,0.0356928843714972,0.19243905863086,0.188028977099757,0.201939283754678,0.201939283754678,0.185939283754678,0.185939283754678,0.185939283754678
"CD24",-0.19010190915572,-0.201939283754678,-0.201939283754678,-0.201939283754678,-0.201939283754678,-0.166780436248794,0.0356928843714972,0.19243905863086,0.188028977099757,0.201939283754678,0.201939283754678,0.185939283754678,0.185939283754678,0.185939283754678
