"","ZEB1","MIR34","MIR200","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","HA","CD44s","CD24","SNAIL1"
"SNAIL1",-0.20231223401234,-0.169749840799138,-0.169749840799138,0.196002862113857,0.196002862113857,0.196002862113857,0.196002862113857,0.196002862113857,0.196002862113857,-0.208176716595512,0.195054095510442,-0.195054095510442,-0.195054095510442,0.380810510921181
"MIR190",-0.195054095510442,-0.161257322878886,-0.161257322878886,0.203829605714523,0.203829605714523,0.203829605714523,0.203829605714523,0.203829605714523,0.203829605714523,-0.304382423237046,0.204102085278556,-0.204102085278556,-0.204102085278556,0.470442085941903
"ZEB1",-0.0852722884224961,-0.0721648573350832,-0.0721648573350832,-0.0224149106477347,-0.0224149106477347,-0.0224149106477347,-0.0224149106477347,-0.0224149106477347,-0.0224149106477347,-0.0192047754912843,-0.00661121861711787,0.00661121861711787,0.00661121861711787,0.121914477419321
"HA",-0.0224149106477347,0.0639275301461431,0.0639275301461431,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.020175649277692,-0.0117417225593527,0.0117417225593527,0.0117417225593527,-0.119223089859513
"CD44s",-0.0224149106477347,0.0639275301461431,0.0639275301461431,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.020175649277692,-0.0117417225593527,0.0117417225593527,0.0117417225593527,-0.119223089859513
"CD24",-0.0224149106477347,0.0639275301461431,0.0639275301461431,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.00661121861711787,0.020175649277692,-0.0117417225593527,0.0117417225593527,0.0117417225593527,-0.119223089859513
"HAS2",-0.00661121861711787,0.0536457327356329,0.0536457327356329,-0.0117417225593527,-0.0117417225593527,-0.0117417225593527,-0.0117417225593527,-0.0117417225593527,-0.0117417225593527,0.0176115467135895,0.113010752688172,-0.013010752688172,-0.013010752688172,-0.124418933184853
"ESRP1",0.00661121861711787,-0.0536457327356329,-0.0536457327356329,0.0117417225593527,0.0117417225593527,0.0117417225593527,0.0117417225593527,0.0117417225593527,0.0117417225593527,-0.0176115467135895,-0.013010752688172,-0.086989247311828,0.013010752688172,0.124418933184853
"MIR340",0.0224149106477347,-0.0639275301461431,-0.0639275301461431,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.020175649277692,0.0117417225593527,-0.0117417225593527,-0.0117417225593527,0.119223089859513
"MIR1199",0.0224149106477347,-0.0639275301461431,-0.0639275301461431,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.00661121861711787,-0.020175649277692,0.0117417225593527,-0.0117417225593527,-0.0117417225593527,0.119223089859513
"MIR200",0.0914782878686626,0.0444395806607411,0.0444395806607411,-0.0831996249508245,-0.0831996249508245,-0.0831996249508245,-0.0831996249508245,-0.0831996249508245,-0.0831996249508245,0.217207879833285,-0.0704633883033306,0.0704633883033306,0.0704633883033306,-0.186494215413431
"GRHL2",0.0923237528201711,-0.142482610606956,-0.142482610606956,-0.0758144724554691,-0.0758144724554691,-0.0758144724554691,-0.0758144724554691,-0.0758144724554691,-0.0758144724554691,-0.0217701358264984,-0.0687893206774986,0.0687893206774986,-0.0312106793225015,0.146659598483245
"TGFB",0.196002862113857,0.168558496281754,0.168558496281754,-0.195054095510442,-0.195054095510442,-0.195054095510442,-0.195054095510442,-0.195054095510442,-0.195054095510442,0.207142508162735,-0.203829605714523,0.203829605714523,0.203829605714523,-0.475448851841768
"MIR34",0.196002862113857,0.168558496281754,0.168558496281754,-0.195054095510442,-0.195054095510442,-0.195054095510442,-0.195054095510442,-0.195054095510442,-0.195054095510442,0.207142508162735,-0.203829605714523,0.203829605714523,0.203829605714523,-0.475448851841768
