"","MIR34","MIR200","CD44s","MIR340","MIR1199","GRHL2","ESRP1","ZEB1","TGFB","MIR190","HAS2","HA","CD24","SNAIL1"
"SNAIL1",-0.201780160259044,-0.201780160259044,0.139067851179224,0.140092519110913,0.140092519110913,0.140092519110913,0.140092519110913,-0.140758902210303,0.212656088339904,-0.140092519110913,-0.140092519110913,-0.139067851179224,-0.139067851179224,0.398696360840261
"TGFB",-0.200248431593836,-0.200248431593836,0.137435198118,0.139067851179224,0.139067851179224,0.139067851179224,0.139067851179224,-0.140092519110913,0.210587671474351,-0.139067851179224,-0.139067851179224,-0.137435198118,-0.137435198118,0.494750989064844
"ESRP1",0.15075106543475,0.15075106543475,0.195822994210091,0.09483289520019,0.09483289520019,0.09483289520019,0.09483289520019,-0.0941270128472488,-0.0305410593546587,-0.09483289520019,-0.09483289520019,-0.095822994210091,-0.095822994210091,-0.197543299984277
"MIR340",0.151893487369251,0.151893487369251,0.09483289520019,0.0941270128472488,0.0941270128472488,0.0941270128472488,0.0941270128472488,-0.0936317404474289,-0.0320795208931203,-0.0941270128472488,-0.0941270128472488,-0.09483289520019,-0.09483289520019,-0.200500933877163
"CD44s",0.151893487369251,0.151893487369251,0.09483289520019,0.0941270128472488,0.0941270128472488,0.0941270128472488,0.0941270128472488,-0.0936317404474289,-0.0320795208931203,-0.0941270128472488,-0.0941270128472488,-0.09483289520019,-0.09483289520019,-0.200500933877163
"CD24",0.151893487369251,0.151893487369251,0.09483289520019,0.0941270128472488,0.0941270128472488,0.0941270128472488,0.0941270128472488,-0.0936317404474289,-0.0320795208931203,-0.0941270128472488,-0.0941270128472488,-0.09483289520019,-0.09483289520019,-0.200500933877163
"MIR200",0.268508788686265,0.268508788686265,0.0663495115261518,0.0651169724957491,0.0651169724957491,0.0651169724957491,0.0651169724957491,-0.0642734860852524,-0.254849195325746,-0.0651169724957491,-0.0651169724957491,-0.0663495115261518,-0.0663495115261518,-0.368512680772299
"ZEB1",-0.152642335295519,-0.152642335295519,-0.0941270128472488,-0.0936317404474289,-0.0936317404474289,-0.0936317404474289,-0.0936317404474289,-0.00668371696582029,0.0330503946795281,0.0936317404474289,0.0936317404474289,0.0941270128472488,0.0941270128472488,0.202414809475249
"MIR1199",-0.151893487369251,-0.151893487369251,-0.09483289520019,-0.0941270128472488,-0.0941270128472488,-0.0941270128472488,-0.0941270128472488,0.0936317404474289,0.0320795208931203,0.0941270128472488,0.0941270128472488,0.09483289520019,0.09483289520019,0.200500933877163
"HA",-0.151893487369251,-0.151893487369251,-0.09483289520019,-0.0941270128472488,-0.0941270128472488,-0.0941270128472488,-0.0941270128472488,0.0936317404474289,0.0320795208931203,0.0941270128472488,0.0941270128472488,0.09483289520019,0.09483289520019,0.200500933877163
"HAS2",-0.15075106543475,-0.15075106543475,-0.095822994210091,-0.09483289520019,-0.09483289520019,-0.09483289520019,-0.09483289520019,0.0941270128472488,0.0305410593546587,0.09483289520019,0.09483289520019,0.195822994210091,0.095822994210091,0.197543299984277
"MIR190",0.197901625857199,0.197901625857199,-0.134982882041706,-0.137435198118,-0.137435198118,-0.137435198118,-0.137435198118,0.139067851179224,-0.307402958098555,0.137435198118,0.137435198118,0.134982882041706,0.134982882041706,-0.48866167918663
"MIR34",0.200248431593836,0.200248431593836,-0.137435198118,-0.139067851179224,-0.139067851179224,-0.139067851179224,-0.139067851179224,0.140092519110913,-0.210587671474351,0.139067851179224,0.139067851179224,0.137435198118,0.137435198118,-0.494750989064844
"GRHL2",-0.257381816590446,-0.257381816590446,-0.195293633760863,-0.194513061341089,-0.194513061341089,-0.194513061341089,-0.194513061341089,0.193959495727282,0.0346008166703532,0.194513061341089,0.194513061341089,0.195293633760863,0.0952936337608631,0.225247714138959
