"","ZEB1","MIR340","HAS2","ESRP1","MIR34","MIR200","TGFB","MIR190","MIR1199","GRHL2","HA","CD44s","CD24","SNAIL1"
"SNAIL1",-0.19201261515517,0.191885009880819,0.191885009880819,0.191885009880819,0.229187280970402,0.229187280970402,-0.123630050862543,-0.191885009880819,-0.191885009880819,-0.191885009880819,-0.191163947262223,-0.191163947262223,-0.191163947262223,0.0620929760181149
"MIR190",-0.191163947262223,0.189939457466305,0.189939457466305,0.189939457466305,0.227372923783868,0.227372923783868,-0.222674890208068,-0.189939457466305,-0.189939457466305,-0.189939457466305,-0.189666977902272,-0.189666977902272,-0.189666977902272,0.162261148157392
"MIR200",-0.111712197377532,0.111493515715552,0.111493515715552,0.111493515715552,0.198222248761589,0.198222248761589,-0.19311656525747,-0.111493515715552,-0.111493515715552,-0.111493515715552,-0.110918330834697,-0.110918330834697,-0.110918330834697,0.0749604241035517
"ZEB1",-0.0568627639677953,-0.0434526934454539,-0.0434526934454539,-0.0434526934454539,-0.0370426681286018,-0.0370426681286018,-0.0171588916620052,0.0434526934454539,0.0434526934454539,0.0434526934454539,0.0436778172635538,0.0436778172635538,0.0436778172635538,0.120755085637518
"MIR1199",-0.0434526934454539,0.0436778172635538,0.0436778172635538,0.0436778172635538,0.0374458939350534,0.0374458939350534,0.0170201954068041,-0.0436778172635538,-0.0436778172635538,-0.0436778172635538,-0.0429719349106126,-0.0429719349106126,-0.0429719349106126,-0.120456042575317
"HA",-0.0434526934454539,0.0436778172635538,0.0436778172635538,0.0436778172635538,0.0374458939350534,0.0374458939350534,0.0170201954068041,-0.0436778172635538,-0.0436778172635538,-0.0436778172635538,-0.0429719349106126,-0.0429719349106126,-0.0429719349106126,-0.120456042575317
"CD44s",-0.0434526934454539,0.0436778172635538,0.0436778172635538,0.0436778172635538,0.0374458939350534,0.0374458939350534,0.0170201954068041,-0.0436778172635538,-0.0436778172635538,-0.0436778172635538,-0.0429719349106126,-0.0429719349106126,-0.0429719349106126,-0.120456042575317
"MIR340",0.0434526934454539,-0.0436778172635538,-0.0436778172635538,-0.0436778172635538,-0.0374458939350534,-0.0374458939350534,-0.0170201954068041,0.0436778172635538,0.0436778172635538,0.0436778172635538,0.0429719349106126,0.0429719349106126,0.0429719349106126,0.120456042575317
"CD24",0.0434526934454539,-0.0436778172635538,-0.0436778172635538,-0.0436778172635538,-0.0374458939350534,-0.0374458939350534,-0.0170201954068041,0.0436778172635538,0.0436778172635538,0.0436778172635538,0.0429719349106126,0.0429719349106126,0.0429719349106126,0.120456042575317
"HAS2",0.0436778172635538,-0.0429719349106126,-0.0429719349106126,-0.0429719349106126,-0.0372174095481532,-0.0372174095481532,-0.0172766056632143,0.0429719349106126,0.0429719349106126,0.0429719349106126,-0.0593382961124897,0.0406617038875103,0.0406617038875103,0.119736618114886
"ESRP1",0.0436778172635538,-0.0429719349106126,-0.0429719349106126,-0.0429719349106126,-0.0372174095481532,-0.0372174095481532,-0.0172766056632143,0.0429719349106126,0.0429719349106126,0.0429719349106126,0.0406617038875103,-0.0593382961124897,0.0406617038875103,0.119736618114886
"GRHL2",0.15882524695874,-0.158792684275575,-0.158792684275575,-0.158792684275575,-0.137562080897721,-0.137562080897721,-0.0198037441369169,0.158792684275575,0.158792684275575,0.158792684275575,0.157665190780345,0.157665190780345,0.257665190780345,0.145841180570163
"TGFB",0.191885009880819,-0.191163947262223,-0.191163947262223,-0.191163947262223,-0.228676704748666,-0.228676704748666,0.123311832883227,0.191163947262223,0.191163947262223,0.191163947262223,0.189939457466305,0.189939457466305,0.189939457466305,-0.162396466154685
"MIR34",0.191885009880819,-0.191163947262223,-0.191163947262223,-0.191163947262223,-0.228676704748666,-0.228676704748666,0.123311832883227,0.191163947262223,0.191163947262223,0.191163947262223,0.189939457466305,0.189939457466305,0.189939457466305,-0.162396466154685
