"","MIR34","MIR200","MIR340","MIR190","HAS2","ESRP1","HA","CD24","TGFB","ZEB1","CD44s","MIR1199","GRHL2","SNAIL1"
"TGFB",0.453896755349947,0.453896755349947,0.327900574701573,0.327900574701573,0.327900574701573,0.327900574701573,0.321369962456675,0.321369962456675,-0.211585365827036,-0.332264901077285,-0.321369962456675,-0.327900574701573,-0.327900574701573,-0.502499263679396
"MIR34",0.453896755349947,0.453896755349947,0.327900574701573,0.327900574701573,0.327900574701573,0.327900574701573,0.321369962456675,0.321369962456675,-0.211585365827036,-0.332264901077285,-0.321369962456675,-0.327900574701573,-0.327900574701573,-0.502499263679396
"MIR190",0.44568293527172,0.44568293527172,0.321369962456675,0.321369962456675,0.321369962456675,0.321369962456675,0.311833177715531,0.311833177715531,-0.107976024001133,-0.327900574701573,-0.311833177715531,-0.321369962456675,-0.321369962456675,-0.494921455830952
"MIR340",0.204943714578554,0.204943714578554,0.181022584932555,0.181022584932555,0.181022584932555,0.181022584932555,0.178434349638438,0.178434349638438,-0.0320795208931203,-0.182958649768215,-0.178434349638438,-0.181022584932555,-0.181022584932555,-0.201252643524564
"MIR1199",0.204943714578554,0.204943714578554,0.181022584932555,0.181022584932555,0.181022584932555,0.181022584932555,0.178434349638438,0.178434349638438,-0.0320795208931203,-0.182958649768215,-0.178434349638438,-0.181022584932555,-0.181022584932555,-0.201252643524564
"HA",0.204943714578554,0.204943714578554,0.181022584932555,0.181022584932555,0.181022584932555,0.181022584932555,0.178434349638438,0.178434349638438,-0.0320795208931203,-0.182958649768215,-0.178434349638438,-0.181022584932555,-0.181022584932555,-0.201252643524564
"CD44s",0.204943714578554,0.204943714578554,0.181022584932555,0.181022584932555,0.181022584932555,0.181022584932555,0.178434349638438,0.178434349638438,-0.0320795208931203,-0.182958649768215,-0.178434349638438,-0.181022584932555,-0.181022584932555,-0.201252643524564
"CD24",0.204943714578554,0.204943714578554,0.181022584932555,0.181022584932555,0.181022584932555,0.181022584932555,0.178434349638438,0.178434349638438,-0.0320795208931203,-0.182958649768215,-0.178434349638438,-0.181022584932555,-0.181022584932555,-0.201252643524564
"HAS2",0.20151644877505,0.20151644877505,0.178434349638438,0.178434349638438,0.178434349638438,0.178434349638438,0.274143920595533,0.174143920595533,-0.0305410593546587,-0.181022584932555,-0.174143920595533,-0.178434349638438,-0.178434349638438,-0.197975265427042
"MIR200",-0.0391442912772348,-0.0391442912772348,0.0668807891805595,0.0668807891805595,0.0668807891805595,0.0668807891805595,0.0679489896735751,0.0679489896735751,0.010005442205669,-0.0662247441946176,-0.0679489896735751,-0.0668807891805595,-0.0668807891805595,0.142043247283791
"GRHL2",0.0486438553526526,0.0486438553526526,0.0317139325239421,0.0317139325239421,0.0317139325239421,0.0317139325239421,0.0309333601041676,-0.0690666398958324,-0.0153240470925692,-0.0323977488704091,-0.0309333601041676,-0.0317139325239421,-0.0317139325239421,-0.123675909207487
"ZEB1",-0.207363069417263,-0.207363069417263,-0.182958649768215,-0.182958649768215,-0.182958649768215,-0.182958649768215,-0.181022584932555,-0.181022584932555,0.0331428588496621,0.0842370824429618,0.181022584932555,0.182958649768215,0.182958649768215,0.203465562184851
"ESRP1",-0.20151644877505,-0.20151644877505,-0.178434349638438,-0.178434349638438,-0.178434349638438,-0.178434349638438,-0.174143920595533,-0.174143920595533,0.0305410593546587,0.181022584932555,0.0741439205955335,0.178434349638438,0.178434349638438,0.197975265427042
"SNAIL1",-0.459415841175379,-0.459415841175379,-0.332264901077285,-0.332264901077285,-0.332264901077285,-0.332264901077285,-0.327900574701573,-0.327900574701573,0.214051555166733,0.335228179114999,0.327900574701573,0.332264901077285,0.332264901077285,0.407658596001095
