"","MIR200","MIR340","MIR1199","HAS2","GRHL2","CD44s","CD24","MIR34","TGFB","ZEB1","SNAIL1","HA","MIR190","ESRP1"
"GRHL2",0.35131475978196,0.331635131131362,0.331635131131362,0.331635131131362,0.331635131131362,0.327211887419307,0.427211887419307,0.237312528448868,-0.0324165857221521,-0.333816830903424,-0.213135695708718,-0.327211887419307,-0.331635131131362,-0.331635131131362
"MIR34",0.350492560509696,0.305480197528603,0.305480197528603,0.305480197528603,0.305480197528603,0.301194483242888,0.301194483242888,-0.0227177956320444,-0.154967209341255,-0.308554201323669,-0.29722664561737,-0.301194483242888,-0.305480197528603,-0.305480197528603
"MIR190",0.345929327132903,0.301194483242888,0.301194483242888,0.301194483242888,0.301194483242888,0.293837535014006,0.293837535014006,-0.0236304423074029,-0.253481009765884,-0.305480197528603,-0.293979013682322,-0.293837535014006,-0.301194483242888,-0.301194483242888
"MIR200",0.365387889957949,0.260288877437231,0.260288877437231,0.260288877437231,0.260288877437231,0.254290520822604,0.254290520822604,0.0446211995689614,-0.235289778183031,-0.262257012395056,-0.287394455673615,-0.254290520822604,-0.260288877437231,-0.260288877437231
"MIR1199",0.227594374785505,0.202529258092938,0.202529258092938,0.202529258092938,0.202529258092938,0.197117493387056,0.197117493387056,0.124652961301789,-0.0296059160665743,-0.203474778128958,-0.188317679810125,-0.197117493387056,-0.202529258092938,-0.202529258092938
"HA",0.227594374785505,0.202529258092938,0.202529258092938,0.202529258092938,0.202529258092938,0.197117493387056,0.197117493387056,0.124652961301789,-0.0296059160665743,-0.203474778128958,-0.188317679810125,-0.197117493387056,-0.202529258092938,-0.202529258092938
"CD24",0.227594374785505,0.202529258092938,0.202529258092938,0.202529258092938,0.202529258092938,0.197117493387056,0.197117493387056,0.124652961301789,-0.0296059160665743,-0.203474778128958,-0.188317679810125,-0.197117493387056,-0.202529258092938,-0.202529258092938
"ESRP1",0.222643879736,0.197117493387056,0.197117493387056,0.197117493387056,0.197117493387056,0.0954673283705542,0.195467328370554,0.122596601819687,-0.0285802750409333,-0.202529258092938,-0.186479150633467,-0.195467328370554,-0.197117493387056,-0.197117493387056
"ZEB1",-0.228861655891495,-0.203474778128958,-0.203474778128958,-0.203474778128958,-0.203474778128958,-0.202529258092938,-0.202529258092938,-0.124595357615153,0.030484325682848,0.105616567934703,0.190052129570891,0.202529258092938,0.203474778128958,0.203474778128958
"HAS2",-0.222643879736,-0.197117493387056,-0.197117493387056,-0.197117493387056,-0.197117493387056,-0.195467328370554,-0.195467328370554,-0.122596601819687,0.0285802750409333,0.202529258092938,0.186479150633467,0.0954673283705542,0.197117493387056,0.197117493387056
"MIR340",-0.227594374785505,-0.202529258092938,-0.202529258092938,-0.202529258092938,-0.202529258092938,-0.197117493387056,-0.197117493387056,-0.124652961301789,0.0296059160665743,0.203474778128958,0.188317679810125,0.197117493387056,0.202529258092938,0.202529258092938
"CD44s",-0.227594374785505,-0.202529258092938,-0.202529258092938,-0.202529258092938,-0.202529258092938,-0.197117493387056,-0.197117493387056,-0.124652961301789,0.0296059160665743,0.203474778128958,0.188317679810125,0.197117493387056,0.202529258092938,0.202529258092938
"TGFB",-0.350492560509696,-0.305480197528603,-0.305480197528603,-0.305480197528603,-0.305480197528603,-0.301194483242888,-0.301194483242888,0.0227177956320444,0.154967209341255,0.308554201323669,0.29722664561737,0.301194483242888,0.305480197528603,0.305480197528603
"SNAIL1",-0.353628957300359,-0.308554201323669,-0.308554201323669,-0.308554201323669,-0.308554201323669,-0.305480197528603,-0.305480197528603,0.0219154615693164,0.156080972268861,0.310439923711306,0.19914874981565,0.305480197528603,0.308554201323669,0.308554201323669
