"","MIR34","MIR200","TGFB","MIR340","MIR1199","HAS2","HA","CD44s","CD24","ZEB1","MIR190","GRHL2","ESRP1","SNAIL1"
"GRHL2",0.359213181487692,0.359213181487692,0.312390993692863,0.260694861094077,0.260694861094077,0.260694861094077,0.257659301683843,0.257659301683843,0.157659301683843,-0.263006811598799,-0.260694861094077,-0.260694861094077,-0.260694861094077,-0.408200017317034
"MIR340",0.266841639500511,0.266841639500511,0.224949809453309,0.176319151693304,0.176319151693304,0.176319151693304,0.173966210516833,0.173966210516833,0.173966210516833,-0.178615414637923,-0.176319151693304,-0.176319151693304,-0.176319151693304,-0.385139490786373
"MIR1199",0.266841639500511,0.266841639500511,0.224949809453309,0.176319151693304,0.176319151693304,0.176319151693304,0.173966210516833,0.173966210516833,0.173966210516833,-0.178615414637923,-0.176319151693304,-0.176319151693304,-0.176319151693304,-0.385139490786373
"HA",0.266841639500511,0.266841639500511,0.224949809453309,0.176319151693304,0.176319151693304,0.176319151693304,0.173966210516833,0.173966210516833,0.173966210516833,-0.178615414637923,-0.176319151693304,-0.176319151693304,-0.176319151693304,-0.385139490786373
"CD44s",0.266841639500511,0.266841639500511,0.224949809453309,0.176319151693304,0.176319151693304,0.176319151693304,0.173966210516833,0.173966210516833,0.173966210516833,-0.178615414637923,-0.176319151693304,-0.176319151693304,-0.176319151693304,-0.385139490786373
"HAS2",0.258844685959003,0.258844685959003,0.215719040222539,0.173966210516833,0.173966210516833,0.173966210516833,0.269015715467328,0.169015715467328,0.169015715467328,-0.176319151693304,-0.173966210516833,-0.173966210516833,-0.173966210516833,-0.37067106552658
"TGFB",0.428920692246794,0.428920692246794,0.359020362660558,0.164484391395068,0.164484391395068,0.164484391395068,0.159790513844048,0.159790513844048,0.159790513844048,-0.167710197846681,-0.164484391395068,-0.164484391395068,-0.164484391395068,-0.680836366737498
"MIR34",0.428920692246794,0.428920692246794,0.359020362660558,0.164484391395068,0.164484391395068,0.164484391395068,0.159790513844048,0.159790513844048,0.159790513844048,-0.167710197846681,-0.164484391395068,-0.164484391395068,-0.164484391395068,-0.680836366737498
"ZEB1",-0.273523667150281,-0.273523667150281,-0.230728820086688,-0.178615414637923,-0.178615414637923,-0.178615414637923,-0.176319151693304,-0.176319151693304,-0.176319151693304,0.0804583500521689,0.178615414637923,0.178615414637923,0.178615414637923,0.395845232413167
"MIR200",-0.0140487413648707,-0.0140487413648707,0.0859506852810852,-0.114447181526817,-0.114447181526817,-0.114447181526817,-0.114858027870285,-0.114858027870285,-0.114858027870285,0.114603382713946,0.114447181526817,0.114447181526817,0.114447181526817,-0.0789999948211901
"MIR190",-0.415752504502335,-0.415752504502335,-0.445219938032108,-0.159790513844048,-0.159790513844048,-0.159790513844048,-0.152978524743231,-0.152978524743231,-0.152978524743231,0.164484391395068,0.159790513844048,0.159790513844048,0.159790513844048,0.65932080516781
"SNAIL1",-0.438718893073441,-0.438718893073441,-0.368885120019349,-0.167710197846681,-0.167710197846681,-0.167710197846681,-0.164484391395068,-0.164484391395068,-0.164484391395068,0.170361551880426,0.167710197846681,0.167710197846681,0.167710197846681,0.597275415801737
"ESRP1",-0.258844685959003,-0.258844685959003,-0.215719040222539,-0.173966210516833,-0.173966210516833,-0.173966210516833,-0.169015715467328,-0.269015715467328,-0.169015715467328,0.176319151693304,0.173966210516833,0.173966210516833,0.173966210516833,0.37067106552658
"CD24",-0.266841639500511,-0.266841639500511,-0.224949809453309,-0.176319151693304,-0.176319151693304,-0.176319151693304,-0.173966210516833,-0.173966210516833,-0.173966210516833,0.178615414637923,0.176319151693304,0.176319151693304,0.176319151693304,0.385139490786373
