"","ZEB1","MIR34","MIR200","MIR190","MIR1199","HAS2","ESRP1","CD44s","HA","CD24","MIR340","GRHL2","TGFB","SNAIL1"
"SNAIL1",-0.0797420499114908,-0.042654724108923,-0.042654724108923,0.0796995148200403,0.0796995148200403,0.0796995148200403,0.0796995148200403,0.0802687747820897,-0.0802687747820897,-0.0802687747820897,-0.0796995148200403,-0.0796995148200403,0.0358148322154369,-0.045382962288702
"TGFB",-0.0796995148200403,-0.042484532035011,-0.042484532035011,0.0802687747820897,0.0802687747820897,0.0802687747820897,0.0802687747820897,0.0810851013127019,-0.0810851013127019,-0.0810851013127019,-0.0802687747820897,-0.0802687747820897,0.0352579507516342,0.0544652926430127
"ZEB1",-0.0755044284181356,-0.0722624433431032,-0.0722624433431032,-0.0236488174726165,-0.0236488174726165,-0.0236488174726165,-0.0236488174726165,-0.0231535450727966,0.0231535450727966,0.0231535450727966,0.0236488174726165,0.0236488174726165,0.052549055223269,0.102813057461639
"MIR340",-0.0236488174726165,0.0721472359698313,0.0721472359698313,0.0231535450727966,0.0231535450727966,0.0231535450727966,0.0231535450727966,0.0252711921316201,-0.0252711921316201,-0.0252711921316201,-0.0231535450727966,-0.0231535450727966,-0.0539822498603471,-0.103530760810922
"HA",-0.0236488174726165,0.0721472359698313,0.0721472359698313,0.0231535450727966,0.0231535450727966,0.0231535450727966,0.0231535450727966,0.0252711921316201,-0.0252711921316201,-0.0252711921316201,-0.0231535450727966,-0.0231535450727966,-0.0539822498603471,-0.103530760810922
"HAS2",0.0231535450727966,-0.0731373349797323,-0.0731373349797323,-0.0252711921316201,-0.0252711921316201,-0.0252711921316201,-0.0252711921316201,-0.0295616211745244,-0.0704383788254756,0.0295616211745244,0.0252711921316201,0.0252711921316201,0.0562899421680394,0.104090313169035
"ESRP1",0.0231535450727966,-0.0731373349797323,-0.0731373349797323,-0.0252711921316201,-0.0252711921316201,-0.0252711921316201,-0.0252711921316201,0.0704383788254756,0.0295616211745244,0.0295616211745244,0.0252711921316201,0.0252711921316201,0.0562899421680394,0.104090313169035
"MIR1199",0.0236488174726165,-0.0721472359698313,-0.0721472359698313,-0.0231535450727966,-0.0231535450727966,-0.0231535450727966,-0.0231535450727966,-0.0252711921316201,0.0252711921316201,0.0252711921316201,0.0231535450727966,0.0231535450727966,0.0539822498603471,0.103530760810922
"CD44s",0.0236488174726165,-0.0721472359698313,-0.0721472359698313,-0.0231535450727966,-0.0231535450727966,-0.0231535450727966,-0.0231535450727966,-0.0252711921316201,0.0252711921316201,0.0252711921316201,0.0231535450727966,0.0231535450727966,0.0539822498603471,0.103530760810922
"CD24",0.0236488174726165,-0.0721472359698313,-0.0721472359698313,-0.0231535450727966,-0.0231535450727966,-0.0231535450727966,-0.0231535450727966,-0.0252711921316201,0.0252711921316201,0.0252711921316201,0.0231535450727966,0.0231535450727966,0.0539822498603471,0.103530760810922
"MIR200",0.0578912835728274,0.00656652467138235,0.00656652467138235,-0.05779756286055,-0.05779756286055,-0.05779756286055,-0.05779756286055,-0.0590301018909527,0.0590301018909527,0.0590301018909527,0.05779756286055,0.05779756286055,-0.120505478795731,-0.0203915530848543
"MIR34",0.0796995148200403,0.042484532035011,0.042484532035011,-0.0802687747820897,-0.0802687747820897,-0.0802687747820897,-0.0802687747820897,-0.0810851013127019,0.0810851013127019,0.0810851013127019,0.0802687747820897,0.0802687747820897,-0.0352579507516342,-0.0544652926430127
"MIR190",0.0802687747820897,0.0420933977455717,0.0420933977455717,-0.0810851013127019,-0.0810851013127019,-0.0810851013127019,-0.0810851013127019,-0.0802676626206038,0.0802676626206038,0.0802676626206038,0.0810851013127019,0.0810851013127019,-0.136107207651846,-0.0550065646321873
"GRHL2",0.115283020151661,-0.166762699739963,-0.166762699739963,-0.115510958933817,-0.115510958933817,-0.115510958933817,-0.115510958933817,-0.118199597268596,0.118199597268596,0.218199597268596,0.115510958933817,0.115510958933817,0.146562160578628,0.12983853175709
