"","MIR34","MIR190","GRHL2","ESRP1","HA","CD44s","TGFB","ZEB1","MIR200","CD24","MIR340","MIR1199","HAS2","SNAIL1"
"GRHL2",0.228310410874266,0.186636267353229,0.186636267353229,0.186636267353229,0.18620261600891,0.18620261600891,0.167298056567208,-0.186929331501715,-0.15372747514091,-0.28620261600891,-0.186636267353229,-0.186636267353229,-0.186636267353229,-0.152864685345484
"SNAIL1",-0.016383203497304,0.102174039891268,0.102174039891268,0.102174039891268,0.100769865318213,0.100769865318213,0.148705013682142,-0.101422586608977,-0.118487175150056,-0.100769865318213,-0.102174039891268,-0.102174039891268,-0.102174039891268,-0.072773779382785
"MIR340",0.123817795337119,0.0882365186744919,0.0882365186744919,0.0882365186744919,0.0877659304391978,0.0877659304391978,0.0709813128888219,-0.0884616424925918,-0.0597504661127039,-0.0877659304391978,-0.0882365186744919,-0.0882365186744919,-0.0882365186744919,-0.127173735375721
"MIR1199",0.123817795337119,0.0882365186744919,0.0882365186744919,0.0882365186744919,0.0877659304391978,0.0877659304391978,0.0709813128888219,-0.0884616424925918,-0.0597504661127039,-0.0877659304391978,-0.0882365186744919,-0.0882365186744919,-0.0882365186744919,-0.127173735375721
"HA",0.123817795337119,0.0882365186744919,0.0882365186744919,0.0882365186744919,0.0877659304391978,0.0877659304391978,0.0709813128888219,-0.0884616424925918,-0.0597504661127039,-0.0877659304391978,-0.0882365186744919,-0.0882365186744919,-0.0882365186744919,-0.127173735375721
"ZEB1",-0.124105813770299,-0.0884616424925918,-0.0884616424925918,-0.0884616424925918,-0.0882365186744919,-0.0882365186744919,-0.0714898658245593,-0.0115549605291581,0.0597504661127039,0.0882365186744919,0.0884616424925918,0.0884616424925918,0.0884616424925918,0.127173735375721
"MIR200",-0.195635423521222,-0.0714874839571699,-0.0714874839571699,-0.0714874839571699,-0.0718983303006374,-0.0718983303006374,-0.0642930573295853,0.0721435289431118,-0.0360167593272766,0.0718983303006374,0.0714874839571699,0.0714874839571699,0.0714874839571699,0.127351610304349
"HAS2",-0.123741633874819,-0.0877659304391978,-0.0877659304391978,-0.0877659304391978,-0.187435897435897,-0.0874358974358974,-0.0704684923760013,0.0882365186744919,0.0592173358766034,0.0874358974358974,0.0877659304391978,0.0877659304391978,0.0877659304391978,0.126774055119925
"ESRP1",-0.123741633874819,-0.0877659304391978,-0.0877659304391978,-0.0877659304391978,-0.0874358974358974,0.0125641025641026,-0.0704684923760013,0.0882365186744919,0.0592173358766034,0.0874358974358974,0.0877659304391978,0.0877659304391978,0.0877659304391978,0.126774055119925
"CD44s",-0.123817795337119,-0.0882365186744919,-0.0882365186744919,-0.0882365186744919,-0.0877659304391978,-0.0877659304391978,-0.0709813128888219,0.0884616424925918,0.0597504661127039,0.0877659304391978,0.0882365186744919,0.0882365186744919,0.0882365186744919,0.127173735375721
"CD24",-0.123817795337119,-0.0882365186744919,-0.0882365186744919,-0.0882365186744919,-0.0877659304391978,-0.0877659304391978,-0.0709813128888219,0.0884616424925918,0.0597504661127039,0.0877659304391978,0.0882365186744919,0.0882365186744919,0.0882365186744919,0.127173735375721
"MIR190",0.0142318539587942,-0.102402518379438,-0.102402518379438,-0.102402518379438,-0.0999502023031435,-0.0999502023031435,-0.0491048130223971,0.100769865318213,0.116622701802439,0.0999502023031435,0.102402518379438,0.102402518379438,0.102402518379438,-0.0303100609652499
"TGFB",0.0208811368792636,-0.100769865318213,-0.100769865318213,-0.100769865318213,-0.102402518379438,-0.102402518379438,-0.14655704232176,0.102174039891268,0.121185935179232,0.102402518379438,0.100769865318213,0.100769865318213,0.100769865318213,-0.0202965291655206
"MIR34",0.0208811368792636,-0.100769865318213,-0.100769865318213,-0.100769865318213,-0.102402518379438,-0.102402518379438,-0.14655704232176,0.102174039891268,0.121185935179232,0.102402518379438,0.100769865318213,0.100769865318213,0.100769865318213,-0.0202965291655206
