"","MIR34","ZEB1","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD44s","CD24","HA","GRHL2","TGFB","MIR200","SNAIL1"
"GRHL2",0.207581205144724,-0.157390370484089,0.157097306335603,0.157097306335603,0.157097306335603,0.157097306335603,0.157097306335603,0.155969812840373,0.0559698128403733,-0.155969812840373,-0.157097306335603,-0.18571187944902,-0.207581205144724,-0.150799206999477
"SNAIL1",-0.0288531821103271,-0.100037142663668,0.0999378941169506,0.0999378941169506,0.0999378941169506,0.0999378941169506,0.0999378941169506,0.0996722394679943,0.0996722394679943,-0.0996722394679943,-0.0999378941169506,0.0202097656913912,0.0288531821103271,-0.0520282857252845
"TGFB",-0.028926121570575,-0.0999378941169506,0.0996722394679943,0.0996722394679943,0.0996722394679943,0.0996722394679943,0.0996722394679943,0.0992640762026882,0.0992640762026882,-0.0992640762026882,-0.0996722394679943,0.0203688746810491,0.028926121570575,0.0481234593430008
"MIR200",0.0154587215020733,-0.0799783421916223,0.0797596605296417,0.0797596605296417,0.0797596605296417,0.0797596605296417,0.0797596605296417,0.0791844756487871,0.0791844756487871,-0.0791844756487871,-0.0797596605296417,0.0992506239618581,-0.0154587215020733,0.00509701689533729
"ZEB1",-0.0973267414191025,-0.0580158509541421,-0.0421999883286073,-0.0421999883286073,-0.0421999883286073,-0.0421999883286073,-0.0421999883286073,-0.0420649140377474,-0.0420649140377474,0.0420649140377474,0.0421999883286073,0.0753412191733059,0.0973267414191025,0.125315825577544
"MIR340",0.0969235156126509,-0.0421999883286073,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0413590316848062,0.0413590316848062,-0.0413590316848062,-0.0420649140377474,-0.0750175945778367,-0.0969235156126509,-0.125196208352664
"MIR1199",0.0969235156126509,-0.0421999883286073,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0413590316848062,0.0413590316848062,-0.0413590316848062,-0.0420649140377474,-0.0750175945778367,-0.0969235156126509,-0.125196208352664
"HA",0.0969235156126509,-0.0421999883286073,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0413590316848062,0.0413590316848062,-0.0413590316848062,-0.0420649140377474,-0.0750175945778367,-0.0969235156126509,-0.125196208352664
"CD44s",0.0969235156126509,-0.0421999883286073,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0420649140377474,0.0413590316848062,0.0413590316848062,-0.0413590316848062,-0.0420649140377474,-0.0750175945778367,-0.0969235156126509,-0.125196208352664
"ESRP1",0.0968473541503508,-0.0420649140377474,0.0413590316848062,0.0413590316848062,0.0413590316848062,0.0413590316848062,0.0413590316848062,0.139048800661704,0.0390488006617039,-0.0390488006617039,-0.0413590316848062,-0.0732227227829649,-0.0968473541503508,-0.124316911789914
"HAS2",-0.0968473541503508,0.0420649140377474,-0.0413590316848062,-0.0413590316848062,-0.0413590316848062,-0.0413590316848062,-0.0413590316848062,-0.0390488006617039,-0.0390488006617039,-0.0609511993382961,0.0413590316848062,0.0732227227829649,0.0968473541503508,0.124316911789914
"CD24",-0.0969235156126509,0.0421999883286073,-0.0420649140377474,-0.0420649140377474,-0.0420649140377474,-0.0420649140377474,-0.0420649140377474,-0.0413590316848062,-0.0413590316848062,0.0413590316848062,0.0420649140377474,0.0750175945778367,0.0969235156126509,0.125196208352664
"MIR190",0.028926121570575,0.0996722394679943,-0.0992640762026882,-0.0992640762026882,-0.0992640762026882,-0.0992640762026882,-0.0992640762026882,-0.0989915966386554,-0.0989915966386554,0.0989915966386554,0.0992640762026882,-0.120581188906102,-0.028926121570575,-0.0478528233484135
"MIR34",0.028926121570575,0.0999378941169506,-0.0996722394679943,-0.0996722394679943,-0.0996722394679943,-0.0996722394679943,-0.0996722394679943,-0.0992640762026882,-0.0992640762026882,0.0992640762026882,0.0996722394679943,-0.0203688746810491,-0.028926121570575,-0.0481234593430008
