"","HA","CD24","MIR340","MIR190","MIR1199","ESRP1","MIR200","TGFB","ZEB1","SNAIL1","MIR34","HAS2","GRHL2","CD44s"
"GRHL2",0.30344384500937,0.20344384500937,0.304918259580055,0.304918259580055,0.304918259580055,0.304918259580055,0.302803014871198,0.0144731494777014,-0.305276449094871,-0.118091775919275,-0.250586333349852,-0.304918259580055,-0.304918259580055,-0.30344384500937
"MIR200",0.185645376760013,0.185645376760013,0.188192624089511,0.188192624089511,0.188192624089511,0.188192624089511,0.262681512159962,0.200210885577047,-0.187724020528124,-0.112618930021046,-0.0605184223153824,-0.188192624089511,-0.188192624089511,-0.185645376760013
"HAS2",0.0755004135649297,0.17550041356493,0.173850248548428,0.173850248548428,0.173850248548428,0.173850248548428,0.170389690467382,0.00650841209522881,-0.176438483842546,-0.0951978127464089,-0.143605886036519,-0.173850248548428,-0.173850248548428,-0.17550041356493
"ESRP1",0.17550041356493,0.17550041356493,0.173850248548428,0.173850248548428,0.173850248548428,0.173850248548428,0.170389690467382,0.00650841209522881,-0.176438483842546,-0.0951978127464089,-0.143605886036519,-0.173850248548428,-0.173850248548428,-0.27550041356493
"MIR340",0.173850248548428,0.173850248548428,0.176438483842546,0.176438483842546,0.176438483842546,0.176438483842546,0.172750695798684,0.00650841209522881,-0.175943211442726,-0.0941586440813409,-0.14459598504642,-0.176438483842546,-0.176438483842546,-0.173850248548428
"MIR1199",0.173850248548428,0.173850248548428,0.176438483842546,0.176438483842546,0.176438483842546,0.176438483842546,0.172750695798684,0.00650841209522881,-0.175943211442726,-0.0941586440813409,-0.14459598504642,-0.176438483842546,-0.176438483842546,-0.173850248548428
"TGFB",0.130550666527586,0.130550666527586,0.13014250326228,0.13014250326228,0.13014250326228,0.13014250326228,0.133847705189904,0.0763698038414027,-0.130635861896056,-0.0392220853520095,-0.00216493244850649,-0.13014250326228,-0.13014250326228,-0.130550666527586
"ZEB1",-0.176438483842546,-0.176438483842546,-0.175943211442726,-0.175943211442726,-0.175943211442726,-0.175943211442726,-0.172059451559053,-0.00692450086083214,0.0766903474214739,0.0949361560430634,0.144653588733056,0.175943211442726,0.175943211442726,0.176438483842546
"MIR190",-0.128098350451292,-0.128098350451292,-0.130550666527586,-0.130550666527586,-0.130550666527586,-0.130550666527586,-0.133586948996945,-0.177643689191721,0.13014250326228,0.0378689053790731,0.00294720102738524,0.130550666527586,0.130550666527586,0.128098350451292
"MIR34",-0.130550666527586,-0.130550666527586,-0.13014250326228,-0.13014250326228,-0.13014250326228,-0.13014250326228,-0.133847705189904,-0.0763698038414027,0.130635861896056,0.0392220853520095,0.00216493244850649,0.13014250326228,0.13014250326228,0.130550666527586
"SNAIL1",-0.13014250326228,-0.13014250326228,-0.130635861896056,-0.130635861896056,-0.130635861896056,-0.130635861896056,-0.134650039252632,-0.0766880218207185,0.130791823898041,-0.0618907118154159,0.0019947403745945,0.130635861896056,0.130635861896056,0.13014250326228
"HA",-0.173850248548428,-0.173850248548428,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.172750695798684,-0.00650841209522881,0.175943211442726,0.0941586440813409,0.14459598504642,0.176438483842546,0.176438483842546,0.173850248548428
"CD44s",-0.173850248548428,-0.173850248548428,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.172750695798684,-0.00650841209522881,0.175943211442726,0.0941586440813409,0.14459598504642,0.176438483842546,0.176438483842546,0.173850248548428
"CD24",-0.173850248548428,-0.173850248548428,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.172750695798684,-0.00650841209522881,0.175943211442726,0.0941586440813409,0.14459598504642,0.176438483842546,0.176438483842546,0.173850248548428
