"","HA","CD24","MIR340","MIR190","MIR1199","ESRP1","MIR34","MIR200","TGFB","ZEB1","SNAIL1","HAS2","GRHL2","CD44s"
"MIR200",0.131757246998775,0.131757246998775,0.132661108954404,0.132661108954404,0.132661108954404,0.132661108954404,-0.0156624633814026,-0.0156624633814026,0.10167480647842,-0.132442427292423,0.192106655944946,-0.132661108954404,-0.132661108954404,-0.131757246998775
"TGFB",0.120789724306314,0.120789724306314,0.12058564267366,0.12058564267366,0.12058564267366,0.12058564267366,-0.166358368830512,-0.166358368830512,-0.101769412069686,-0.121003099979163,0.372484691764777,-0.12058564267366,-0.12058564267366,-0.120789724306314
"SNAIL1",0.12058564267366,0.12058564267366,0.121003099979163,0.121003099979163,0.121003099979163,0.121003099979163,-0.166139550449768,-0.166139550449768,-0.102485402523146,-0.120903851432446,0.273142253727347,-0.121003099979163,-0.121003099979163,-0.12058564267366
"MIR190",0.11942732648615,0.11942732648615,0.120789724306314,0.120789724306314,0.120789724306314,0.120789724306314,-0.165315344058673,-0.165315344058673,-0.00261866896989805,-0.12058564267366,0.372349373767484,-0.120789724306314,-0.120789724306314,-0.11942732648615
"MIR340",0.108718767658404,0.108718767658404,0.109424650011345,0.109424650011345,0.109424650011345,0.109424650011345,0.108765141165115,0.108765141165115,0.107014042742244,-0.109199526193245,-0.0558090452171985,-0.109424650011345,-0.109424650011345,-0.108718767658404
"HA",0.108718767658404,0.108718767658404,0.109424650011345,0.109424650011345,0.109424650011345,0.109424650011345,0.108765141165115,0.108765141165115,0.107014042742244,-0.109199526193245,-0.0558090452171985,-0.109424650011345,-0.109424650011345,-0.108718767658404
"CD44s",0.108718767658404,0.108718767658404,0.109424650011345,0.109424650011345,0.109424650011345,0.109424650011345,0.108765141165115,0.108765141165115,0.107014042742244,-0.109199526193245,-0.0558090452171985,-0.109424650011345,-0.109424650011345,-0.108718767658404
"CD24",0.108718767658404,0.108718767658404,0.109424650011345,0.109424650011345,0.109424650011345,0.109424650011345,0.108765141165115,0.108765141165115,0.107014042742244,-0.109199526193245,-0.0558090452171985,-0.109424650011345,-0.109424650011345,-0.108718767658404
"GRHL2",0.0043865022557553,-0.0956134977442447,0.00499361413780214,0.00499361413780214,0.00499361413780214,0.00499361413780214,0.0080863552188988,0.0080863552188988,0.00523996343502627,-0.00463542462298612,-0.0537343828678745,-0.00499361413780214,-0.00499361413780214,-0.0043865022557553
"ZEB1",-0.109424650011345,-0.109424650011345,-0.109199526193245,-0.109199526193245,-0.109199526193245,-0.109199526193245,-0.108304311672027,-0.108304311672027,-0.107615059848115,0.00938215943249432,0.0559286624420788,0.109199526193245,0.109199526193245,0.109424650011345
"MIR1199",-0.108718767658404,-0.108718767658404,-0.109424650011345,-0.109424650011345,-0.109424650011345,-0.109424650011345,-0.108765141165115,-0.108765141165115,-0.107014042742244,0.109199526193245,0.0558090452171985,0.109424650011345,0.109424650011345,0.108718767658404
"HAS2",-0.209048800661704,-0.109048800661704,-0.108718767658404,-0.108718767658404,-0.108718767658404,-0.108718767658404,-0.108232010929014,-0.108232010929014,-0.108039683767885,0.109424650011345,0.0566883417799483,0.108718767658404,0.108718767658404,0.109048800661704
"ESRP1",-0.109048800661704,-0.109048800661704,-0.108718767658404,-0.108718767658404,-0.108718767658404,-0.108718767658404,-0.108232010929014,-0.108232010929014,-0.108039683767885,0.109424650011345,0.0566883417799483,0.108718767658404,0.108718767658404,0.00904880066170389
"MIR34",-0.120789724306314,-0.120789724306314,-0.12058564267366,-0.12058564267366,-0.12058564267366,-0.12058564267366,0.166358368830512,0.166358368830512,0.101769412069686,0.121003099979163,-0.372484691764777,0.12058564267366,0.12058564267366,0.120789724306314
