"","CD44s","MIR340","MIR1199","GRHL2","MIR200","SNAIL1","TGFB","ZEB1","MIR34","MIR190","HAS2","ESRP1","HA","CD24"
"MIR340",0.146702208682407,0.147878679270642,0.147878679270642,0.147878679270642,0.139370274893841,0.0927351863521897,-0.00663455604773933,-0.147293357343582,-0.139370274893841,-0.147878679270642,-0.147878679270642,-0.147878679270642,-0.146702208682407,-0.146702208682407
"CD44s",0.146702208682407,0.147878679270642,0.147878679270642,0.147878679270642,0.139370274893841,0.0927351863521897,-0.00663455604773933,-0.147293357343582,-0.139370274893841,-0.147878679270642,-0.147878679270642,-0.147878679270642,-0.146702208682407,-0.146702208682407
"CD24",0.146702208682407,0.147878679270642,0.147878679270642,0.147878679270642,0.139370274893841,0.0927351863521897,-0.00663455604773933,-0.147293357343582,-0.139370274893841,-0.147878679270642,-0.147878679270642,-0.147878679270642,-0.146702208682407,-0.146702208682407
"MIR190",0.0349704326174914,0.0314281982850664,0.0314281982850664,0.0314281982850664,0.113181964573269,0.08819723365638,-0.19576141447654,-0.0330608513462909,-0.113181964573269,-0.0314281982850664,-0.0314281982850664,-0.0314281982850664,-0.0349704326174914,-0.0349704326174914
"SNAIL1",0.0330608513462909,0.0327192953690613,0.0327192953690613,0.0327192953690613,0.11351778406126,-0.0114664220650661,-0.0965843221173189,-0.0325633333670763,-0.11351778406126,-0.0327192953690613,-0.0327192953690613,-0.0327192953690613,-0.0330608513462909,-0.0330608513462909
"GRHL2",0.0142648426945616,0.0153923361897914,0.0153923361897914,0.0153923361897914,0.0194419700781147,0.0717195610715498,-0.00526200598878441,-0.0146433944769943,-0.0194419700781147,-0.0153923361897914,-0.0153923361897914,-0.0153923361897914,-0.0142648426945616,-0.114264842694562
"TGFB",-0.0314281982850664,-0.0330608513462909,-0.0330608513462909,-0.0330608513462909,-0.113833855055668,-0.0879265976617928,0.0968229856018058,0.0327192953690613,0.113833855055668,0.0330608513462909,0.0330608513462909,0.0330608513462909,0.0314281982850664,0.0314281982850664
"MIR34",-0.0314281982850664,-0.0330608513462909,-0.0330608513462909,-0.0330608513462909,-0.113833855055668,-0.0879265976617928,0.0968229856018058,0.0327192953690613,0.113833855055668,0.0330608513462909,0.0330608513462909,0.0330608513462909,0.0314281982850664,0.0314281982850664
"ZEB1",-0.147878679270642,-0.147293357343582,-0.147293357343582,-0.147293357343582,-0.139255067520569,-0.0927351863521897,0.00631093145227007,0.0475091966263316,0.139255067520569,0.147293357343582,0.147293357343582,0.147293357343582,0.147878679270642,0.147878679270642
"MIR200",-0.135208401521307,-0.137098294701258,-0.137098294701258,-0.137098294701258,-0.0230123801602498,0.0388635881991307,-0.196479986917794,0.136192327815909,0.0230123801602498,0.137098294701258,0.137098294701258,0.137098294701258,0.135208401521307,0.135208401521307
"MIR1199",-0.146702208682407,-0.147878679270642,-0.147878679270642,-0.147878679270642,-0.139370274893841,-0.0927351863521897,0.00663455604773933,0.147293357343582,0.139370274893841,0.147878679270642,0.147878679270642,0.147878679270642,0.146702208682407,0.146702208682407
"HA",-0.146702208682407,-0.147878679270642,-0.147878679270642,-0.147878679270642,-0.139370274893841,-0.0927351863521897,0.00663455604773933,0.147293357343582,0.139370274893841,0.147878679270642,0.147878679270642,0.147878679270642,0.146702208682407,0.146702208682407
"HAS2",-0.147692307692308,-0.146702208682407,-0.146702208682407,-0.146702208682407,-0.13914179050694,-0.092015761891758,0.00586532527850856,0.147878679270642,0.13914179050694,0.146702208682407,0.146702208682407,0.146702208682407,0.247692307692308,0.147692307692308
"ESRP1",-0.247692307692308,-0.146702208682407,-0.146702208682407,-0.146702208682407,-0.13914179050694,-0.092015761891758,0.00586532527850856,0.147878679270642,0.13914179050694,0.146702208682407,0.146702208682407,0.146702208682407,0.147692307692308,0.147692307692308
