"","ZEB1","MIR34","MIR200","MIR190","GRHL2","ESRP1","SNAIL1","TGFB","HA","CD44s","CD24","MIR340","MIR1199","HAS2"
"ZEB1",-0.0696704319081611,-0.0311550697092614,-0.0311550697092614,-0.0278225118075952,-0.0278225118075952,-0.0278225118075952,-0.0224488157023583,0.026872208924013,0.0268769917715753,0.0268769917715753,0.0268769917715753,0.0278225118075952,0.0278225118075952,0.0278225118075952
"MIR340",-0.0278225118075952,0.0311550697092614,0.0311550697092614,0.0268769917715753,0.0268769917715753,0.0268769917715753,0.0230469018267602,-0.0330210762379289,-0.0341711094186342,-0.0341711094186342,-0.0341711094186342,-0.0268769917715753,-0.0268769917715753,-0.0268769917715753
"MIR1199",-0.0278225118075952,0.0311550697092614,0.0311550697092614,0.0268769917715753,0.0268769917715753,0.0268769917715753,0.0230469018267602,-0.0330210762379289,-0.0341711094186342,-0.0341711094186342,-0.0341711094186342,-0.0268769917715753,-0.0268769917715753,-0.0268769917715753
"HA",-0.0278225118075952,0.0311550697092614,0.0311550697092614,0.0268769917715753,0.0268769917715753,0.0268769917715753,0.0230469018267602,-0.0330210762379289,-0.0341711094186342,-0.0341711094186342,-0.0341711094186342,-0.0268769917715753,-0.0268769917715753,-0.0268769917715753
"CD44s",-0.0278225118075952,0.0311550697092614,0.0311550697092614,0.0268769917715753,0.0268769917715753,0.0268769917715753,0.0230469018267602,-0.0330210762379289,-0.0341711094186342,-0.0341711094186342,-0.0341711094186342,-0.0268769917715753,-0.0268769917715753,-0.0268769917715753
"CD24",-0.0278225118075952,0.0311550697092614,0.0311550697092614,0.0268769917715753,0.0268769917715753,0.0268769917715753,0.0230469018267602,-0.0330210762379289,-0.0341711094186342,-0.0341711094186342,-0.0341711094186342,-0.0268769917715753,-0.0268769917715753,-0.0268769917715753
"HAS2",-0.0268769917715753,0.0365625335325668,0.0365625335325668,0.0341711094186342,0.0341711094186342,0.0341711094186342,0.0247255589011007,-0.0368672300840827,0.0615384615384615,-0.0384615384615385,-0.0384615384615385,-0.0341711094186342,-0.0341711094186342,-0.0341711094186342
"SNAIL1",-0.00792921647013679,0.0848671812230619,0.0848671812230619,0.00646884499700479,0.00646884499700479,0.00646884499700479,-0.0475668485500502,-0.093388406415805,-0.00779711824178657,-0.00779711824178657,-0.00779711824178657,-0.00646884499700479,-0.00646884499700479,-0.00646884499700479
"TGFB",-0.00646884499700479,0.0849401206833099,0.0849401206833099,0.00779711824178657,0.00779711824178657,0.00779711824178657,0.0545070007165153,-0.0958545957555027,-0.00963385293566412,-0.00963385293566412,-0.00963385293566412,-0.00779711824178657,-0.00779711824178657,-0.00779711824178657
"MIR34",-0.00646884499700479,0.0849401206833099,0.0849401206833099,0.00779711824178657,0.00779711824178657,0.00779711824178657,0.0545070007165153,-0.0958545957555027,-0.00963385293566412,-0.00963385293566412,-0.00963385293566412,-0.00779711824178657,-0.00779711824178657,-0.00779711824178657
"MIR190",0.00779711824178657,-0.0878084388058653,-0.0878084388058653,-0.00963385293566412,-0.00963385293566412,-0.00963385293566412,-0.0523419127598171,-0.00478234691965653,0.0104512916277622,0.0104512916277622,0.0104512916277622,0.00963385293566412,0.00963385293566412,0.00963385293566412
"ESRP1",0.0268769917715753,-0.0365625335325668,-0.0365625335325668,-0.0341711094186342,-0.0341711094186342,-0.0341711094186342,-0.0247255589011007,0.0368672300840827,0.0384615384615385,-0.0615384615384615,0.0384615384615385,0.0341711094186342,0.0341711094186342,0.0341711094186342
"GRHL2",0.030036968799582,-0.0301780555089164,-0.0301780555089164,-0.0327396715022847,-0.0327396715022847,-0.0327396715022847,0.0375867335165399,0.0291681340248818,0.0284898883279568,0.0284898883279568,-0.0715101116720432,0.0327396715022847,0.0327396715022847,0.0327396715022847
"MIR200",0.0334911320137314,-0.151945180872317,-0.151945180872317,-0.033397411301454,-0.033397411301454,-0.033397411301454,-0.0752375387637693,0.0493728060046337,0.038738413766532,0.038738413766532,0.038738413766532,0.033397411301454,0.033397411301454,0.033397411301454
