"","MIR190","MIR1199","ESRP1","HA","CD44s","CD24","SNAIL1","MIR34","ZEB1","MIR340","HAS2","GRHL2","TGFB","MIR200"
"MIR200",0.150587803840973,0.150587803840973,0.150587803840973,0.148369233586249,0.148369233586249,0.148369233586249,0.0149322891386176,0.192136472258788,-0.149994239329883,-0.150587803840973,-0.150587803840973,-0.150587803840973,0.0421907079084626,-0.0681056205884577
"MIR340",0.143571310685294,0.143571310685294,0.143571310685294,0.142159545979412,0.142159545979412,0.142159545979412,0.124064550294034,0.0903853137567053,-0.143706384976154,-0.143571310685294,-0.143571310685294,-0.143571310685294,-0.14873933607951,-0.157140222907412
"MIR1199",0.143571310685294,0.143571310685294,0.143571310685294,0.142159545979412,0.142159545979412,0.142159545979412,0.124064550294034,0.0903853137567053,-0.143706384976154,-0.143571310685294,-0.143571310685294,-0.143571310685294,-0.14873933607951,-0.157140222907412
"HA",0.143571310685294,0.143571310685294,0.143571310685294,0.142159545979412,0.142159545979412,0.142159545979412,0.124064550294034,0.0903853137567053,-0.143706384976154,-0.143571310685294,-0.143571310685294,-0.143571310685294,-0.14873933607951,-0.157140222907412
"CD44s",0.143571310685294,0.143571310685294,0.143571310685294,0.142159545979412,0.142159545979412,0.142159545979412,0.124064550294034,0.0903853137567053,-0.143706384976154,-0.143571310685294,-0.143571310685294,-0.143571310685294,-0.14873933607951,-0.157140222907412
"CD24",0.143571310685294,0.143571310685294,0.143571310685294,0.142159545979412,0.142159545979412,0.142159545979412,0.124064550294034,0.0903853137567053,-0.143706384976154,-0.143571310685294,-0.143571310685294,-0.143571310685294,-0.14873933607951,-0.157140222907412
"ESRP1",0.142159545979412,0.142159545979412,0.142159545979412,0.145789909015715,0.245789909015715,0.145789909015715,0.124943846856783,0.0909184439928058,-0.143571310685294,-0.142159545979412,-0.142159545979412,-0.142159545979412,-0.152841900182074,-0.15477921757611
"TGFB",0.101674228274416,0.101674228274416,0.101674228274416,0.1039191262336,0.1039191262336,0.1039191262336,0.00396572872734075,0.100147904346124,-0.101863981595099,-0.101674228274416,-0.101674228274416,-0.101674228274416,-0.00466070270969956,-0.00199002311050374
"ZEB1",-0.143706384976154,-0.143706384976154,-0.143706384976154,-0.143571310685294,-0.143571310685294,-0.143571310685294,-0.123227229719871,-0.0907885395631569,0.0430256610844059,0.143706384976154,0.143706384976154,0.143706384976154,0.150727315737393,0.156909808160869
"MIR190",-0.1039191262336,-0.1039191262336,-0.1039191262336,-0.0998319327731093,-0.0998319327731093,-0.0998319327731093,-0.00234191275981707,-0.0998871481531647,0.101674228274416,0.1039191262336,0.1039191262336,0.1039191262336,-0.0997978960164151,0.00511909742601873
"MIR34",-0.101674228274416,-0.101674228274416,-0.101674228274416,-0.1039191262336,-0.1039191262336,-0.1039191262336,-0.00396572872734075,-0.100147904346124,0.101863981595099,0.101674228274416,0.101674228274416,0.101674228274416,0.00466070270969956,0.00199002311050374
"SNAIL1",-0.101863981595099,-0.101863981595099,-0.101863981595099,-0.101674228274416,-0.101674228274416,-0.101674228274416,-0.104522127311053,-0.0996859544312203,0.102530364694489,0.101863981595099,0.101863981595099,0.101863981595099,0.00187629539068603,0.00269510455956768
"HAS2",-0.142159545979412,-0.142159545979412,-0.142159545979412,-0.245789909015715,-0.145789909015715,-0.145789909015715,-0.124943846856783,-0.0909184439928058,0.143571310685294,0.142159545979412,0.142159545979412,0.142159545979412,0.152841900182074,0.15477921757611
"GRHL2",-0.224819955414908,-0.224819955414908,-0.224819955414908,-0.224733225146044,-0.224733225146044,-0.324733225146044,-0.150988366290296,-0.179414717005415,0.225308395662385,0.224819955414908,0.224819955414908,0.224819955414908,0.240939999462425,0.253724112238752
