"","ZEB1","MIR200","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","CD44s","HA","CD24","SNAIL1","TGFB"
"ZEB1",-0.0817870631132302,-0.0741607873442077,-0.0445951384474538,-0.0445951384474538,-0.0445951384474538,-0.0445951384474538,-0.0445951384474538,-0.0445951384474538,-0.041479972556088,-0.028881495944077,0.028881495944077,0.028881495944077,0.0290853022399111,0.0544717831023314
"CD24",-0.0445951384474538,0.0670755338879865,0.028881495944077,0.028881495944077,0.028881495944077,0.028881495944077,0.028881495944077,0.028881495944077,0.0284615393763645,-0.0158243864088642,0.0158243864088642,0.0158243864088642,-0.0190374553499589,-0.0177172754740373
"HAS2",-0.028881495944077,0.0354685270334549,-0.0158243864088642,-0.0158243864088642,-0.0158243864088642,-0.0158243864088642,-0.0158243864088642,-0.0158243864088642,0.00218583488283822,0.00694789081885857,-0.106947890818859,-0.00694789081885857,-0.0108040420805744,-0.0297685575253194
"SNAIL1",-0.0102192015792779,0.100843847294898,0.015280877461881,0.015280877461881,0.015280877461881,0.015280877461881,0.015280877461881,0.015280877461881,-0.0808314871803558,0.00279510896093223,-0.00279510896093223,-0.00279510896093223,-0.0216157622212606,-0.0983422952008545
"MIR190",-0.00279510896093223,0.0865873051705369,-0.00210285022274123,-0.00210285022274123,-0.00210285022274123,-0.00210285022274123,-0.00210285022274123,-0.00210285022274123,-0.0888311486347515,0.0101587301587302,-0.0101587301587302,-0.0101587301587302,0.0853057841410672,-0.203603026190117
"TGFB",0.015280877461881,-0.0957137719241223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,0.0916994667573069,0.00210285022274123,-0.00210285022274123,-0.00210285022274123,-0.0773220223007425,0.0908641726869324
"MIR34",0.015280877461881,-0.0957137719241223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,-0.00279510896093223,0.0916994667573069,0.00210285022274123,-0.00210285022274123,-0.00210285022274123,-0.0773220223007425,0.0908641726869324
"ESRP1",0.028881495944077,-0.0354685270334549,0.0158243864088642,0.0158243864088642,0.0158243864088642,0.0158243864088642,0.0158243864088642,0.0158243864088642,-0.00218583488283822,0.0930521091811414,0.00694789081885857,0.00694789081885857,0.0108040420805744,0.0297685575253194
"MIR340",0.0445951384474538,-0.0670755338879865,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.0284615393763645,0.0158243864088642,-0.0158243864088642,-0.0158243864088642,0.0190374553499589,0.0177172754740373
"MIR1199",0.0445951384474538,-0.0670755338879865,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.0284615393763645,0.0158243864088642,-0.0158243864088642,-0.0158243864088642,0.0190374553499589,0.0177172754740373
"HA",0.0445951384474538,-0.0670755338879865,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.0284615393763645,0.0158243864088642,-0.0158243864088642,-0.0158243864088642,0.0190374553499589,0.0177172754740373
"CD44s",0.0445951384474538,-0.0670755338879865,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.028881495944077,-0.0284615393763645,0.0158243864088642,-0.0158243864088642,-0.0158243864088642,0.0190374553499589,0.0177172754740373
"MIR200",0.0682232605247531,0.0221584825456129,-0.0588199490595859,-0.0588199490595859,-0.0588199490595859,-0.0588199490595859,-0.0588199490595859,-0.0588199490595859,-0.15833939733077,-0.0238980098648448,0.0238980098648448,0.0238980098648448,0.0844960797380791,-0.15947181556015
"GRHL2",0.119715578285187,-0.11965220484122,-0.0959773822578343,-0.0959773822578343,-0.0959773822578343,-0.0959773822578343,-0.0959773822578343,-0.0959773822578343,-0.117807877393298,-0.0690042686411821,0.0690042686411821,-0.0309957313588179,0.0395382427559904,0.0864596267502325
