"","MIR340","MIR1199","GRHL2","MIR200","HA","CD44s","CD24","MIR34","ZEB1","SNAIL1","TGFB","MIR190","HAS2","ESRP1"
"GRHL2",0.352107089471734,0.352107089471734,0.352107089471734,0.359206246805628,0.348204227372861,0.348204227372861,0.448204227372862,0.256246621059719,-0.353637535580493,-0.19424595226815,-0.351958066672634,-0.352107089471734,-0.352107089471734,-0.352107089471734
"MIR340",0.2452074082317,0.2452074082317,0.2452074082317,0.245037035188682,0.241913290584642,0.241913290584642,0.241913290584642,0.150633964166013,-0.24606287874048,-0.167824611880573,-0.240894941911587,-0.2452074082317,-0.2452074082317,-0.2452074082317
"MIR1199",0.2452074082317,0.2452074082317,0.2452074082317,0.245037035188682,0.241913290584642,0.241913290584642,0.241913290584642,0.150633964166013,-0.24606287874048,-0.167824611880573,-0.240894941911587,-0.2452074082317,-0.2452074082317,-0.2452074082317
"HA",0.2452074082317,0.2452074082317,0.2452074082317,0.245037035188682,0.241913290584642,0.241913290584642,0.241913290584642,0.150633964166013,-0.24606287874048,-0.167824611880573,-0.240894941911587,-0.2452074082317,-0.2452074082317,-0.2452074082317
"CD44s",0.2452074082317,0.2452074082317,0.2452074082317,0.245037035188682,0.241913290584642,0.241913290584642,0.241913290584642,0.150633964166013,-0.24606287874048,-0.167824611880573,-0.240894941911587,-0.2452074082317,-0.2452074082317,-0.2452074082317
"CD24",0.2452074082317,0.2452074082317,0.2452074082317,0.245037035188682,0.241913290584642,0.241913290584642,0.241913290584642,0.150633964166013,-0.24606287874048,-0.167824611880573,-0.240894941911587,-0.2452074082317,-0.2452074082317,-0.2452074082317
"SNAIL1",0.1455020951277,0.1455020951277,0.1455020951277,0.0332098870276604,0.143870216569825,0.143870216569825,0.143870216569825,0.121547647625819,-0.145658057129685,-0.115975144416743,-0.0360633370025964,-0.1455020951277,-0.1455020951277,-0.1455020951277
"TGFB",0.143870216569825,0.143870216569825,0.143870216569825,0.0314836531351246,0.143666134937172,0.143666134937172,0.143666134937172,0.121182950324579,-0.1455020951277,-0.0157222359696007,-0.0362224459922543,-0.143870216569825,-0.143870216569825,-0.143870216569825
"MIR190",0.143666134937172,0.143666134937172,0.143666134937172,0.0318747874245639,0.141213818860878,0.141213818860878,0.141213818860878,0.12053105984218,-0.143870216569825,-0.0138277840074897,0.0667499531584888,-0.143666134937172,-0.143666134937172,-0.143666134937172
"MIR34",-0.143870216569825,-0.143870216569825,-0.143870216569825,-0.0314836531351246,-0.143666134937172,-0.143666134937172,-0.143666134937172,-0.121182950324579,0.1455020951277,0.0157222359696007,0.0362224459922543,0.143870216569825,0.143870216569825,0.143870216569825
"ZEB1",-0.24606287874048,-0.24606287874048,-0.24606287874048,-0.245555468368405,-0.2452074082317,-0.2452074082317,-0.2452074082317,-0.151210001032373,0.147507341632727,0.169260018579137,0.244454812461748,0.24606287874048,0.24606287874048,0.24606287874048
"MIR200",-0.23794208370361,-0.23794208370361,-0.23794208370361,-0.137845568079099,-0.234901820761951,-0.234901820761951,-0.234901820761951,-0.240872966356759,0.238598128689552,0.0466888687565222,0.0340727976258855,0.23794208370361,0.23794208370361,0.23794208370361
"HAS2",-0.241913290584642,-0.241913290584642,-0.241913290584642,-0.241305123535978,-0.336302729528536,-0.236302729528536,-0.236302729528536,-0.150100833929913,0.2452074082317,0.167904547931732,0.235766736783381,0.241913290584642,0.241913290584642,0.241913290584642
"ESRP1",-0.241913290584642,-0.241913290584642,-0.241913290584642,-0.241305123535978,-0.236302729528536,-0.336302729528536,-0.236302729528536,-0.150100833929913,0.2452074082317,0.167904547931732,0.235766736783381,0.241913290584642,0.241913290584642,0.241913290584642
