"","MIR190","MIR1199","HAS2","ESRP1","HA","MIR34","MIR200","SNAIL1","TGFB","ZEB1","CD44s","CD24","MIR340","GRHL2"
"MIR340",0.267501770115707,0.267501770115707,0.267501770115707,0.267501770115707,0.262325299527471,0.236343001474593,0.236343001474593,0.129278708346562,-0.0115430519714613,-0.271508974077886,-0.262325299527471,-0.262325299527471,-0.267501770115707,-0.267501770115707
"MIR1199",0.267501770115707,0.267501770115707,0.267501770115707,0.267501770115707,0.262325299527471,0.236343001474593,0.236343001474593,0.129278708346562,-0.0115430519714613,-0.271508974077886,-0.262325299527471,-0.262325299527471,-0.267501770115707,-0.267501770115707
"HA",0.267501770115707,0.267501770115707,0.267501770115707,0.267501770115707,0.262325299527471,0.236343001474593,0.236343001474593,0.129278708346562,-0.0115430519714613,-0.271508974077886,-0.262325299527471,-0.262325299527471,-0.267501770115707,-0.267501770115707
"CD44s",0.267501770115707,0.267501770115707,0.267501770115707,0.267501770115707,0.262325299527471,0.236343001474593,0.236343001474593,0.129278708346562,-0.0115430519714613,-0.271508974077886,-0.262325299527471,-0.262325299527471,-0.267501770115707,-0.267501770115707
"MIR200",0.263723731749452,0.263723731749452,0.263723731749452,0.263723731749452,0.258547067821761,0.329141671534852,0.329141671534852,0.161610340699956,-0.213108756736669,-0.267753722377381,-0.258547067821761,-0.258547067821761,-0.263723731749452,-0.263723731749452
"HAS2",0.262325299527471,0.262325299527471,0.262325299527471,0.262325299527471,0.352754342431762,0.231697152274289,0.231697152274289,0.127440179169903,-0.011286641715051,-0.267501770115707,-0.252754342431762,-0.252754342431762,-0.262325299527471,-0.262325299527471
"SNAIL1",0.18749152852277,0.18749152852277,0.18749152852277,0.18749152852277,0.185100636682163,0.206794254784074,0.206794254784074,0.0125961477033009,-0.101925873353294,-0.189320537455139,-0.185100636682163,-0.185100636682163,-0.18749152852277,-0.18749152852277
"MIR34",0.185100636682163,0.185100636682163,0.185100636682163,0.185100636682163,0.181019004029102,0.20463038413005,0.20463038413005,0.111888004051303,-0.101766764363636,-0.18749152852277,-0.181019004029102,-0.181019004029102,-0.185100636682163,-0.185100636682163
"ZEB1",-0.271508974077886,-0.271508974077886,-0.271508974077886,-0.271508974077886,-0.267501770115707,-0.239568807926206,-0.239568807926206,-0.130474880595365,0.0123289974176009,0.174115648492629,0.267501770115707,0.267501770115707,0.271508974077886,0.271508974077886
"MIR190",-0.181019004029102,-0.181019004029102,-0.181019004029102,-0.181019004029102,-0.175841892312481,-0.201762066007495,-0.201762066007495,-0.110128870086486,0.200705193238371,0.185100636682163,0.175841892312481,0.175841892312481,0.181019004029102,0.181019004029102
"TGFB",-0.185100636682163,-0.185100636682163,-0.185100636682163,-0.185100636682163,-0.181019004029102,-0.20463038413005,-0.20463038413005,-0.111888004051303,0.101766764363636,0.18749152852277,0.181019004029102,0.181019004029102,0.185100636682163,0.185100636682163
"ESRP1",-0.262325299527471,-0.262325299527471,-0.262325299527471,-0.262325299527471,-0.252754342431762,-0.231697152274289,-0.231697152274289,-0.127440179169903,0.011286641715051,0.267501770115707,0.152754342431762,0.252754342431762,0.262325299527471,0.262325299527471
"CD24",-0.267501770115707,-0.267501770115707,-0.267501770115707,-0.267501770115707,-0.262325299527471,-0.236343001474593,-0.236343001474593,-0.129278708346562,0.0115430519714613,0.271508974077886,0.262325299527471,0.262325299527471,0.267501770115707,0.267501770115707
"GRHL2",-0.375850517051266,-0.375850517051266,-0.375850517051266,-0.375850517051266,-0.369519207424207,-0.35970212563681,-0.35970212563681,-0.1515265083364,0.0202323547739509,0.380181353912224,0.369519207424207,0.469519207424207,0.375850517051266,0.375850517051266
