"","SNAIL1","MIR340","MIR190","ESRP1","CD24","ZEB1","MIR200","TGFB","HA","CD44s","MIR1199","HAS2","GRHL2","MIR34"
"SNAIL1",0.352407669923185,0.193402686165048,0.193402686165048,0.193402686165048,0.187823938536965,-0.200817970441243,-0.163941426518636,0.20438297233944,-0.187823938536965,-0.187823938536965,-0.193402686165048,-0.193402686165048,-0.193402686165048,-0.358112423106487
"MIR1199",0.115235001350865,0.068954887460721,0.068954887460721,0.068954887460721,0.0301313580489563,-0.0744929333859799,0.0387088043487424,0.0203059155815918,-0.0301313580489563,-0.0301313580489563,-0.068954887460721,-0.068954887460721,-0.068954887460721,-0.100403119381592
"HA",0.115235001350865,0.068954887460721,0.068954887460721,0.068954887460721,0.0301313580489563,-0.0744929333859799,0.0387088043487424,0.0203059155815918,-0.0301313580489563,-0.0301313580489563,-0.068954887460721,-0.068954887460721,-0.068954887460721,-0.100403119381592
"CD44s",0.115235001350865,0.068954887460721,0.068954887460721,0.068954887460721,0.0301313580489563,-0.0744929333859799,0.0387088043487424,0.0203059155815918,-0.0301313580489563,-0.0301313580489563,-0.068954887460721,-0.068954887460721,-0.068954887460721,-0.100403119381592
"CD24",0.115235001350865,0.068954887460721,0.068954887460721,0.068954887460721,0.0301313580489563,-0.0744929333859799,0.0387088043487424,0.0203059155815918,-0.0301313580489563,-0.0301313580489563,-0.068954887460721,-0.068954887460721,-0.068954887460721,-0.100403119381592
"HAS2",0.120111100471568,0.0301313580489563,0.0301313580489563,0.0301313580489563,0.0364019851116625,-0.068954887460721,0.0101482559862138,0.0182546335303097,0.0635980148883375,-0.0364019851116625,-0.0301313580489563,-0.0301313580489563,-0.0301313580489563,-0.0786971026260704
"ZEB1",-0.121455097044645,-0.0744929333859799,-0.0744929333859799,-0.0744929333859799,-0.068954887460721,-0.0488675182162117,-0.0440083435192493,-0.0182254717535751,0.068954887460721,0.068954887460721,0.0744929333859799,0.0744929333859799,0.0744929333859799,0.102188833667306
"GRHL2",0.0807248477600418,-0.00527217651296171,-0.00527217651296171,-0.00527217651296171,-0.13554104034644,0.0120126519281359,-0.0297126250967403,0.00993330369272204,0.0355410403464396,0.0355410403464396,0.00527217651296171,0.00527217651296171,0.00527217651296171,0.000767510239866703
"MIR200",0.183717136482519,-0.0181433164285178,-0.0181433164285178,-0.0181433164285178,0.0113554510324518,0.0252973307990271,-0.1742423373677,0.0161239238496776,-0.0113554510324518,-0.0113554510324518,0.0181433164285178,0.0181433164285178,0.0181433164285178,-0.0841979740927841
"ESRP1",-0.120111100471568,-0.0301313580489563,-0.0301313580489563,-0.0301313580489563,-0.0364019851116625,0.068954887460721,-0.0101482559862138,-0.0182546335303097,0.0364019851116625,-0.0635980148883375,0.0301313580489563,0.0301313580489563,0.0301313580489563,0.0786971026260704
"MIR340",-0.115235001350865,-0.068954887460721,-0.068954887460721,-0.068954887460721,-0.0301313580489563,0.0744929333859799,-0.0387088043487424,-0.0203059155815918,0.0301313580489563,0.0301313580489563,0.068954887460721,0.068954887460721,0.068954887460721,0.100403119381592
"MIR190",-0.451963659883506,-0.198640265067577,-0.198640265067577,-0.198640265067577,-0.206542172424525,0.187823938536965,0.157104960845988,-0.100934259652779,0.206542172424525,0.206542172424525,0.198640265067577,0.198640265067577,0.198640265067577,0.357947968556393
"TGFB",-0.453722793848324,-0.187823938536965,-0.187823938536965,-0.187823938536965,-0.198640265067577,0.193402686165048,0.166883318081972,-0.202632773453203,0.198640265067577,0.198640265067577,0.187823938536965,0.187823938536965,0.187823938536965,0.35390624756552
"MIR34",-0.453722793848324,-0.187823938536965,-0.187823938536965,-0.187823938536965,-0.198640265067577,0.193402686165048,0.166883318081972,-0.202632773453203,0.198640265067577,0.198640265067577,0.187823938536965,0.187823938536965,0.187823938536965,0.35390624756552
