"","HA","CD24","MIR1199","HAS2","GRHL2","ESRP1","MIR34","MIR200","ZEB1","SNAIL1","MIR340","MIR190","TGFB","CD44s"
"GRHL2",0.266529222622215,0.366529222622215,0.277890887843378,0.277890887843378,0.277890887843378,0.277890887843378,0.267293593897969,0.267293593897969,-0.268024394844354,-0.0497208202367964,-0.277890887843378,-0.277890887843378,-0.257963418257877,-0.266529222622215
"CD44s",0.103763522754261,0.103763522754261,0.129881169813084,0.129881169813084,0.129881169813084,0.129881169813084,0.125726293391374,0.125726293391374,-0.106243168912589,-0.0204963516445991,-0.129881169813084,-0.129881169813084,-0.0954032699431792,-0.103763522754261
"CD24",0.103763522754261,0.103763522754261,0.129881169813084,0.129881169813084,0.129881169813084,0.129881169813084,0.125726293391374,0.125726293391374,-0.106243168912589,-0.0204963516445991,-0.129881169813084,-0.129881169813084,-0.0954032699431792,-0.103763522754261
"MIR200",0.0970119514921246,0.0970119514921246,0.128811458476512,0.128811458476512,0.128811458476512,0.128811458476512,0.0348492992605376,0.0348492992605376,-0.100101680282198,0.0792102666015588,-0.128811458476512,-0.128811458476512,-0.094327441561856,-0.0970119514921246
"SNAIL1",0.0152685851815749,0.0152685851815749,0.0509801601341366,0.0509801601341366,0.0509801601341366,0.0509801601341366,-0.0388603871893351,-0.0388603871893351,-0.0191213766377521,-0.023114762060417,-0.0509801601341366,-0.0509801601341366,0.084162765778695,-0.0152685851815749
"MIR190",-0.0105135387488329,-0.0105135387488329,-0.055472666814228,-0.055472666814228,-0.055472666814228,-0.055472666814228,0.0333259590350204,0.0333259590350204,0.0152685851815749,-0.083506784917926,0.055472666814228,0.055472666814228,0.0103596285582411,0.0105135387488329
"ZEB1",-0.129881169813084,-0.129881169813084,-0.106243168912589,-0.106243168912589,-0.106243168912589,-0.106243168912589,-0.0958875837139546,-0.0958875837139546,0.0271463732957865,0.0569197966206756,0.106243168912589,0.106243168912589,0.125777749832222,0.129881169813084
"TGFB",-0.055472666814228,-0.055472666814228,-0.0152685851815749,-0.0152685851815749,-0.0152685851815749,-0.0152685851815749,0.0839126604691795,0.0839126604691795,0.0509801601341366,-0.0218017781520261,0.0152685851815749,0.0152685851815749,-0.0376233863037546,0.055472666814228
"MIR34",-0.055472666814228,-0.055472666814228,-0.0152685851815749,-0.0152685851815749,-0.0152685851815749,-0.0152685851815749,0.0839126604691795,0.0839126604691795,0.0509801601341366,-0.0218017781520261,0.0152685851815749,0.0152685851815749,-0.0376233863037546,0.055472666814228
"MIR340",-0.103763522754261,-0.103763522754261,-0.129881169813084,-0.129881169813084,-0.129881169813084,-0.129881169813084,-0.125726293391374,-0.125726293391374,0.106243168912589,0.0204963516445991,0.129881169813084,0.129881169813084,0.0954032699431792,0.103763522754261
"MIR1199",-0.103763522754261,-0.103763522754261,-0.129881169813084,-0.129881169813084,-0.129881169813084,-0.129881169813084,-0.125726293391374,-0.125726293391374,0.106243168912589,0.0204963516445991,0.129881169813084,0.129881169813084,0.0954032699431792,0.103763522754261
"HA",-0.103763522754261,-0.103763522754261,-0.129881169813084,-0.129881169813084,-0.129881169813084,-0.129881169813084,-0.125726293391374,-0.125726293391374,0.106243168912589,0.0204963516445991,0.129881169813084,0.129881169813084,0.0954032699431792,0.103763522754261
"HAS2",-0.0337965260545906,-0.133796526054591,-0.103763522754261,-0.103763522754261,-0.103763522754261,-0.103763522754261,-0.0925960572908408,-0.0925960572908408,0.129881169813084,0.0613436737868852,0.103763522754261,0.103763522754261,0.130275064814974,0.133796526054591
"ESRP1",-0.133796526054591,-0.133796526054591,-0.103763522754261,-0.103763522754261,-0.103763522754261,-0.103763522754261,-0.0925960572908408,-0.0925960572908408,0.129881169813084,0.0613436737868852,0.103763522754261,0.103763522754261,0.130275064814974,0.0337965260545906
