"","MIR34","MIR200","TGFB","CD44s","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","MIR340","MIR190","HA","CD24","SNAIL1"
"SNAIL1",-0.125893699455785,-0.125893699455785,-0.0578748352224157,0.191972881190018,0.207646505478443,0.207646505478443,0.207646505478443,0.207646505478443,-0.193907670939948,-0.207646505478443,-0.207646505478443,-0.191972881190018,-0.191972881190018,0.297420580089311
"MIR190",-0.127973472592191,-0.127973472592191,-0.16507679722881,0.184456893868659,0.208707575067569,0.208707575067569,0.208707575067569,0.208707575067569,-0.191972881190018,-0.208707575067569,-0.208707575067569,-0.184456893868659,-0.184456893868659,0.404330422163558
"MIR1199",0.289500753261042,0.289500753261042,0.187414295873725,0.0707354085284459,0.108382467351975,0.108382467351975,0.108382467351975,0.108382467351975,-0.0639430256590442,-0.108382467351975,-0.108382467351975,-0.0707354085284459,-0.0707354085284459,-0.47816406462654
"HA",0.289500753261042,0.289500753261042,0.187414295873725,0.0707354085284459,0.108382467351975,0.108382467351975,0.108382467351975,0.108382467351975,-0.0639430256590442,-0.108382467351975,-0.108382467351975,-0.0707354085284459,-0.0707354085284459,-0.47816406462654
"CD24",0.289500753261042,0.289500753261042,0.187414295873725,0.0707354085284459,0.108382467351975,0.108382467351975,0.108382467351975,0.108382467351975,-0.0639430256590442,-0.108382467351975,-0.108382467351975,-0.0707354085284459,-0.0707354085284459,-0.47816406462654
"MIR200",0.347645773595124,0.347645773595124,0.365373275327583,0.0562102516565386,0.0751913527247391,0.0751913527247391,0.0751913527247391,0.0751913527247391,-0.0494806373233021,-0.0751913527247391,-0.0751913527247391,-0.0562102516565386,-0.0562102516565386,-0.520000353483752
"ZEB1",-0.264212734827862,-0.264212734827862,-0.221394878397997,-0.108382467351975,-0.0639430256590442,-0.0639430256590442,-0.0639430256590442,-0.0639430256590442,-0.00552401734278214,0.0639430256590442,0.0639430256590442,0.108382467351975,0.108382467351975,0.483965500033238
"GRHL2",0.112867104491389,0.112867104491389,0.0470394237391705,-0.00638800363037838,0.0379311637590405,0.0379311637590405,0.0379311637590405,0.0379311637590405,0.00462826313773577,-0.0379311637590405,-0.0379311637590405,0.00638800363037838,-0.0936119963696216,-0.255578848241879
"MIR340",-0.289500753261042,-0.289500753261042,-0.187414295873725,-0.0707354085284459,-0.108382467351975,-0.108382467351975,-0.108382467351975,-0.108382467351975,0.0639430256590442,0.108382467351975,0.108382467351975,0.0707354085284459,0.0707354085284459,0.47816406462654
"CD44s",-0.289500753261042,-0.289500753261042,-0.187414295873725,-0.0707354085284459,-0.108382467351975,-0.108382467351975,-0.108382467351975,-0.108382467351975,0.0639430256590442,0.108382467351975,0.108382467351975,0.0707354085284459,0.0707354085284459,0.47816406462654
"HAS2",-0.25789374640651,-0.25789374640651,-0.229721988181417,-0.133771712158809,-0.0707354085284459,-0.0707354085284459,-0.0707354085284459,-0.0707354085284459,0.108382467351975,0.0707354085284459,0.0707354085284459,0.0337717121588089,0.133771712158809,0.469451035050201
"ESRP1",-0.25789374640651,-0.25789374640651,-0.229721988181417,-0.0337717121588089,-0.0707354085284459,-0.0707354085284459,-0.0707354085284459,-0.0707354085284459,0.108382467351975,0.0707354085284459,0.0707354085284459,0.133771712158809,0.133771712158809,0.469451035050201
"TGFB",0.137491073635216,0.137491073635216,0.0455438885239273,-0.208707575067569,-0.191972881190018,-0.191972881190018,-0.191972881190018,-0.191972881190018,0.207646505478443,0.191972881190018,0.191972881190018,0.208707575067569,0.208707575067569,-0.400000246250161
"MIR34",0.137491073635216,0.137491073635216,0.0455438885239273,-0.208707575067569,-0.191972881190018,-0.191972881190018,-0.191972881190018,-0.191972881190018,0.207646505478443,0.191972881190018,0.191972881190018,0.208707575067569,0.208707575067569,-0.400000246250161
