"","MIR340","MIR1199","HAS2","ESRP1","CD24","ZEB1","SNAIL1","HA","CD44s","MIR190","GRHL2","TGFB","MIR34","MIR200"
"MIR200",0.110620758437368,0.110620758437368,0.110620758437368,0.110620758437368,0.109388219406965,-0.110651998674793,-0.0647321659139411,-0.109388219406965,-0.109388219406965,-0.110620758437368,-0.110620758437368,0.0795269666597447,-0.0273403881233732,-0.0273403881233732
"MIR190",0.0917180968663578,0.0917180968663578,0.0917180968663578,0.0917180968663578,0.0887208216619981,-0.0904936070704394,-0.0217008256028271,-0.0887208216619981,-0.0887208216619981,-0.0917180968663578,-0.0917180968663578,0.116414122372877,0.0129467796389102,0.0129467796389102
"TGFB",0.0904936070704394,0.0904936070704394,0.0904936070704394,0.0904936070704394,0.0917180968663578,-0.0903797550780296,-0.024001231556819,-0.0917180968663578,-0.0917180968663578,-0.0904936070704394,-0.0904936070704394,0.0113185809716028,0.0150328291825869,0.0150328291825869
"MIR340",0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0890115388710087,-0.0900674490333627,-0.0239065783834646,-0.0890115388710087,-0.0890115388710087,-0.0894821271063028,-0.0894821271063028,-0.102385772655775,-0.107121292705187,-0.107121292705187
"MIR1199",0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0890115388710087,-0.0900674490333627,-0.0239065783834646,-0.0890115388710087,-0.0890115388710087,-0.0894821271063028,-0.0894821271063028,-0.102385772655775,-0.107121292705187,-0.107121292705187
"HA",0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0890115388710087,-0.0900674490333627,-0.0239065783834646,-0.0890115388710087,-0.0890115388710087,-0.0894821271063028,-0.0894821271063028,-0.102385772655775,-0.107121292705187,-0.107121292705187
"CD44s",0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0890115388710087,-0.0900674490333627,-0.0239065783834646,-0.0890115388710087,-0.0890115388710087,-0.0894821271063028,-0.0894821271063028,-0.102385772655775,-0.107121292705187,-0.107121292705187
"CD24",0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0894821271063028,0.0890115388710087,-0.0900674490333627,-0.0239065783834646,-0.0890115388710087,-0.0890115388710087,-0.0894821271063028,-0.0894821271063028,-0.102385772655775,-0.107121292705187,-0.107121292705187
"ZEB1",-0.0900674490333627,-0.0900674490333627,-0.0900674490333627,-0.0900674490333627,-0.0894821271063028,-0.0104140385973861,0.0257008367566703,0.0894821271063028,0.0894821271063028,0.0900674490333627,0.0900674490333627,0.102524468910976,0.108618988557722,0.108618988557722
"GRHL2",-0.00489808933398139,-0.00489808933398139,-0.00489808933398139,-0.00489808933398139,-0.105678661753756,0.00460502518549555,-0.0380056311726431,0.00567866175375589,0.00567866175375589,0.00489808933398139,0.00489808933398139,0.00352197141135916,0.00279198310831885,0.00279198310831885
"HAS2",-0.0890115388710087,-0.0890115388710087,-0.0890115388710087,-0.0890115388710087,-0.0906617038875103,0.0894821271063028,0.0270240843786684,-0.00933829611248966,0.0906617038875103,0.0890115388710087,0.0890115388710087,0.105206285476287,0.107197454167487,0.107197454167487
"ESRP1",-0.0890115388710087,-0.0890115388710087,-0.0890115388710087,-0.0890115388710087,-0.0906617038875103,0.0894821271063028,0.0270240843786684,0.0906617038875103,-0.00933829611248966,0.0890115388710087,0.0890115388710087,0.105206285476287,0.107197454167487,0.107197454167487
"MIR34",-0.0904936070704394,-0.0904936070704394,-0.0904936070704394,-0.0904936070704394,-0.0917180968663578,0.0903797550780296,0.024001231556819,0.0917180968663578,0.0917180968663578,0.0904936070704394,0.0904936070704394,-0.0113185809716028,-0.0150328291825869,-0.0150328291825869
"SNAIL1",-0.0903797550780296,-0.0903797550780296,-0.0903797550780296,-0.0903797550780296,-0.0904936070704394,0.0909894247221526,-0.0788819247406013,0.0904936070704394,0.0904936070704394,0.0903797550780296,0.0903797550780296,-0.0130687798578399,-0.0159324158589788,-0.0159324158589788
