"","MIR1199","HAS2","GRHL2","ESRP1","CD44s","CD24","TGFB","MIR34","SNAIL1","ZEB1","MIR200","HA","MIR340","MIR190"
"GRHL2",0.329831060292841,0.329831060292841,0.329831060292841,0.329831060292841,0.326275119269424,0.426275119269424,0.31188135272648,0.280564863468855,0.0774698813349561,-0.33123125566894,-0.305740287049111,-0.326275119269424,-0.329831060292841,-0.329831060292841
"MIR340",0.200503243726796,0.200503243726796,0.200503243726796,0.200503243726796,0.195797361373855,0.195797361373855,0.180501471187115,0.1738595657446,0.0533200791503749,-0.200638318017656,-0.175796683948133,-0.195797361373855,-0.200503243726796,-0.200503243726796
"MIR1199",0.200503243726796,0.200503243726796,0.200503243726796,0.200503243726796,0.195797361373855,0.195797361373855,0.180501471187115,0.1738595657446,0.0533200791503749,-0.200638318017656,-0.175796683948133,-0.195797361373855,-0.200503243726796,-0.200503243726796
"HA",0.200503243726796,0.200503243726796,0.200503243726796,0.200503243726796,0.195797361373855,0.195797361373855,0.180501471187115,0.1738595657446,0.0533200791503749,-0.200638318017656,-0.175796683948133,-0.195797361373855,-0.200503243726796,-0.200503243726796
"CD44s",0.200503243726796,0.200503243726796,0.200503243726796,0.200503243726796,0.195797361373855,0.195797361373855,0.180501471187115,0.1738595657446,0.0533200791503749,-0.200638318017656,-0.175796683948133,-0.195797361373855,-0.200503243726796,-0.200503243726796
"CD24",0.200503243726796,0.200503243726796,0.200503243726796,0.200503243726796,0.195797361373855,0.195797361373855,0.180501471187115,0.1738595657446,0.0533200791503749,-0.200638318017656,-0.175796683948133,-0.195797361373855,-0.200503243726796,-0.200503243726796
"ESRP1",0.195797361373855,0.195797361373855,0.195797361373855,0.195797361373855,0.295467328370554,0.195467328370554,0.180757881443526,0.171650883337898,0.0548388641223973,-0.200503243726796,-0.171912449370829,-0.195467328370554,-0.195797361373855,-0.195797361373855
"TGFB",0.111450286442158,0.111450286442158,0.111450286442158,0.111450286442158,0.111858449707464,0.111858449707464,-0.0407884953027941,0.180268165103364,-0.135250692185209,-0.1123231517173,0.0664617770573597,-0.111858449707464,-0.111450286442158,-0.111450286442158
"ZEB1",-0.200638318017656,-0.200638318017656,-0.200638318017656,-0.200638318017656,-0.200503243726796,-0.200503243726796,-0.184708590928216,-0.174493206297595,-0.0536789308250161,0.102481253431901,0.175335854455045,0.200503243726796,0.200638318017656,0.200638318017656
"MIR190",-0.111858449707464,-0.111858449707464,-0.111858449707464,-0.111858449707464,-0.108316215375039,-0.108316215375039,-0.056876048221622,-0.180398543199843,0.137009826150026,0.111450286442158,-0.0660706427679203,0.108316215375039,0.111858449707464,0.111858449707464
"SNAIL1",-0.1123231517173,-0.1123231517173,-0.1123231517173,-0.1123231517173,-0.111450286442158,-0.111450286442158,0.0411862677769389,-0.180195225643116,0.0352001104957806,0.111997049349513,-0.0652704325399758,0.111450286442158,0.1123231517173,0.1123231517173
"MIR34",-0.111450286442158,-0.111450286442158,-0.111450286442158,-0.111450286442158,-0.111858449707464,-0.111858449707464,0.0407884953027941,-0.180268165103364,0.135250692185209,0.1123231517173,-0.0664617770573597,0.111858449707464,0.111450286442158,0.111450286442158
"MIR200",-0.199383654058912,-0.199383654058912,-0.199383654058912,-0.199383654058912,-0.195028682818156,-0.195028682818156,-0.174927732256959,-0.273311242100716,0.104511381775009,0.199352413821487,0.0650460172364337,0.195028682818156,0.199383654058912,0.199383654058912
"HAS2",-0.195797361373855,-0.195797361373855,-0.195797361373855,-0.195797361373855,-0.195467328370554,-0.195467328370554,-0.180757881443526,-0.171650883337898,-0.0548388641223973,0.200503243726796,0.171912449370829,0.0954673283705542,0.195797361373855,0.195797361373855
