"","MIR34","ZEB1","TGFB","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","MIR200","SNAIL1"
"ZEB1",-0.117745205229676,-0.0985177734703634,-0.0133711068345205,-0.00485318565428284,-0.00485318565428284,-0.00282707129138325,-0.00282707129138325,-0.00282707129138325,-0.00282707129138325,-0.00282707129138325,-0.00282707129138325,0.00485318565428284,0.0292976034201379,0.240832329377466
"TGFB",-0.163011289199215,-0.0918345118168955,-0.22967100245724,0.0899412383784879,0.0899412383784879,0.0909616465417532,0.0909616465417532,0.0909616465417532,0.0909616465417532,0.0909616465417532,0.0909616465417532,-0.0899412383784879,0.251694776295717,0.318697063721056
"SNAIL1",-0.162889723432135,-0.091338269083307,-0.231023428869332,0.0909616465417532,0.0909616465417532,0.0918345118168955,0.0918345118168955,0.0918345118168955,0.0918345118168955,0.0918345118168955,0.0918345118168955,-0.0909616465417532,0.252691615585773,0.218444155273914
"MIR340",0.118321242096036,-0.00282707129138325,0.0148043014715986,0.00367671506604755,0.00367671506604755,0.00485318565428284,0.00485318565428284,0.00485318565428284,0.00485318565428284,0.00485318565428284,0.00485318565428284,-0.00367671506604755,-0.0272814743878798,-0.2387988365545
"HA",0.118321242096036,-0.00282707129138325,0.0148043014715986,0.00367671506604755,0.00367671506604755,0.00485318565428284,0.00485318565428284,0.00485318565428284,0.00485318565428284,0.00485318565428284,0.00485318565428284,-0.00367671506604755,-0.0272814743878798,-0.2387988365545
"MIR1199",-0.118321242096036,0.00282707129138325,-0.0148043014715986,-0.00367671506604755,-0.00367671506604755,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,0.00367671506604755,0.0272814743878798,0.2387988365545
"CD44s",-0.118321242096036,0.00282707129138325,-0.0148043014715986,-0.00367671506604755,-0.00367671506604755,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,0.00367671506604755,0.0272814743878798,0.2387988365545
"CD24",-0.118321242096036,0.00282707129138325,-0.0148043014715986,-0.00367671506604755,-0.00367671506604755,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,-0.00485318565428284,0.00367671506604755,0.0272814743878798,0.2387988365545
"HAS2",-0.118397403558336,0.00485318565428284,-0.0204453271126243,0.0012737799834574,0.0012737799834574,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.101273779983457,0.0288808650961814,0.236800435275523
"ESRP1",-0.118397403558336,0.00485318565428284,-0.0204453271126243,0.101273779983457,0.0012737799834574,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.00367671506604755,-0.0012737799834574,0.0288808650961814,0.236800435275523
"GRHL2",0.0121905145044541,0.0327597043056279,0.0430916681523962,-0.0305351053872286,0.0694648946127714,-0.0309687567315478,-0.0309687567315478,-0.0309687567315478,-0.0309687567315478,-0.0309687567315478,-0.0309687567315478,0.0305351053872286,-0.0534882619433471,-0.14211380267897
"MIR200",0.00834410160245903,0.0513658611265183,0.0581834869480184,-0.0505693762564707,-0.0505693762564707,-0.0524592694364214,-0.0524592694364214,-0.0524592694364214,-0.0524592694364214,-0.0524592694364214,-0.0524592694364214,0.0505693762564707,-0.16346785849564,-0.0638063191336718
"MIR190",0.162750533006256,0.0909616465417532,0.126273974856391,-0.0863990040460629,-0.0863990040460629,-0.0899412383784879,-0.0899412383784879,-0.0899412383784879,-0.0899412383784879,-0.0899412383784879,-0.0899412383784879,0.0863990040460629,-0.25013023913796,-0.317479201745413
"MIR34",0.163011289199215,0.0918345118168955,0.22967100245724,-0.0899412383784879,-0.0899412383784879,-0.0909616465417532,-0.0909616465417532,-0.0909616465417532,-0.0909616465417532,-0.0909616465417532,-0.0909616465417532,0.0899412383784879,-0.251694776295717,-0.318697063721056
