"","MIR34","SNAIL1","MIR200","HA","MIR340","MIR190","MIR1199","ESRP1","ZEB1","TGFB","HAS2","GRHL2","CD44s","CD24"
"GRHL2",0.205705067233142,0.104856149866444,0.162263359731516,0.175201609220986,0.17598218164076,0.17598218164076,0.17598218164076,0.17598218164076,-0.175298365294293,-0.0117407901417596,-0.17598218164076,-0.17598218164076,-0.175201609220986,-0.0752016092209858
"MIR340",0.0865250263485448,0.0809047838812438,0.067550541591706,0.0544688761680138,0.0570571114621315,0.0570571114621315,0.0570571114621315,0.0570571114621315,-0.0551210466264718,-0.00297764237947707,-0.0570571114621315,-0.0570571114621315,-0.0544688761680138,-0.0544688761680138
"MIR1199",0.0865250263485448,0.0809047838812438,0.067550541591706,0.0544688761680138,0.0570571114621315,0.0570571114621315,0.0570571114621315,0.0570571114621315,-0.0551210466264718,-0.00297764237947707,-0.0570571114621315,-0.0570571114621315,-0.0544688761680138,-0.0544688761680138
"HA",0.0865250263485448,0.0809047838812438,0.067550541591706,0.0544688761680138,0.0570571114621315,0.0570571114621315,0.0570571114621315,0.0570571114621315,-0.0551210466264718,-0.00297764237947707,-0.0570571114621315,-0.0570571114621315,-0.0544688761680138,-0.0544688761680138
"CD44s",0.0865250263485448,0.0809047838812438,0.067550541591706,0.0544688761680138,0.0570571114621315,0.0570571114621315,0.0570571114621315,0.0570571114621315,-0.0551210466264718,-0.00297764237947707,-0.0570571114621315,-0.0570571114621315,-0.0544688761680138,-0.0544688761680138
"CD24",0.0865250263485448,0.0809047838812438,0.067550541591706,0.0544688761680138,0.0570571114621315,0.0570571114621315,0.0570571114621315,0.0570571114621315,-0.0551210466264718,-0.00297764237947707,-0.0570571114621315,-0.0570571114621315,-0.0544688761680138,-0.0544688761680138
"ZEB1",-0.0841056715098351,-0.0831177025415309,-0.06749293790507,-0.0570571114621315,-0.0551210466264718,-0.0551210466264718,-0.0551210466264718,-0.0551210466264718,-0.0436005206987813,0.00404098033601891,0.0551210466264718,0.0551210466264718,0.0570571114621315,0.0570571114621315
"TGFB",-0.0780449034980953,-0.0679846736235336,0.101278102848233,0.0265551476418603,0.0200245353969623,0.0200245353969623,0.0200245353969623,0.0200245353969623,-0.0243888617726739,0.0909695529886281,-0.0200245353969623,-0.0200245353969623,-0.0265551476418603,-0.0265551476418603
"MIR190",0.0698310834198685,0.0755624814719774,-0.101408480944713,-0.0170183629007158,-0.0265551476418603,-0.0265551476418603,-0.0265551476418603,-0.0265551476418603,0.0200245353969623,-0.19457889481453,0.0265551476418603,0.0265551476418603,0.0170183629007158,0.0170183629007158
"SNAIL1",0.0725258176726638,-0.0268559940547669,-0.101351042308481,-0.0200245353969623,-0.0243888617726739,-0.0243888617726739,-0.0243888617726739,-0.0243888617726739,0.0214255837349594,-0.0934357423283258,0.0243888617726739,0.0243888617726739,0.0200245353969623,0.0200245353969623
"MIR34",0.0780449034980953,0.0679846736235336,-0.101278102848233,-0.0265551476418603,-0.0200245353969623,-0.0200245353969623,-0.0200245353969623,-0.0200245353969623,0.0243888617726739,-0.0909695529886281,0.0200245353969623,0.0200245353969623,0.0265551476418603,0.0265551476418603
"HAS2",-0.0830977605450413,-0.0841821619787658,-0.0676267030540061,-0.158759305210918,-0.0544688761680138,-0.0544688761680138,-0.0544688761680138,-0.0544688761680138,0.0570571114621315,0.00451610391793861,0.0544688761680138,0.0544688761680138,0.0587593052109181,0.0587593052109181
"ESRP1",-0.0830977605450413,-0.0841821619787658,-0.0676267030540061,-0.0587593052109181,-0.0544688761680138,-0.0544688761680138,-0.0544688761680138,-0.0544688761680138,0.0570571114621315,0.00451610391793861,0.0544688761680138,0.0544688761680138,-0.0412406947890819,0.0587593052109181
"MIR200",-0.193552877884152,-0.116928330471359,0.0225520045630983,-0.0812150314904461,-0.0801468309974304,-0.0801468309974304,-0.0801468309974304,-0.0801468309974304,0.0808028759833724,0.205665965772934,0.0801468309974304,0.0801468309974304,0.0812150314904461,0.0812150314904461
