"","MIR34","MIR200","HA","CD44s","MIR190","MIR1199","GRHL2","ESRP1","ZEB1","TGFB","MIR340","HAS2","CD24","SNAIL1"
"TGFB",-0.164684829014863,-0.164684829014863,0.10427556308627,0.10427556308627,0.103867399820964,0.103867399820964,0.103867399820964,0.103867399820964,-0.104208955798193,-0.176956090081938,-0.103867399820964,-0.103867399820964,-0.10427556308627,0.341411849514778
"SNAIL1",-0.164417384327287,-0.164417384327287,0.103867399820964,0.103867399820964,0.104208955798193,0.104208955798193,0.104208955798193,0.104208955798193,-0.104024637068575,-0.177194753566425,-0.104208955798193,-0.104208955798193,-0.103867399820964,0.241614176272492
"MIR200",-0.0117914180851512,-0.0117914180851512,0.087051113323644,0.087051113323644,0.0877906367418855,0.0877906367418855,0.0877906367418855,0.0877906367418855,-0.0873845136553501,-0.00594028512304535,-0.0877906367418855,-0.0877906367418855,-0.087051113323644,0.118704981375656
"MIR340",0.113847837479776,0.113847837479776,0.05033167088421,0.05033167088421,0.0508022591195041,0.0508022591195041,0.0508022591195041,0.0508022591195041,-0.0503970362469242,0.0244338200206367,-0.0508022591195041,-0.0508022591195041,-0.05033167088421,-0.159339221746266
"HA",0.113847837479776,0.113847837479776,0.05033167088421,0.05033167088421,0.0508022591195041,0.0508022591195041,0.0508022591195041,0.0508022591195041,-0.0503970362469242,0.0244338200206367,-0.0508022591195041,-0.0508022591195041,-0.05033167088421,-0.159339221746266
"CD24",0.113847837479776,0.113847837479776,0.05033167088421,0.05033167088421,0.0508022591195041,0.0508022591195041,0.0508022591195041,0.0508022591195041,-0.0503970362469242,0.0244338200206367,-0.0508022591195041,-0.0508022591195041,-0.05033167088421,-0.159339221746266
"ZEB1",-0.113559819046596,-0.113559819046596,-0.0508022591195041,-0.0508022591195041,-0.0503970362469242,-0.0503970362469242,-0.0503970362469242,-0.0503970362469242,-0.049519948644326,-0.0245725162758378,0.0503970362469242,0.0503970362469242,0.0508022591195041,0.159578456196027
"GRHL2",0.0103618985488273,0.0103618985488273,-0.0164650574456809,-0.0164650574456809,-0.0160314061013617,-0.0160314061013617,-0.0160314061013617,-0.0160314061013617,0.0164547209825079,0.0114398466973775,0.0160314061013617,0.0160314061013617,-0.0835349425543191,-0.103276068721108
"MIR1199",-0.113847837479776,-0.113847837479776,-0.05033167088421,-0.05033167088421,-0.0508022591195041,-0.0508022591195041,-0.0508022591195041,-0.0508022591195041,0.0503970362469242,-0.0244338200206367,0.0508022591195041,0.0508022591195041,0.05033167088421,0.159339221746266
"CD44s",-0.113847837479776,-0.113847837479776,-0.05033167088421,-0.05033167088421,-0.0508022591195041,-0.0508022591195041,-0.0508022591195041,-0.0508022591195041,0.0503970362469242,-0.0244338200206367,0.0508022591195041,0.0508022591195041,0.05033167088421,0.159339221746266
"HAS2",-0.113314707243675,-0.113314707243675,-0.15066170388751,-0.0506617038875103,-0.05033167088421,-0.05033167088421,-0.05033167088421,-0.05033167088421,0.0508022591195041,-0.024690230277047,0.05033167088421,0.05033167088421,0.0506617038875103,0.159419157797425
"ESRP1",-0.113314707243675,-0.113314707243675,-0.0506617038875103,0.0493382961124897,-0.05033167088421,-0.05033167088421,-0.05033167088421,-0.05033167088421,0.0508022591195041,-0.024690230277047,0.05033167088421,0.05033167088421,0.0506617038875103,0.159419157797425
"MIR190",0.164032938532464,0.164032938532464,-0.102913165266106,-0.102913165266106,-0.10427556308627,-0.10427556308627,-0.10427556308627,-0.10427556308627,0.103867399820964,0.0769560900819384,0.10427556308627,0.10427556308627,0.102913165266106,-0.341547167512072
"MIR34",0.164684829014863,0.164684829014863,-0.10427556308627,-0.10427556308627,-0.103867399820964,-0.103867399820964,-0.103867399820964,-0.103867399820964,0.104208955798193,0.176956090081938,0.103867399820964,0.103867399820964,0.10427556308627,-0.341411849514778
