"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","MIR200","MIR34","TGFB","SNAIL1","ZEB1"
"GRHL2",0.792237537332071,0.792237537332071,0.792237537332071,0.792237537332071,0.792237537332071,0.792237537332071,0.727450026490788,0.727450026490788,0.827450026490788,0.693708969045807,0.51435771912008,-0.0478968235473696,-0.326901029837024,-0.851338807276715
"MIR340",0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.620058799924658,0.620058799924658,0.620058799924658,0.574648867784658,0.403619628455509,-0.0459116466199878,-0.307467385952498,-0.740704296124038
"MIR1199",0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.620058799924658,0.620058799924658,0.620058799924658,0.574648867784658,0.403619628455509,-0.0459116466199878,-0.307467385952498,-0.740704296124038
"HA",0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.620058799924658,0.620058799924658,0.620058799924658,0.574648867784658,0.403619628455509,-0.0459116466199878,-0.307467385952498,-0.740704296124038
"CD44s",0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.620058799924658,0.620058799924658,0.620058799924658,0.574648867784658,0.403619628455509,-0.0459116466199878,-0.307467385952498,-0.740704296124038
"CD24",0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.683117623454069,0.620058799924658,0.620058799924658,0.620058799924658,0.574648867784658,0.403619628455509,-0.0459116466199878,-0.307467385952498,-0.740704296124038
"HAS2",0.620058799924658,0.620058799924658,0.620058799924658,0.620058799924658,0.620058799924658,0.620058799924658,0.650421836228288,0.550421836228288,0.550421836228288,0.525372401676508,0.371251006977977,-0.0405270312353724,-0.28660407659998,-0.683117623454069
"ESRP1",0.620058799924658,0.620058799924658,0.620058799924658,0.620058799924658,0.620058799924658,0.620058799924658,0.550421836228288,0.650421836228288,0.550421836228288,0.525372401676508,0.371251006977977,-0.0405270312353724,-0.28660407659998,-0.683117623454069
"TGFB",0.500837476982921,0.500837476982921,0.500837476982921,0.500837476982921,0.500837476982921,0.500837476982921,0.462878293309452,0.462878293309452,0.462878293309452,0.453330750468164,0.117125033582787,-0.141308346206926,-0.263956746136033,-0.535182828026565
"MIR34",0.500837476982921,0.500837476982921,0.500837476982921,0.500837476982921,0.500837476982921,0.500837476982921,0.462878293309452,0.462878293309452,0.462878293309452,0.453330750468164,0.117125033582787,-0.141308346206926,-0.263956746136033,-0.535182828026565
"MIR190",0.462878293309452,0.462878293309452,0.462878293309452,0.462878293309452,0.462878293309452,0.462878293309452,0.421188920012449,0.421188920012449,0.421188920012449,0.424256434953171,0.097698697207298,-0.0374866901559708,-0.252184080371486,-0.500837476982921
"MIR200",0.386978335355115,0.386978335355115,0.386978335355115,0.386978335355115,0.386978335355115,0.386978335355115,0.355507505445501,0.355507505445501,0.355507505445501,0.22649377038109,0.345526428586798,-0.0224939257357898,-0.0205255807230073,-0.41531323070032
"SNAIL1",-0.535182828026565,-0.535182828026565,-0.535182828026565,-0.535182828026565,-0.535182828026565,-0.535182828026565,-0.500837476982921,-0.500837476982921,-0.500837476982921,-0.479564643004026,-0.134897948729882,0.144251862515598,0.17498355443143,0.566304336604475
"ZEB1",-0.740704296124038,-0.740704296124038,-0.740704296124038,-0.740704296124038,-0.740704296124038,-0.740704296124038,-0.683117623454069,-0.683117623454069,-0.683117623454069,-0.619003706494335,-0.432939904953205,0.0510434080624289,0.32672575915824,0.692987211614657
