"","TGFB","CD24","MIR190","MIR1199","GRHL2","ESRP1","MIR34","ZEB1","SNAIL1","MIR340","HAS2","HA","CD44s","MIR200"
"GRHL2",0.3292730090177,0.421189910820977,0.324572391306667,0.324572391306667,0.324572391306667,0.324572391306667,0.241130216784629,-0.325777210583775,-0.186695552384653,-0.324572391306667,-0.324572391306667,-0.321189910820977,-0.321189910820977,-0.338353456012028
"HAS2",0.202861268252795,0.190339123242349,0.190009090239049,0.190009090239049,0.190009090239049,0.190009090239049,0.125110002834753,-0.19471497259199,-0.159436565271823,-0.190009090239049,-0.190009090239049,-0.0903391232423491,-0.190339123242349,-0.211265549101287
"MIR340",0.203117678509205,0.190009090239049,0.19471497259199,0.19471497259199,0.19471497259199,0.19471497259199,0.127318685241455,-0.19457989830113,-0.160955350243845,-0.19471497259199,-0.19471497259199,-0.190009090239049,-0.190009090239049,-0.215149783678591
"MIR1199",0.203117678509205,0.190009090239049,0.19471497259199,0.19471497259199,0.19471497259199,0.19471497259199,0.127318685241455,-0.19457989830113,-0.160955350243845,-0.19471497259199,-0.19471497259199,-0.190009090239049,-0.190009090239049,-0.215149783678591
"HA",0.203117678509205,0.190009090239049,0.19471497259199,0.19471497259199,0.19471497259199,0.19471497259199,0.127318685241455,-0.19457989830113,-0.160955350243845,-0.19471497259199,-0.19471497259199,-0.190009090239049,-0.190009090239049,-0.215149783678591
"CD44s",0.203117678509205,0.190009090239049,0.19471497259199,0.19471497259199,0.19471497259199,0.19471497259199,0.127318685241455,-0.19457989830113,-0.160955350243845,-0.19471497259199,-0.19471497259199,-0.190009090239049,-0.190009090239049,-0.215149783678591
"CD24",0.203117678509205,0.190009090239049,0.19471497259199,0.19471497259199,0.19471497259199,0.19471497259199,0.127318685241455,-0.19457989830113,-0.160955350243845,-0.19471497259199,-0.19471497259199,-0.190009090239049,-0.190009090239049,-0.215149783678591
"TGFB",0.173848562958906,0.135562153411168,0.135970316676474,0.135970316676474,0.135970316676474,0.135970316676474,-0.000281047551028748,-0.136843181951616,-0.0549228062686898,-0.135970316676474,-0.135970316676474,-0.135562153411168,-0.135562153411168,-0.143666285914042
"MIR34",0.173848562958906,0.135562153411168,0.135970316676474,0.135970316676474,0.135970316676474,0.135970316676474,-0.000281047551028748,-0.136843181951616,-0.0549228062686898,-0.135970316676474,-0.135970316676474,-0.135562153411168,-0.135562153411168,-0.143666285914042
"MIR190",0.271513106483322,0.132019919078743,0.135562153411168,0.135562153411168,0.135562153411168,0.135562153411168,-0.00041142564750854,-0.135970316676474,-0.0531636723038725,-0.135562153411168,-0.135562153411168,-0.132019919078743,-0.132019919078743,-0.143275151624603
"ZEB1",-0.207324798250305,-0.19471497259199,-0.19457989830113,-0.19457989830113,-0.19457989830113,-0.19457989830113,-0.12668504468846,0.0964228337153753,0.161314201918486,0.19457989830113,0.19457989830113,0.19471497259199,0.19471497259199,0.215610613171679
"SNAIL1",-0.174246335433051,-0.135970316676474,-0.136843181951616,-0.136843181951616,-0.136843181951616,-0.136843181951616,0.000353987011276743,0.137169284319403,-0.0451277754207386,0.136843181951616,0.136843181951616,0.135970316676474,0.135970316676474,0.144857630431426
"ESRP1",-0.202861268252795,-0.190339123242349,-0.190009090239049,-0.190009090239049,-0.190009090239049,-0.190009090239049,-0.125110002834753,0.19471497259199,0.159436565271823,0.190009090239049,0.190009090239049,0.190339123242349,0.0903391232423491,0.211265549101287
"MIR200",-0.394328694413301,-0.198537454747981,-0.202892425988737,-0.202892425988737,-0.202892425988737,-0.202892425988737,-0.0492162234769642,0.202923666226163,0.159203278984093,0.202892425988737,0.202892425988737,0.198537454747981,0.198537454747981,0.293442111129003
