"","MIR340","MIR190","MIR1199","HAS2","GRHL2","HA","CD44s","TGFB","MIR34","MIR200","SNAIL1","ZEB1","CD24","ESRP1"
"GRHL2",0.385475937504573,0.385475937504573,0.385475937504573,0.385475937504573,0.385475937504573,0.377236561962508,0.377236561962508,0.336606825675477,0.312920625814696,0.312920625814696,-0.0893605905931327,-0.391174407058464,-0.477236561962508,-0.385475937504573
"SNAIL1",0.340558380179199,0.340558380179199,0.340558380179199,0.340558380179199,0.340558380179199,0.334676027238022,0.334676027238022,0.36512519429637,0.330490178775645,0.330490178775645,0.0884560338932062,-0.344712640777526,-0.334676027238022,-0.340558380179199
"TGFB",0.334676027238022,0.334676027238022,0.334676027238022,0.334676027238022,0.334676027238022,0.3265127619319,0.3265127619319,0.358760834710053,0.326624387382501,0.326624387382501,0.188203125446064,-0.340558380179199,-0.3265127619319,-0.334676027238022
"MIR190",0.3265127619319,0.3265127619319,0.3265127619319,0.3265127619319,0.3265127619319,0.314796140678494,0.314796140678494,0.449631323032771,0.321409263523309,0.321409263523309,0.187932489451477,-0.334676027238022,-0.314796140678494,-0.3265127619319
"MIR200",0.318408312089667,0.318408312089667,0.318408312089667,0.318408312089667,0.318408312089667,0.309944877414236,0.309944877414236,0.467160716144829,0.34600827299774,0.34600827299774,0.11593879998722,-0.324500158387699,-0.309944877414236,-0.318408312089667
"MIR1199",0.278105429430697,0.278105429430697,0.278105429430697,0.278105429430697,0.278105429430697,0.271046605901285,0.271046605901285,0.235065880465918,0.214493299020722,0.214493299020722,-0.0650689407086509,-0.283283277246996,-0.271046605901285,-0.278105429430697
"HA",0.278105429430697,0.278105429430697,0.278105429430697,0.278105429430697,0.278105429430697,0.271046605901285,0.271046605901285,0.235065880465918,0.214493299020722,0.214493299020722,-0.0650689407086509,-0.283283277246996,-0.271046605901285,-0.278105429430697
"CD44s",0.278105429430697,0.278105429430697,0.278105429430697,0.278105429430697,0.278105429430697,0.271046605901285,0.271046605901285,0.235065880465918,0.214493299020722,0.214493299020722,-0.0650689407086509,-0.283283277246996,-0.271046605901285,-0.278105429430697
"HAS2",0.271046605901285,0.271046605901285,0.271046605901285,0.271046605901285,0.271046605901285,0.359495450785773,0.259495450785773,0.22634793174797,0.209542803971217,0.209542803971217,-0.06514887675981,-0.278105429430697,-0.259495450785773,-0.271046605901285
"ZEB1",-0.283283277246996,-0.283283277246996,-0.283283277246996,-0.283283277246996,-0.283283277246996,-0.278105429430697,-0.278105429430697,-0.240844891099298,-0.217834312845607,-0.217834312845607,0.0649493234837705,0.187118575271236,0.278105429430697,0.283283277246996
"ESRP1",-0.271046605901285,-0.271046605901285,-0.271046605901285,-0.271046605901285,-0.271046605901285,-0.259495450785773,-0.359495450785773,-0.22634793174797,-0.209542803971217,-0.209542803971217,0.06514887675981,0.278105429430697,0.259495450785773,0.271046605901285
"MIR340",-0.278105429430697,-0.278105429430697,-0.278105429430697,-0.278105429430697,-0.278105429430697,-0.271046605901285,-0.271046605901285,-0.235065880465918,-0.214493299020722,-0.214493299020722,0.0650689407086509,0.283283277246996,0.271046605901285,0.278105429430697
"CD24",-0.278105429430697,-0.278105429430697,-0.278105429430697,-0.278105429430697,-0.278105429430697,-0.271046605901285,-0.271046605901285,-0.235065880465918,-0.214493299020722,-0.214493299020722,0.0650689407086509,0.283283277246996,0.271046605901285,0.278105429430697
"MIR34",-0.334676027238022,-0.334676027238022,-0.334676027238022,-0.334676027238022,-0.334676027238022,-0.3265127619319,-0.3265127619319,-0.358760834710053,-0.326624387382501,-0.326624387382501,-0.188203125446064,0.340558380179199,0.3265127619319,0.334676027238022
