"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","CD44s","CD24","MIR34","MIR200","TGFB","SNAIL1","ZEB1","HAS2"
"MIR340",0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.243233422597843,0.243233422597843,0.243233422597843,0.183795825863276,0.183795825863276,-0.00727764286445958,-0.0974132088215946,-0.2474875741459,-0.245821657891961
"MIR1199",0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.243233422597843,0.243233422597843,0.243233422597843,0.183795825863276,0.183795825863276,-0.00727764286445958,-0.0974132088215946,-0.2474875741459,-0.245821657891961
"HA",0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.243233422597843,0.243233422597843,0.243233422597843,0.183795825863276,0.183795825863276,-0.00727764286445958,-0.0974132088215946,-0.2474875741459,-0.245821657891961
"CD24",0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.245821657891961,0.243233422597843,0.243233422597843,0.243233422597843,0.183795825863276,0.183795825863276,-0.00727764286445958,-0.0974132088215946,-0.2474875741459,-0.245821657891961
"MIR200",0.200660636682424,0.200660636682424,0.200660636682424,0.200660636682424,0.200660636682424,0.199592436189408,0.199592436189408,0.199592436189408,0.0708790095304655,0.0708790095304655,0.00152083220339776,-0.104494631399905,-0.202441330215694,-0.200660636682424
"TGFB",0.0369990200136973,0.0369990200136973,0.0369990200136973,0.0369990200136973,0.0369990200136973,0.0349582036871667,0.0349582036871667,0.0349582036871667,-0.0334516065376746,-0.0334516065376746,-0.069785424618699,-0.0119450505095497,-0.0364297600516479,-0.0369990200136973
"MIR34",0.0369990200136973,0.0369990200136973,0.0369990200136973,0.0369990200136973,0.0369990200136973,0.0349582036871667,0.0349582036871667,0.0349582036871667,-0.0334516065376746,-0.0334516065376746,-0.069785424618699,-0.0119450505095497,-0.0364297600516479,-0.0369990200136973
"SNAIL1",-0.0364297600516479,-0.0364297600516479,-0.0364297600516479,-0.0364297600516479,-0.0364297600516479,-0.0369990200136973,-0.0369990200136973,-0.0369990200136973,0.0335731723047546,0.0335731723047546,0.069864979113528,-0.0874479692173092,0.0366991489641674,0.0364297600516479
"MIR190",-0.0349582036871667,-0.0349582036871667,-0.0349582036871667,-0.0349582036871667,-0.0349582036871667,-0.0374105197634609,-0.0374105197634609,-0.0374105197634609,0.0346250094059928,0.0346250094059928,-0.0306392038314071,0.0126216404960179,0.0369990200136973,0.0349582036871667
"GRHL2",-0.0628649170229505,-0.0628649170229505,-0.0628649170229505,-0.0628649170229505,-0.0628649170229505,-0.0627781867540867,-0.0627781867540867,0.0372218132459133,-0.0379512361188877,-0.0379512361188877,0.00556294943316646,0.0740358455035135,0.0633533572704269,0.0628649170229505
"ZEB1",-0.2474875741459,-0.2474875741459,-0.2474875741459,-0.2474875741459,-0.2474875741459,-0.245821657891961,-0.245821657891961,-0.245821657891961,-0.184371862729635,-0.184371862729635,0.00713894660925847,0.0974730174340348,0.148898830994647,0.2474875741459
"HAS2",-0.243233422597843,-0.243233422597843,-0.243233422597843,-0.243233422597843,-0.243233422597843,-0.336302729528536,-0.236302729528536,-0.236302729528536,-0.181891789305774,-0.181891789305774,0.00650841209522881,0.0960542959518903,0.245821657891961,0.243233422597843
"ESRP1",-0.243233422597843,-0.243233422597843,-0.243233422597843,-0.243233422597843,-0.243233422597843,-0.236302729528536,-0.136302729528536,-0.236302729528536,-0.181891789305774,-0.181891789305774,0.00650841209522881,0.0960542959518903,0.245821657891961,0.243233422597843
"CD44s",-0.245821657891961,-0.245821657891961,-0.245821657891961,-0.245821657891961,-0.245821657891961,-0.243233422597843,-0.243233422597843,-0.243233422597843,-0.183795825863276,-0.183795825863276,0.00727764286445958,0.0974132088215946,0.2474875741459,0.245821657891961
