"","SNAIL1","HA","CD44s","MIR190","ESRP1","MIR34","MIR200","ZEB1","TGFB","MIR340","MIR1199","HAS2","GRHL2","CD24"
"GRHL2",0.203086925346662,0.166424044819799,0.166424044819799,0.17188805175822,0.17188805175822,0.120873840256354,0.120873840256354,-0.169445850520838,-0.137323980512161,-0.17188805175822,-0.17188805175822,-0.17188805175822,-0.17188805175822,-0.0664240448197989
"ESRP1",0.17823075631782,0.0940198511166253,0.194019851116625,0.104250874218936,0.104250874218936,0.0376925590133137,0.0376925590133137,-0.108015580101288,-0.0561597151771164,-0.104250874218936,-0.104250874218936,-0.104250874218936,-0.104250874218936,-0.0940198511166253
"MIR200",0.232608577250532,0.109448186676738,0.109448186676738,0.110516387169753,0.110516387169753,-0.043241440569026,-0.043241440569026,-0.107985927938263,-0.0754994330221202,-0.110516387169753,-0.110516387169753,-0.110516387169753,-0.110516387169753,-0.109448186676738
"MIR340",0.175752738731888,0.104250874218936,0.104250874218936,0.108015580101288,0.108015580101288,0.0415767935906176,0.0415767935906176,-0.103197930393949,-0.062826381843783,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.104250874218936
"MIR1199",0.175752738731888,0.104250874218936,0.104250874218936,0.108015580101288,0.108015580101288,0.0415767935906176,0.0415767935906176,-0.103197930393949,-0.062826381843783,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.104250874218936
"HA",0.175752738731888,0.104250874218936,0.104250874218936,0.108015580101288,0.108015580101288,0.0415767935906176,0.0415767935906176,-0.103197930393949,-0.062826381843783,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.104250874218936
"CD44s",0.175752738731888,0.104250874218936,0.104250874218936,0.108015580101288,0.108015580101288,0.0415767935906176,0.0415767935906176,-0.103197930393949,-0.062826381843783,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.104250874218936
"CD24",0.175752738731888,0.104250874218936,0.104250874218936,0.108015580101288,0.108015580101288,0.0415767935906176,0.0415767935906176,-0.103197930393949,-0.062826381843783,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.108015580101288,-0.104250874218936
"MIR34",0.168773584609863,0.0619875319186106,0.0619875319186106,0.0646405931431004,0.0646405931431004,-0.107882015739907,-0.107882015739907,-0.0665760770140682,0.0859671273740685,-0.0646405931431004,-0.0646405931431004,-0.0646405931431004,-0.0646405931431004,-0.0619875319186106
"SNAIL1",0.0678125325107226,0.0646405931431004,0.0646405931431004,0.0665760770140682,0.0665760770140682,-0.106544792302027,-0.106544792302027,-0.0652291324514707,0.0846942554568052,-0.0665760770140682,-0.0665760770140682,-0.0665760770140682,-0.0665760770140682,-0.0646405931431004
"MIR190",0.16904422060445,0.0671646436352319,0.0671646436352319,0.0619875319186106,0.0619875319186106,-0.108273150029347,-0.108273150029347,-0.0646405931431004,-0.018279157126993,-0.0619875319186106,-0.0619875319186106,-0.0619875319186106,-0.0619875319186106,-0.0671646436352319
"ZEB1",-0.177905848779735,-0.108015580101288,-0.108015580101288,-0.103197930393949,-0.103197930393949,-0.0393878534984517,-0.0393878534984517,0.00245079441520131,0.066663644904347,0.103197930393949,0.103197930393949,0.103197930393949,0.103197930393949,0.108015580101288
"TGFB",-0.168773584609863,-0.0619875319186106,-0.0619875319186106,-0.0646405931431004,-0.0646405931431004,0.107882015739907,0.107882015739907,0.0665760770140682,-0.0859671273740685,0.0646405931431004,0.0646405931431004,0.0646405931431004,0.0646405931431004,0.0619875319186106
"HAS2",-0.17823075631782,-0.194019851116625,-0.0940198511166253,-0.104250874218936,-0.104250874218936,-0.0376925590133137,-0.0376925590133137,0.108015580101288,0.0561597151771164,0.104250874218936,0.104250874218936,0.104250874218936,0.104250874218936,0.0940198511166253
