"","ZEB1","MIR34","HA","CD24","MIR190","GRHL2","MIR340","MIR1199","HAS2","ESRP1","CD44s","SNAIL1","TGFB","MIR200"
"GRHL2",-0.110992638780419,0.135151608804917,-0.112474593885714,-0.0124745938857135,-0.108224810711386,-0.108224810711386,0.108224810711386,0.108224810711386,0.108224810711386,0.108224810711386,0.112474593885714,-0.0433952575339905,-0.124669490662344,-0.12941740746521
"ZEB1",-0.0968753658645983,-0.0176219613484021,-0.00487996597061545,-0.00487996597061545,-0.00177325728083607,-0.00177325728083607,0.00177325728083607,0.00177325728083607,0.00177325728083607,0.00177325728083607,0.00487996597061545,0.0273144341297181,0.0320562793305562,0.0551037999217043
"MIR200",-0.0415684860055271,0.151089102066739,-0.0370121345982918,-0.0370121345982918,-0.0366012882548242,-0.0366012882548242,0.0366012882548242,0.0366012882548242,0.0366012882548242,0.0366012882548242,0.0370121345982918,-0.0839733433807343,0.145827453329833,0.0343340972793975
"SNAIL1",-0.00935436028697787,-0.0815948953214174,-0.00542106155208072,-0.00542106155208072,-0.0120624277759896,-0.0120624277759896,0.0120624277759896,0.0120624277759896,0.0120624277759896,0.0120624277759896,0.00542106155208072,-0.0175982600181807,-0.100300519490368,-0.0968240047296697
"HAS2",-0.00487996597061545,-0.0153838848289459,-0.0853101736972705,0.0146898263027295,-0.00676231891179192,-0.00676231891179192,0.00676231891179192,0.00676231891179192,0.00676231891179192,0.00676231891179192,-0.0146898263027295,0.0282316429463968,0.0449020419821441,0.0509300552696779
"ESRP1",-0.00487996597061545,-0.0153838848289459,0.0146898263027295,0.0146898263027295,-0.00676231891179192,-0.00676231891179192,0.00676231891179192,0.00676231891179192,0.00676231891179192,0.00676231891179192,0.0853101736972705,0.0282316429463968,0.0449020419821441,0.0509300552696779
"MIR1199",-0.00177325728083607,-0.0186588277078492,-0.00676231891179192,-0.00676231891179192,-0.00487996597061545,-0.00487996597061545,0.00487996597061545,0.00487996597061545,0.00487996597061545,0.00487996597061545,0.00676231891179192,0.0198383575746942,0.031825118905221,0.0500922791843771
"CD44s",-0.00177325728083607,-0.0186588277078492,-0.00676231891179192,-0.00676231891179192,-0.00487996597061545,-0.00487996597061545,0.00487996597061545,0.00487996597061545,0.00487996597061545,0.00487996597061545,0.00676231891179192,0.0198383575746942,0.031825118905221,0.0500922791843771
"MIR340",0.00177325728083607,0.0186588277078492,0.00676231891179192,0.00676231891179192,0.00487996597061545,0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00676231891179192,-0.0198383575746942,-0.031825118905221,-0.0500922791843771
"HA",0.00177325728083607,0.0186588277078492,0.00676231891179192,0.00676231891179192,0.00487996597061545,0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00676231891179192,-0.0198383575746942,-0.031825118905221,-0.0500922791843771
"CD24",0.00177325728083607,0.0186588277078492,0.00676231891179192,0.00676231891179192,0.00487996597061545,0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00487996597061545,-0.00676231891179192,-0.0198383575746942,-0.031825118905221,-0.0500922791843771
"MIR190",0.00542106155208072,0.0774468874942937,0.00888266417678183,0.00888266417678183,0.0146047350214685,0.0146047350214685,-0.0146047350214685,-0.0146047350214685,-0.0146047350214685,-0.0146047350214685,-0.00888266417678183,-0.0859006376569097,0.204279257664871,0.095900421890128
"TGFB",0.0120624277759896,0.0906150752387526,0.0146047350214685,0.0146047350214685,0.00542106155208072,0.00542106155208072,-0.00542106155208072,-0.00542106155208072,-0.00542106155208072,-0.00542106155208072,-0.0146047350214685,-0.0726394739221329,0.103005372314552,0.0973345809514057
"MIR34",0.0120624277759896,0.0906150752387526,0.0146047350214685,0.0146047350214685,0.00542106155208072,0.00542106155208072,-0.00542106155208072,-0.00542106155208072,-0.00542106155208072,-0.00542106155208072,-0.0146047350214685,-0.0726394739221329,0.103005372314552,0.0973345809514057
