"","SNAIL1","MIR34","HA","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","MIR340","CD44s","CD24","TGFB","MIR200"
"MIR200",0.00415575658345645,0.0385145322449126,0.116563402417764,0.115495201924749,0.115495201924749,0.115495201924749,0.115495201924749,0.115495201924749,-0.116213727385542,-0.115495201924749,-0.116563402417764,-0.116563402417764,0.0706032901995529,-0.0385145322449126
"MIR1199",0.168995253530655,0.162010029337751,0.0979823764014118,0.104570611695529,0.104570611695529,0.104570611695529,0.104570611695529,0.104570611695529,-0.0996629124609505,-0.104570611695529,-0.0979823764014118,-0.0979823764014118,-0.135062338256494,-0.162010029337751
"CD44s",0.168995253530655,0.162010029337751,0.0979823764014118,0.104570611695529,0.104570611695529,0.104570611695529,0.104570611695529,0.104570611695529,-0.0996629124609505,-0.104570611695529,-0.0979823764014118,-0.0979823764014118,-0.135062338256494,-0.162010029337751
"CD24",0.168995253530655,0.162010029337751,0.0979823764014118,0.104570611695529,0.104570611695529,0.104570611695529,0.104570611695529,0.104570611695529,-0.0996629124609505,-0.104570611695529,-0.0979823764014118,-0.0979823764014118,-0.135062338256494,-0.162010029337751
"MIR34",0.0978875462899208,0.116826450612395,0.0445216003446489,0.0310522125895469,0.0310522125895469,0.0310522125895469,0.0310522125895469,0.0310522125895469,-0.0405778292878391,-0.0310522125895469,-0.0445216003446489,-0.0445216003446489,-0.132389075925047,-0.116826450612395
"SNAIL1",-0.00175838188408023,0.122783173199314,0.0310522125895469,0.0405778292878391,0.0405778292878391,0.0405778292878391,0.0405778292878391,0.0405778292878391,-0.0337863930195845,-0.0405778292878391,-0.0310522125895469,-0.0310522125895469,-0.121967437102453,-0.122783173199314
"MIR190",0.0982935002818017,0.125301026883581,0.0257205104263928,0.0445216003446489,0.0445216003446489,0.0445216003446489,0.0445216003446489,0.0445216003446489,-0.0310522125895469,-0.0445216003446489,-0.0257205104263928,-0.0257205104263928,-0.217739394396384,-0.125301026883581
"GRHL2",0.107928553718522,0.0391354519434482,0.00653788945658534,0.0140834228477389,0.0140834228477389,0.0140834228477389,0.0140834228477389,0.0140834228477389,-0.00871058012549855,-0.0140834228477389,-0.00653788945658534,-0.106537889456585,-0.0229943507756741,-0.0391354519434482
"ZEB1",-0.168696210468454,-0.158957033946046,-0.104570611695529,-0.0996629124609505,-0.0996629124609505,-0.0996629124609505,-0.0996629124609505,-0.0996629124609505,0.00316615005019172,0.0996629124609505,0.104570611695529,0.104570611695529,0.140101635528801,0.158957033946046
"TGFB",-0.0978875462899208,-0.116826450612395,-0.0445216003446489,-0.0310522125895469,-0.0310522125895469,-0.0310522125895469,-0.0310522125895469,-0.0310522125895469,0.0405778292878391,0.0310522125895469,0.0445216003446489,0.0445216003446489,0.132389075925047,0.116826450612395
"MIR340",-0.168995253530655,-0.162010029337751,-0.0979823764014118,-0.104570611695529,-0.104570611695529,-0.104570611695529,-0.104570611695529,-0.104570611695529,0.0996629124609505,0.104570611695529,0.0979823764014118,0.0979823764014118,0.135062338256494,0.162010029337751
"HA",-0.168995253530655,-0.162010029337751,-0.0979823764014118,-0.104570611695529,-0.104570611695529,-0.104570611695529,-0.104570611695529,-0.104570611695529,0.0996629124609505,0.104570611695529,0.0979823764014118,0.0979823764014118,0.135062338256494,0.162010029337751
"HAS2",-0.168755445377178,-0.157973471835847,-0.00821339950372208,-0.0979823764014118,-0.0979823764014118,-0.0979823764014118,-0.0979823764014118,-0.0979823764014118,0.104570611695529,0.0979823764014118,0.108213399503722,0.108213399503722,0.142754645948801,0.157973471835847
"ESRP1",-0.168755445377178,-0.157973471835847,-0.108213399503722,-0.0979823764014118,-0.0979823764014118,-0.0979823764014118,-0.0979823764014118,-0.0979823764014118,0.104570611695529,0.0979823764014118,0.00821339950372208,0.108213399503722,0.142754645948801,0.157973471835847
