"","MIR200","MIR1199","HAS2","GRHL2","ESRP1","HA","SNAIL1","MIR34","TGFB","ZEB1","CD44s","CD24","MIR340","MIR190"
"SNAIL1",0.31324940232982,0.251762190563724,0.251762190563724,0.251762190563724,0.251762190563724,0.250282114662395,0.181179740633123,-0.0499198140806122,-0.15267684251913,-0.252485287118381,-0.250282114662395,-0.250282114662395,-0.251762190563724,-0.251762190563724
"MIR34",0.311766299971444,0.250282114662395,0.250282114662395,0.250282114662395,0.250282114662395,0.248241298335865,0.280370433602269,-0.0503331376886842,-0.15188129757084,-0.251762190563724,-0.248241298335865,-0.248241298335865,-0.250282114662395,-0.250282114662395
"MIR190",0.309158738041848,0.248241298335865,0.248241298335865,0.248241298335865,0.248241298335865,0.245788982259571,0.278881935632039,-0.0503331376886842,-0.250819726445575,-0.250282114662395,-0.245788982259571,-0.245788982259571,-0.248241298335865,-0.248241298335865
"MIR200",0.320870586698554,0.214997455104501,0.214997455104501,0.214997455104501,0.214997455104501,0.213436238999325,0.260977719753115,0.01731123540208,-0.230693177344871,-0.216028382939553,-0.213436238999325,-0.213436238999325,-0.214997455104501,-0.214997455104501
"MIR340",0.183442527797315,0.169936676633654,0.169936676633654,0.169936676633654,0.169936676633654,0.168760206045418,0.154180979552185,0.100735535823832,-0.0242833420703669,-0.170521998560714,-0.168760206045418,-0.168760206045418,-0.169936676633654,-0.169936676633654
"MIR1199",0.183442527797315,0.169936676633654,0.169936676633654,0.169936676633654,0.169936676633654,0.168760206045418,0.154180979552185,0.100735535823832,-0.0242833420703669,-0.170521998560714,-0.168760206045418,-0.168760206045418,-0.169936676633654,-0.169936676633654
"HA",0.183442527797315,0.169936676633654,0.169936676633654,0.169936676633654,0.169936676633654,0.168760206045418,0.154180979552185,0.100735535823832,-0.0242833420703669,-0.170521998560714,-0.168760206045418,-0.168760206045418,-0.169936676633654,-0.169936676633654
"CD44s",0.183442527797315,0.169936676633654,0.169936676633654,0.169936676633654,0.169936676633654,0.168760206045418,0.154180979552185,0.100735535823832,-0.0242833420703669,-0.170521998560714,-0.168760206045418,-0.168760206045418,-0.169936676633654,-0.169936676633654
"HAS2",0.182300105862814,0.168760206045418,0.168760206045418,0.168760206045418,0.168760206045418,0.265789909015715,0.152981938784799,0.100354728512331,-0.0237705215575463,-0.169936676633654,-0.165789909015715,-0.165789909015715,-0.168760206045418,-0.168760206045418
"GRHL2",-0.0380225663905546,-0.0264032659995262,-0.0264032659995262,-0.0264032659995262,-0.0264032659995262,-0.0263165357306624,-0.100925842285923,0.00286927931506245,0.0113842624136088,0.0265009540490215,0.0263165357306624,-0.0736834642693376,0.0264032659995262,0.0264032659995262
"ZEB1",-0.184248979410218,-0.170521998560714,-0.170521998560714,-0.170521998560714,-0.170521998560714,-0.169936676633654,-0.154898682901467,-0.100677932137196,0.024514502495702,0.0710034861914624,0.169936676633654,0.169936676633654,0.170521998560714,0.170521998560714
"ESRP1",-0.182300105862814,-0.168760206045418,-0.168760206045418,-0.168760206045418,-0.168760206045418,-0.165789909015715,-0.152981938784799,-0.100354728512331,0.0237705215575463,0.169936676633654,0.0657899090157155,0.165789909015715,0.168760206045418,0.168760206045418
"CD24",-0.183442527797315,-0.169936676633654,-0.169936676633654,-0.169936676633654,-0.169936676633654,-0.168760206045418,-0.154180979552185,-0.100735535823832,0.0242833420703669,0.170521998560714,0.168760206045418,0.168760206045418,0.169936676633654,0.169936676633654
"TGFB",-0.311766299971444,-0.250282114662395,-0.250282114662395,-0.250282114662395,-0.250282114662395,-0.248241298335865,-0.280370433602269,0.0503331376886842,0.15188129757084,0.251762190563724,0.248241298335865,0.248241298335865,0.250282114662395,0.250282114662395
