"","MIR200","MIR34","MIR190","GRHL2","ZEB1","TGFB","SNAIL1","MIR340","MIR1199","HAS2","ESRP1","HA","CD44s","CD24"
"MIR200",0.181807658983575,-0.00481476436945745,0.0842199268941355,0.0842199268941355,-0.0845010890309678,0.195650172615713,-0.0870787074261254,-0.0842199268941355,-0.0842199268941355,-0.0842199268941355,-0.0842199268941355,-0.083973419088055,-0.083973419088055,-0.083973419088055
"TGFB",0.0969931524372808,-0.0273351372694803,0.0732797557412308,0.0732797557412308,-0.0730141010922744,0.0749102610663634,-0.0298062837669191,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0720552659453124,-0.0720552659453124,-0.0720552659453124
"MIR34",0.0969931524372808,-0.0273351372694803,0.0732797557412308,0.0732797557412308,-0.0730141010922744,0.0749102610663634,-0.0298062837669191,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0732797557412308,-0.0720552659453124,-0.0720552659453124,-0.0720552659453124
"HAS2",0.0738970327982537,0.0663405419343266,0.0635872867683791,0.0635872867683791,-0.0642931691213202,0.00209664738934646,-0.0564028473781211,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,0.0374028122415219,-0.0625971877584781,-0.0625971877584781
"ESRP1",0.0738970327982537,0.0663405419343266,0.0635872867683791,0.0635872867683791,-0.0642931691213202,0.00209664738934646,-0.0564028473781211,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791,-0.0625971877584781,0.0374028122415219,-0.0625971877584781
"MIR340",0.0747348088835545,0.0664167033966267,0.0642931691213202,0.0642931691213202,-0.0641580948304603,0.00107100636370544,-0.0569623997362346,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791
"MIR1199",0.0747348088835545,0.0664167033966267,0.0642931691213202,0.0642931691213202,-0.0641580948304603,0.00107100636370544,-0.0569623997362346,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791
"HA",0.0747348088835545,0.0664167033966267,0.0642931691213202,0.0642931691213202,-0.0641580948304603,0.00107100636370544,-0.0569623997362346,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791
"CD44s",0.0747348088835545,0.0664167033966267,0.0642931691213202,0.0642931691213202,-0.0641580948304603,0.00107100636370544,-0.0569623997362346,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0642931691213202,-0.0635872867683791,-0.0635872867683791,-0.0635872867683791
"ZEB1",-0.0748500162568264,-0.066128684963447,-0.0641580948304603,-0.0641580948304603,-0.0358917142347896,-0.00130216678904062,0.0565437394491533,0.0641580948304603,0.0641580948304603,0.0641580948304603,0.0641580948304603,0.0642931691213202,0.0642931691213202,0.0642931691213202
"GRHL2",0.012635815581067,0.0231166803132476,0.0175074751232684,0.0175074751232684,-0.0178005392717543,-0.00186487234932915,0.0545708491334746,-0.0175074751232684,-0.0175074751232684,-0.0175074751232684,-0.0175074751232684,-0.0177676659298599,-0.0177676659298599,-0.11776766592986
"CD24",-0.0747348088835545,-0.0664167033966267,-0.0642931691213202,-0.0642931691213202,0.0641580948304603,-0.00107100636370544,0.0569623997362346,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0642931691213202,0.0635872867683791,0.0635872867683791,0.0635872867683791
"SNAIL1",-0.0975037286590168,0.0281860976390402,-0.0730141010922744,-0.0730141010922744,0.0729432092731904,-0.0744329340973897,-0.0704972063696515,0.0730141010922744,0.0730141010922744,0.0730141010922744,0.0730141010922744,0.0732797557412308,0.0732797557412308,0.0732797557412308
"MIR190",-0.0969931524372808,0.0288996744272377,-0.0720552659453124,-0.0720552659453124,0.0732797557412308,-0.175759517966576,0.0279118318048081,0.0720552659453124,0.0720552659453124,0.0720552659453124,0.0720552659453124,0.0728727046374105,0.0728727046374105,0.0728727046374105
