"","MIR34","MIR340","MIR190","GRHL2","ESRP1","MIR200","ZEB1","TGFB","SNAIL1","MIR1199","HAS2","HA","CD44s","CD24"
"SNAIL1",-0.0178057039877647,0.106748706885604,0.106748706885604,0.106748706885604,0.106748706885604,0.125682489889763,-0.105486832505907,0.0854101257456241,-0.0592545302909936,-0.106748706885604,-0.106748706885604,-0.104965025671183,-0.104965025671183,-0.104965025671183
"MIR190",-0.0152857264687144,0.10741400526302,0.10741400526302,0.10741400526302,0.10741400526302,0.124006150265124,-0.104965025671183,-0.0128878134382583,0.0449058307760268,-0.10741400526302,-0.10741400526302,-0.103871770930594,-0.103871770930594,-0.103871770930594
"MIR340",0.108682856101346,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0899376540695867,-0.0982693116049242,-0.00272123212306681,-0.079819928967826,-0.0987645840047441,-0.0987645840047441,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029
"MIR1199",0.108682856101346,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0899376540695867,-0.0982693116049242,-0.00272123212306681,-0.079819928967826,-0.0987645840047441,-0.0987645840047441,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029
"CD44s",0.108682856101346,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0987645840047441,0.0899376540695867,-0.0982693116049242,-0.00272123212306681,-0.079819928967826,-0.0987645840047441,-0.0987645840047441,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029
"MIR200",0.187476557549306,0.0778173108180579,0.0778173108180579,0.0778173108180579,0.0778173108180579,-0.0192275001644553,-0.0782234339045933,-0.00354556226609266,-0.103835667459583,-0.0778173108180579,-0.0778173108180579,-0.0783924956989124,-0.0783924956989124,-0.0783924956989124
"ZEB1",-0.106897141815632,-0.0982693116049242,-0.0982693116049242,-0.0982693116049242,-0.0982693116049242,-0.0910897278023056,-0.0013820249383267,0.0039694984198768,0.0827505509773953,0.0982693116049242,0.0982693116049242,0.0987645840047441,0.0987645840047441,0.0987645840047441
"GRHL2",-0.00869008765123728,0.000244812224270405,0.000244812224270405,0.000244812224270405,0.000244812224270405,0.00898832735324625,-0.000798377838076982,0.0029344555337813,0.0641913082023676,-0.000244812224270405,-0.000244812224270405,-0.00102538464404491,-0.00102538464404491,-0.101025384644045
"HA",-0.108682856101346,-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0899376540695867,0.0982693116049242,0.00272123212306681,0.079819928967826,0.0987645840047441,0.0987645840047441,0.0980587016518029,0.0980587016518029,0.0980587016518029
"CD24",-0.108682856101346,-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0987645840047441,-0.0899376540695867,0.0982693116049242,0.00272123212306681,0.079819928967826,0.0987645840047441,0.0987645840047441,0.0980587016518029,0.0980587016518029,0.0980587016518029
"HAS2",-0.106169527845443,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.0915370447778883,0.0987645840047441,0.00451610391793861,0.0838966675769387,0.0980587016518029,0.0980587016518029,0.199048800661704,0.0990488006617039,0.0990488006617039
"ESRP1",-0.106169527845443,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.0915370447778883,0.0987645840047441,0.00451610391793861,0.0838966675769387,0.0980587016518029,0.0980587016518029,0.0990488006617039,-0.000951199338296112,0.0990488006617039
"TGFB",0.0241514370293402,-0.104965025671183,-0.104965025671183,-0.104965025671183,-0.104965025671183,-0.129742786510234,0.106748706885604,-0.0809550740352024,-0.0304268050656073,0.104965025671183,0.104965025671183,0.10741400526302,0.10741400526302,0.10741400526302
"MIR34",0.0241514370293402,-0.104965025671183,-0.104965025671183,-0.104965025671183,-0.104965025671183,-0.129742786510234,0.106748706885604,-0.0809550740352024,-0.0304268050656073,0.104965025671183,0.104965025671183,0.10741400526302,0.10741400526302,0.10741400526302
