"","MIR340","MIR190","HAS2","GRHL2","ESRP1","SNAIL1","HA","CD24","TGFB","ZEB1","CD44s","MIR1199","MIR34","MIR200"
"GRHL2",0.367330627463505,0.367330627463505,0.367330627463505,0.367330627463505,0.367330627463505,0.279619404583259,0.362560462675994,0.462560462675994,0.0440609043049659,-0.370293831631528,-0.362560462675994,-0.367330627463505,-0.396237432312589,-0.396237432312589
"MIR340",0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.255982811235823,0.253896764366263,0.253896764366263,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.25813205848391,-0.279892296458488,-0.279892296458488
"MIR1199",0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.255982811235823,0.253896764366263,0.253896764366263,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.25813205848391,-0.279892296458488,-0.279892296458488
"HA",0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.255982811235823,0.253896764366263,0.253896764366263,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.25813205848391,-0.279892296458488,-0.279892296458488
"CD24",0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.255982811235823,0.253896764366263,0.253896764366263,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.25813205848391,-0.279892296458488,-0.279892296458488
"HAS2",0.253896764366263,0.253896764366263,0.253896764366263,0.253896764366263,0.253896764366263,0.250467223705847,0.347626137303557,0.247626137303557,0.0385977707852117,-0.25813205848391,-0.247626137303557,-0.253896764366263,-0.274027863861382,-0.274027863861382
"ESRP1",0.253896764366263,0.253896764366263,0.253896764366263,0.253896764366263,0.253896764366263,0.250467223705847,0.247626137303557,0.247626137303557,0.0385977707852117,-0.25813205848391,-0.347626137303557,-0.253896764366263,-0.274027863861382,-0.274027863861382
"TGFB",0.182394665404763,0.182394665404763,0.182394665404763,0.182394665404763,0.182394665404763,-0.311486046523973,0.17953752254762,0.17953752254762,-0.172235541283679,-0.184481951932277,-0.17953752254762,-0.182394665404763,0.107485784643451,0.107485784643451
"MIR34",0.182394665404763,0.182394665404763,0.182394665404763,0.182394665404763,0.182394665404763,-0.311486046523973,0.17953752254762,0.17953752254762,-0.172235541283679,-0.184481951932277,-0.17953752254762,-0.182394665404763,0.107485784643451,0.107485784643451
"ZEB1",-0.26060842048301,-0.26060842048301,-0.26060842048301,-0.26060842048301,-0.26060842048301,-0.259690945207115,-0.25813205848391,-0.25813205848391,-0.043313799093473,0.162285325679755,0.25813205848391,0.26060842048301,0.283463725029917,0.283463725029917
"MIR190",-0.17953752254762,-0.17953752254762,-0.17953752254762,-0.17953752254762,-0.17953752254762,0.315139632450901,-0.174360410830999,-0.174360410830999,0.0737217408590505,0.182394665404763,0.174360410830999,0.17953752254762,-0.110875615151926,-0.110875615151926
"SNAIL1",-0.184481951932277,-0.184481951932277,-0.184481951932277,-0.184481951932277,-0.184481951932277,0.209159288810265,-0.182394665404763,-0.182394665404763,0.171280887345731,0.185658756129073,0.182394665404763,0.184481951932277,-0.104835650921107,-0.104835650921107
"MIR200",-0.256817879642683,-0.256817879642683,-0.256817879642683,-0.256817879642683,-0.256817879642683,0.0464524347468876,-0.25229856986454,-0.25229856986454,-0.00686227916186086,0.259410819349024,0.25229856986454,0.256817879642683,0.117109428337668,0.117109428337668
"CD44s",-0.25813205848391,-0.25813205848391,-0.25813205848391,-0.25813205848391,-0.25813205848391,-0.255982811235823,-0.253896764366263,-0.253896764366263,-0.0414182836057245,0.26060842048301,0.253896764366263,0.25813205848391,0.279892296458488,0.279892296458488
