"","SNAIL1","HA","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","ZEB1","TGFB","CD24","MIR34"
"SNAIL1",-0.0160740449124508,0.0985267482712128,0.0985267482712128,0.100689936127,0.100689936127,0.100689936127,0.100689936127,0.100689936127,0.100689936127,-0.0404100194453128,-0.0989743541051656,0.0307886027408211,-0.0985267482712128,-0.141335322032171
"MIR190",0.0865355322068296,0.0966822284469343,0.0966822284469343,0.102404299291621,0.102404299291621,0.102404299291621,0.102404299291621,0.102404299291621,0.102404299291621,-0.0374587766691248,-0.0985267482712128,-0.0662871361785553,-0.0966822284469343,-0.140566747432791
"MIR1199",0.126439433202717,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0487675645758524,-0.0625944881679125,-0.0557626232498561,-0.0628196119860125,-0.112054385702258
"CD24",0.126439433202717,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0628196119860125,0.0487675645758524,-0.0625944881679125,-0.0557626232498561,-0.0628196119860125,-0.112054385702258
"ZEB1",-0.125841347078315,-0.0628196119860125,-0.0628196119860125,-0.0625944881679125,-0.0625944881679125,-0.0625944881679125,-0.0625944881679125,-0.0625944881679125,-0.0625944881679125,-0.0485947535159446,-0.0368908181578387,0.055623926994655,0.0628196119860125,0.111939178328986
"GRHL2",0.0876445488521735,-0.011232254277144,-0.011232254277144,-0.0104516818573695,-0.0104516818573695,-0.0104516818573695,-0.0104516818573695,-0.0104516818573695,-0.0104516818573695,-0.0226342354376682,0.010614495273195,0.0174876499507921,-0.088767745722856,-0.00945016670525185
"MIR200",0.0169645256635821,-0.058114250618937,-0.058114250618937,-0.0563886959763733,-0.0563886959763733,-0.0563886959763733,-0.0563886959763733,-0.0563886959763733,-0.0563886959763733,-0.153272440458801,0.0574196238114249,0.0590773280873158,0.058114250618937,-0.00600453335088388
"MIR340",-0.126439433202717,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0487675645758524,0.0625944881679125,0.0557626232498561,0.0628196119860125,0.112054385702258
"HA",-0.126439433202717,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0487675645758524,0.0625944881679125,0.0557626232498561,0.0628196119860125,0.112054385702258
"CD44s",-0.126439433202717,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0487675645758524,0.0625944881679125,0.0557626232498561,0.0628196119860125,0.112054385702258
"HAS2",-0.126359497151558,0.0342100909842845,-0.0657899090157155,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0489960489627526,0.0628196119860125,0.0585831360703689,0.0657899090157155,0.111825901315357
"ESRP1",-0.126359497151558,-0.0657899090157155,0.0342100909842845,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0628196119860125,-0.0489960489627526,0.0628196119860125,0.0585831360703689,0.0657899090157155,0.111825901315357
"TGFB",-0.0771985903935684,-0.102404299291621,-0.102404299291621,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,0.0451510843614325,0.100689936127,-0.0245833521441624,0.102404299291621,0.143304687458867
"MIR34",-0.0771985903935684,-0.102404299291621,-0.102404299291621,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,-0.0985267482712128,0.0451510843614325,0.100689936127,-0.0245833521441624,0.102404299291621,0.143304687458867
